"Jokic, Nikola",1,0.83,"Jokic, Nikola",DEN,27,69,33.7,24.5,0.83,.383,11.8,9.8,1.26,0.68,.632,14.8,.822,6.0,3.6,2.5,1.16,-0.74,2.46,2.60,0.72,0.07,2.83,0.35,-1.99
"Embiid, Joel",2,0.82,"Embiid, Joel",PHI,28,66,34.6,33.1,1.00,.330,10.2,4.2,1.00,1.70,.548,20.1,.857,11.7,3.4,3.1,2.46,-0.58,1.77,0.09,0.06,2.06,1.51,1.81,-1.78
"Gilgeous-Alexander, Shai",3,0.73,"Gilgeous-Alexander, Shai",OKC,24,69,35.6,31.4,0.87,.347,4.8,5.4,1.67,0.96,.510,20.3,.906,10.8,2.8,2.8,2.21,-0.70,-0.42,0.65,1.75,0.61,0.44,3.12,-1.06
"Davis, Anthony",4,0.69,"Davis, Anthony",LAL,29,57,34.2,25.9,0.33,.253,12.6,2.7,1.05,2.05,.562,17.2,.782,7.9,2.2,2.6,1.37,-1.20,2.77,-0.57,0.20,2.75,1.62,-0.39,-0.34
"Durant, Kevin",5,0.69,"Durant, Kevin",PHO,34,47,35.6,29.1,1.98,.404,6.6,5.0,0.72,1.45,.560,18.4,.919,7.1,3.3,2.1,1.85,0.33,0.32,0.47,-0.64,1.57,1.67,2.29,-1.65
"Curry, Stephen",6,0.60,"Curry, Stephen",GSW,34,56,34.7,29.4,4.88,.427,6.1,6.3,0.93,0.36,.493,20.2,.915,5.0,3.2,2.1,1.91,3.01,0.09,1.04,-0.12,-0.56,-0.02,1.55,-1.52
"Lillard, Damian",7,0.58,"Lillard, Damian",POR,32,58,36.3,32.2,4.21,.371,4.8,7.3,0.86,0.31,.463,20.7,.914,9.6,3.3,1.9,2.33,2.39,-0.45,1.50,-0.29,-0.65,-0.91,2.97,-1.64
"Irving, Kyrie",8,0.55,"Irving, Kyrie",DAL,30,60,37.3,27.1,3.13,.379,5.1,5.5,1.13,0.75,.494,20.1,.905,4.6,2.1,2.8,1.55,1.39,-0.33,0.69,0.40,0.21,-0.01,1.29,-0.25
"Haliburton, Tyrese",9,0.53,"Haliburton, Tyrese",IND,22,56,33.6,20.7,2.88,.400,3.7,10.4,1.63,0.45,.490,15.0,.867,3.6,2.5,1.2,0.58,1.15,-0.91,2.87,1.65,-0.39,-0.09,0.65,-0.71
"Tatum, Jayson",10,0.51,"Tatum, Jayson",BOS,24,74,36.9,30.1,3.24,.349,8.8,4.6,1.07,0.69,.466,21.1,.854,8.4,2.9,2.2,2.01,1.50,1.20,0.30,0.23,0.09,-0.82,1.22,-1.14
"Butler, Jimmy",11,0.49,"Butler, Jimmy",MIA,33,65,33.5,22.9,0.55,.346,5.8,5.4,1.83,0.34,.535,14.0,.850,8.7,1.6,1.2,0.91,-0.99,-0.02,0.63,2.17,-0.60,0.78,1.17,0.40
"Jackson, Jaren",12,0.48,"Jackson, Jaren",MEM,23,63,28.4,18.6,1.59,.355,6.7,1.0,1.03,3.00,.506,13.0,.788,4.9,1.7,3.6,0.26,-0.04,0.37,-1.32,0.14,4.61,0.21,-0.17,0.28
"Leonard, Kawhi",13,0.47,"Leonard, Kawhi",LAC,31,52,33.6,23.8,2.00,.416,6.5,3.9,1.38,0.54,.512,16.8,.871,5.4,1.7,1.6,1.05,0.35,0.26,-0.01,1.04,-0.21,0.41,1.03,0.28
"Porzingis, Kristaps",14,0.46,"Porzingis, Kristaps",WAS,27,65,32.6,23.2,2.11,.385,8.4,2.7,0.89,1.54,.498,15.7,.851,6.4,2.1,3.0,0.95,0.44,1.04,-0.56,-0.21,1.75,0.08,0.88,-0.20
"Mitchell, Donovan",15,0.41,"Mitchell, Donovan",CLE,26,68,35.8,28.3,3.60,.386,4.2,4.4,1.46,0.40,.484,20.6,.867,5.4,2.6,2.5,1.73,1.83,-0.67,0.21,1.22,-0.48,-0.29,0.97,-0.86
"Doncic, Luka",16,0.39,"Doncic, Luka",DAL,23,66,36.2,32.4,2.80,.342,8.6,8.0,1.36,0.50,.496,22.0,.742,10.5,3.6,2.5,2.36,1.09,1.14,1.80,0.99,-0.28,0.06,-1.66,-1.98
"Harden, James",17,0.39,"Harden, James",PHI,33,58,36.8,21.0,2.78,.385,6.1,10.7,1.22,0.53,.440,14.5,.867,6.2,3.4,1.9,0.62,1.06,0.10,2.97,0.63,-0.22,-1.10,1.12,-1.72
"Markkanen, Lauri",18,0.35,"Markkanen, Lauri",UTA,25,66,34.4,25.6,3.03,.391,8.6,1.9,0.64,0.58,.499,17.3,.875,6.0,1.9,2.1,1.33,1.30,1.14,-0.92,-0.86,-0.13,0.11,1.22,0.01
"Vanvleet, Fred",19,0.32,"Vanvleet, Fred",TOR,28,70,36.8,19.4,3.06,.346,4.2,7.2,1.79,0.56,.392,16.2,.889,4.1,2.0,2.8,0.39,1.32,-0.70,1.43,2.06,-0.17,-2.29,0.99,-0.14
"Turner, Myles",20,0.31,"Turner, Myles",IND,26,62,29.4,18.0,1.50,.373,7.5,1.4,0.58,2.26,.548,11.8,.783,4.5,1.7,3.5,0.16,-0.12,0.68,-1.11,-1.00,3.15,0.89,-0.22,0.32
"Lopez, Brook",21,0.29,"Lopez, Brook",MIL,34,78,30.4,15.9,1.74,.374,6.7,1.3,0.49,2.47,.531,11.5,.784,2.4,1.4,2.6,-0.16,0.11,0.33,-1.19,-1.24,3.58,0.58,-0.11,0.67
"Sabonis, Domantas",22,0.28,"Sabonis, Domantas",SAC,26,79,34.6,19.1,0.39,.373,12.3,7.3,0.82,0.49,.614,11.9,.742,5.5,2.9,3.5,0.34,-1.14,2.66,1.46,-0.39,-0.29,1.98,-0.88,-1.18
"James, LeBron",23,0.28,"James, LeBron",LAL,38,56,35.7,28.9,2.21,.324,8.3,6.8,0.91,0.61,.502,22.1,.770,5.9,3.3,1.7,1.83,0.54,1.01,1.27,-0.16,-0.07,0.23,-0.49,-1.61
"Claxton, Nicolas",24,0.26,"Claxton, Nicolas",BKN,23,76,29.9,12.6,0.00,.000,9.2,1.9,0.84,2.49,.705,7.7,.541,3.2,1.3,2.8,-0.65,-1.51,1.39,-0.91,-0.34,3.60,2.26,-2.29,0.80
"Vucevic, Nikola",25,0.25,"Vucevic, Nikola",CHI,32,83,33.6,17.6,1.46,.345,11.0,3.3,0.73,0.70,.519,14.0,.838,1.9,1.7,2.2,0.11,-0.16,2.13,-0.31,-0.61,0.11,0.48,0.19,0.29
"George, Paul",26,0.24,"George, Paul",LAC,32,56,34.6,23.8,2.82,.371,6.1,5.1,1.48,0.36,.457,17.9,.871,5.3,3.1,2.8,1.05,1.11,0.10,0.53,1.29,-0.56,-0.92,1.00,-1.46
"DeRozan, DeMar",27,0.19,"DeRozan, DeMar",CHI,33,75,36.3,24.5,0.61,.322,4.7,5.1,1.11,0.52,.505,17.6,.869,7.0,2.1,2.5,1.16,-0.94,-0.49,0.50,0.33,-0.24,0.25,1.32,-0.15
"Booker, Devin",28,0.18,"Booker, Devin",PHO,26,53,34.6,27.8,2.09,.351,4.5,5.5,0.96,0.34,.494,20.1,.855,6.8,2.7,3.0,1.65,0.43,-0.55,0.70,-0.03,-0.60,-0.01,1.00,-0.97
"Towns, Karl-Anthony",29,0.17,"Towns, Karl-Anthony",MIN,27,30,33.3,20.9,2.07,.369,8.2,4.8,0.67,0.67,.500,14.7,.879,4.7,2.9,3.9,0.60,0.41,0.98,0.39,-0.78,0.04,0.11,1.01,-1.21
"Bridges, Mikal",30,0.17,"Bridges, Mikal",BKN,26,83,35.7,20.1,2.04,.382,4.4,3.3,1.11,0.73,.468,15.3,.895,4.3,1.5,1.9,0.49,0.38,-0.61,-0.29,0.34,0.18,-0.56,1.09,0.48
"Anunoby, O.G.",31,0.16,"Anunoby, O.G.",TOR,25,68,35.7,16.7,2.12,.385,4.9,2.0,1.90,0.75,.473,13.2,.817,2.6,2.0,3.0,-0.03,0.45,-0.38,-0.87,2.34,0.21,-0.40,0.11,-0.03
"Ball, LaMelo",32,0.15,"Ball, LaMelo",CHA,21,36,35.2,23.3,4.00,.376,6.4,8.4,1.25,0.28,.411,20.0,.836,3.4,3.6,3.3,0.97,2.20,0.23,1.99,0.70,-0.72,-2.33,0.32,-1.99
"Paul, Chris",33,0.15,"Paul, Chris",PHO,37,59,32.0,13.9,1.66,.375,4.3,8.9,1.54,0.37,.440,11.3,.831,2.7,1.9,2.1,-0.46,0.03,-0.66,2.19,1.44,-0.53,-0.86,0.22,0.00
"Adebayo, Bam",34,0.15,"Adebayo, Bam",MIA,25,76,34.7,20.3,0.01,.083,9.2,3.2,1.21,0.84,.539,14.8,.803,5.3,2.5,2.8,0.51,-1.49,1.36,-0.33,0.60,0.39,0.92,0.03,-0.64
"Allen, Jarrett",35,0.15,"Allen, Jarrett",CLE,24,68,32.6,14.3,0.01,.100,9.8,1.7,0.78,1.24,.644,9.2,.733,3.3,1.4,2.3,-0.41,-1.49,1.61,-1.01,-0.50,1.16,1.91,-0.60,0.68
"Bane, Desmond",36,0.14,"Bane, Desmond",MEM,24,58,31.8,21.5,2.86,.408,5.0,4.4,0.97,0.38,.479,16.2,.883,3.5,2.2,2.6,0.70,1.14,-0.35,0.19,-0.02,-0.52,-0.34,0.79,-0.29
"Mays, Skylar",37,0.13,"Mays, Skylar",POR,25,6,31.5,15.3,2.00,.462,3.2,8.3,1.00,0.17,.500,11.3,.923,2.2,1.7,1.8,-0.24,0.35,-1.11,1.94,0.06,-0.93,0.09,0.72,0.32
"Murray, Dejounte",38,0.12,"Murray, Dejounte",ATL,26,75,36.4,20.4,1.81,.344,5.3,6.1,1.49,0.27,.463,17.8,.828,2.6,2.2,1.5,0.54,0.17,-0.25,0.93,1.31,-0.74,-0.77,0.19,-0.28
"Holiday, Jrue",39,0.12,"Holiday, Jrue",MIL,32,67,32.6,19.3,2.36,.384,5.1,7.4,1.18,0.37,.479,15.3,.859,2.6,2.9,1.7,0.36,0.68,-0.32,1.52,0.52,-0.53,-0.33,0.41,-1.22
"Gilyard, Jacob",40,0.11,"Gilyard, Jacob",MEM,24,1,40.8,3.0,1.00,.333,4.0,7.0,3.00,0.00,.333,3.0,.000,0.0,2.0,3.0,-2.12,-0.58,-0.77,1.35,5.14,-1.26,-0.68,-0.01,-0.09
"Capela, Clint",41,0.10,"Capela, Clint",ATL,28,66,26.6,11.9,0.00,.000,11.2,0.9,0.68,1.23,.653,8.2,.585,2.0,0.8,2.1,-0.77,-1.51,2.19,-1.35,-0.74,1.14,1.80,-1.20,1.32
"Fox, De'Aaron",42,0.08,"Fox, De'Aaron",SAC,25,73,33.4,25.0,1.63,.325,4.2,6.1,1.14,0.32,.513,18.2,.780,6.0,2.5,2.4,1.24,0.00,-0.69,0.96,0.41,-0.64,0.47,-0.34,-0.66
"Edwards, Anthony",43,0.08,"Edwards, Anthony",MIN,21,80,36.1,24.4,2.66,.362,5.8,4.4,1.58,0.78,.455,19.5,.756,5.3,3.3,2.4,1.15,0.96,-0.01,0.22,1.52,0.26,-1.05,-0.65,-1.65
"Brunson, Jalen",44,0.07,"Brunson, Jalen",NYK,26,68,35.0,24.0,1.97,.416,3.5,6.2,0.90,0.22,.492,17.6,.829,5.8,2.1,2.2,1.08,0.32,-0.95,0.99,-0.20,-0.83,-0.06,0.45,-0.19
"Siakam, Pascal",45,0.06,"Siakam, Pascal",TOR,28,72,37.4,24.3,1.31,.324,7.8,5.9,0.92,0.50,.482,18.5,.767,6.7,2.4,3.2,1.13,-0.30,0.82,0.85,-0.15,-0.28,-0.33,-0.61,-0.55
"Murphy, Trey",46,0.06,"Murphy, Trey",NOR,22,80,31.1,14.6,2.58,.406,3.6,1.4,1.13,0.54,.482,10.2,.908,2.4,0.8,2.0,-0.35,0.88,-0.95,-1.12,0.38,-0.21,-0.18,0.70,1.39
"LaVine, Zach",47,0.06,"LaVine, Zach",CHI,27,78,36.0,25.0,2.64,.374,4.5,4.2,0.90,0.23,.486,18.1,.849,5.7,2.5,2.1,1.24,0.94,-0.55,0.12,-0.20,-0.81,-0.20,0.74,-0.73
"Garland, Darius",48,0.06,"Garland, Darius",CLE,22,69,35.5,21.6,2.45,.410,2.7,7.8,1.26,0.13,.462,16.4,.863,4.7,2.9,2.1,0.72,0.76,-1.31,1.71,0.72,-1.01,-0.73,0.79,-1.15
