active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-02,5,-2,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,1339,2,9,1,6,0,0,0,2,1,0,0,4,1,-3.6
True,2022-12-05,17,-13,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1347,6,13,5,10,0,0,0,3,1,1,0,1,0,11.9
True,2022-12-07,9,-3,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1498,3,16,0,10,3,3,0,2,1,1,0,0,0,1.3
True,2022-12-09,31,8,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,2012,12,18,7,9,0,0,0,2,3,1,0,2,1,24.5
True,2022-12-11,28,-1,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,2143,10,22,6,14,2,2,0,7,5,0,1,3,3,18.7
True,2022-12-14,17,-9,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,1865,6,14,3,9,2,2,1,4,3,0,0,2,3,10.4
True,2022-12-16,28,22,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,1760,9,14,7,10,3,5,0,9,0,1,0,4,0,20.7
True,2022-12-19,10,-15,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,2072,4,12,2,8,0,0,1,3,2,1,0,0,0,7.2
True,2022-12-21,13,1,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,1796,4,12,3,6,2,2,0,4,3,1,0,2,1,8.1
True,2022-12-23,19,18,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,2035,7,18,3,11,2,2,0,1,2,1,1,0,2,11.8
True,2022-12-27,18,-19,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,1945,7,12,3,5,1,2,1,3,3,1,1,1,2,15.6
True,2022-12-28,14,4,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,1710,5,11,3,4,1,2,0,2,3,1,0,0,1,11.2
True,2022-12-30,17,-14,ATLANTA HAWKS,HOME,LOS ANGELES LAKERS,LOSS,2012,7,19,3,12,0,0,0,4,3,0,1,0,1,10.1
True,2023-01-02,21,6,ATLANTA HAWKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2595,9,16,3,6,0,0,0,3,3,1,1,1,2,16.3
True,2023-01-04,17,-1,ATLANTA HAWKS,AWAY,SACRAMENTO KINGS,WIN,1925,7,13,3,7,0,0,2,6,3,1,0,0,2,16.2
True,2023-01-06,10,-24,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,1742,3,7,0,3,4,4,0,3,2,1,1,2,3,7.1
True,2023-01-08,4,5,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,WIN,1557,2,13,0,7,0,0,0,4,5,1,0,1,1,0.0
True,2023-01-11,22,7,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2374,9,18,3,8,1,2,0,3,5,2,0,2,2,16.2
True,2023-01-13,4,-12,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,1603,2,9,0,4,0,0,0,3,2,0,0,1,2,-1.0
True,2023-01-16,8,10,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,1853,2,11,2,5,2,2,0,1,5,2,0,0,1,6.5
True,2023-01-18,12,6,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,WIN,1956,5,13,2,8,0,0,1,2,5,1,0,1,3,8.5
True,2023-01-20,14,8,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1437,6,12,2,8,0,0,1,1,2,0,0,0,2,9.6
True,2023-01-23,11,-20,ATLANTA HAWKS,AWAY,CHICAGO BULLS,LOSS,1963,4,12,3,8,0,0,1,0,4,1,0,2,3,5.5
True,2023-01-25,20,0,ATLANTA HAWKS,AWAY,OKLAHOMA CITY THUNDER,WIN,2062,7,11,4,7,2,4,1,3,4,1,1,1,2,18.6
True,2023-01-28,9,-1,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,LOSS,1441,4,8,1,4,0,0,0,0,3,1,0,1,1,6.7
True,2023-01-30,23,-2,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1928,7,16,4,10,5,7,0,4,7,1,0,1,2,19.1
