active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-1,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1563,1,3,0,0,0,0,2,6,0,0,2,1,2,3.1
True,2022-10-21,8,6,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1897,4,6,0,0,0,0,0,7,0,2,1,0,1,9.8
True,2022-10-23,14,-19,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1377,6,8,0,0,2,2,5,5,1,1,1,1,4,15.6
True,2022-10-26,6,22,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1586,3,8,0,0,0,0,5,5,2,1,4,1,0,10.8
True,2022-10-28,5,14,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1406,2,6,0,0,1,3,3,8,1,0,2,1,2,5.6
True,2022-10-29,11,-14,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,1727,5,8,0,0,1,2,5,5,1,2,1,2,1,13.0
True,2022-10-31,13,-24,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1525,6,7,0,0,1,4,2,3,0,0,1,1,2,10.5
True,2022-11-02,8,15,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1511,3,8,0,0,2,2,4,6,1,1,0,0,1,9.5
True,2022-11-05,21,8,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,2100,10,15,0,0,1,2,5,14,1,1,4,1,3,24.1
True,2022-11-07,5,1,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1329,2,7,0,0,1,1,3,9,0,1,1,1,3,5.2
True,2022-11-09,15,7,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,1571,7,13,0,0,1,2,10,9,1,0,2,1,1,18.7
True,2022-11-10,18,24,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1582,7,10,0,0,4,6,5,15,0,0,0,1,2,19.2
True,2022-11-12,14,-20,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1987,7,9,0,0,0,0,6,9,0,0,0,4,3,12.2
True,2022-11-14,19,14,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,1800,9,11,0,0,1,4,7,3,2,0,2,1,2,20.5
True,2022-11-16,7,-9,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1105,3,3,0,0,1,2,2,6,0,0,0,0,0,8.9
True,2022-11-19,18,10,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,2061,9,13,0,0,0,0,6,8,1,0,3,0,4,20.3
True,2022-11-21,4,-14,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1628,2,5,0,0,0,0,2,10,3,2,2,1,4,8.6
True,2022-11-23,11,6,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,1696,5,10,0,0,1,1,4,10,1,0,3,0,3,13.4
True,2022-11-28,10,-4,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1980,4,9,0,0,2,4,4,12,0,1,0,1,3,9.7
True,2022-11-30,20,21,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,1768,9,10,0,0,2,2,5,7,1,1,0,0,4,22.3
True,2022-12-02,12,-2,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,1832,5,10,0,0,2,4,6,5,0,1,0,0,4,11.3
True,2022-12-05,14,-2,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1824,7,10,0,0,0,0,7,9,0,0,2,4,4,13.2
True,2022-12-07,13,-25,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1311,6,7,0,0,1,2,7,5,0,0,1,0,3,16.0
True,2022-12-09,15,-7,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,1732,6,11,0,0,3,4,4,7,1,1,1,1,2,14.8
True,2022-12-11,15,-2,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,1863,7,9,0,0,1,1,3,11,1,1,1,0,1,18.9
True,2022-12-14,16,-5,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,1323,8,10,0,0,0,0,2,4,2,0,0,0,2,15.4
