active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,24,11,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2019,9,12,2,2,4,4,0,8,1,1,0,2,3,20.1
True,2022-10-21,23,26,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,2174,9,14,3,4,2,2,3,10,0,3,1,2,4,22.0
True,2022-10-23,10,-11,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,2309,3,12,0,7,4,4,2,8,1,1,4,1,2,9.3
True,2022-10-26,19,5,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,2154,9,14,0,1,1,1,1,10,0,1,4,4,4,14.7
True,2022-10-28,4,9,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1511,2,4,0,1,0,0,0,10,1,1,3,2,3,5.6
True,2022-10-29,4,-5,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,1885,2,4,0,2,0,2,2,3,2,0,0,2,3,1.7
True,2022-10-31,12,-24,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1777,5,12,1,6,1,1,3,9,1,0,0,0,6,8.7
True,2022-11-02,12,14,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1854,4,10,0,2,4,4,5,8,2,1,1,2,3,12.4
True,2022-11-05,7,-2,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,2152,3,6,1,2,0,0,1,4,1,0,2,0,4,6.4
True,2022-11-07,14,6,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1411,5,10,1,2,3,3,0,2,0,0,1,1,1,8.9
True,2022-11-09,15,19,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,1696,6,8,1,1,2,2,1,3,3,0,0,0,2,14.7
True,2022-11-10,11,0,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1544,3,11,0,3,5,5,0,4,2,1,0,2,5,4.1
True,2022-11-12,6,-22,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,2009,2,6,0,3,2,2,1,5,0,0,1,0,2,4.7
True,2022-11-14,16,13,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,2008,6,15,1,5,3,3,4,5,0,1,1,1,4,11.3
True,2022-11-16,12,-17,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1919,6,12,0,3,0,0,0,3,0,0,3,2,0,7.0
True,2022-11-19,9,10,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,2040,2,4,1,3,4,5,0,11,4,1,0,4,6,7.3
True,2022-11-21,16,-17,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,2035,5,9,3,5,3,3,1,0,2,2,1,2,5,12.5
True,2022-11-23,7,3,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,1911,3,12,0,7,1,1,0,3,2,1,1,3,4,-0.8
True,2022-11-25,8,-4,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,2024,2,7,0,4,4,5,0,5,1,2,2,0,2,8.3
True,2022-11-27,23,-4,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,2194,11,17,1,4,0,0,1,13,2,0,1,0,3,21.0
True,2022-11-28,13,6,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1943,4,8,1,4,4,8,0,8,3,2,4,0,4,15.1
True,2022-11-30,6,21,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,992,2,6,0,2,2,3,1,6,0,2,1,0,1,7.0
True,2022-12-19,12,-3,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1208,5,7,0,0,2,2,0,7,3,1,0,1,1,12.9
True,2022-12-21,4,-8,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,1274,2,5,0,2,0,0,0,7,0,1,0,1,4,1.8
True,2022-12-23,8,23,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1750,4,10,0,1,0,0,3,9,3,0,3,0,0,11.6
True,2022-12-27,26,-15,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,1780,11,17,3,6,1,3,2,8,0,0,1,1,6,18.8
True,2022-12-28,21,7,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,2010,8,16,1,3,4,6,0,8,1,0,1,0,4,14.4
