active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-07,1,-2,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,152,0,1,0,0,1,2,1,0,0,0,0,0,0,0.6
True,2022-11-14,0,1,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-30,9,7,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,1797,3,7,0,2,3,4,3,9,0,2,1,2,1,10.0
True,2022-12-02,10,15,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,1974,4,9,1,4,1,2,1,6,4,2,0,2,3,9.0
True,2022-12-05,9,-15,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1421,4,6,0,1,1,1,0,5,1,1,0,1,6,6.2
True,2022-12-07,2,-10,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1069,1,5,0,2,0,0,1,2,0,0,1,0,1,0.5
True,2022-12-09,4,6,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,591,1,2,0,0,2,2,1,3,0,0,0,0,1,4.2
True,2022-12-12,7,-13,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,LOSS,757,3,9,0,2,1,2,2,2,1,0,0,0,1,3.8
True,2022-12-14,2,-6,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,240,1,2,0,1,0,0,1,1,0,1,0,2,1,0.6
True,2022-12-16,0,-2,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,162,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
