active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,-6,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1082,2,5,1,2,0,0,0,0,1,3,0,2,1,3.6
True,2022-10-21,4,0,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,862,2,3,0,0,0,0,0,2,1,0,0,0,2,3.2
True,2022-10-23,2,-22,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,822,0,4,0,2,2,2,0,0,0,1,0,1,1,-1.2
True,2022-10-26,10,3,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1067,4,8,2,2,0,0,2,0,2,0,1,1,1,8.1
True,2022-10-28,14,17,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1672,5,6,1,1,3,3,1,1,3,2,1,1,4,15.0
True,2022-10-29,3,-5,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,1443,1,2,1,1,0,0,0,1,2,0,0,1,0,2.7
True,2022-10-31,0,5,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,553,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2022-11-02,8,-14,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1467,3,7,1,1,1,2,1,1,3,0,1,1,3,5.5
True,2022-11-05,5,-7,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,1304,2,4,1,2,0,0,1,2,2,1,0,1,0,5.7
True,2022-11-07,4,14,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1484,1,3,0,0,2,2,0,0,5,1,0,1,1,5.4
True,2022-11-09,2,4,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,621,1,2,0,0,0,0,1,2,2,0,0,2,1,1.3
True,2022-11-10,4,15,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1420,2,5,0,2,0,0,0,2,1,2,0,0,4,3.0
True,2022-11-12,5,5,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1135,2,6,1,3,0,0,0,0,0,0,0,1,3,-0.6
True,2022-11-14,4,18,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,1212,2,5,0,1,0,0,0,3,2,1,0,0,3,3.4
True,2022-11-16,2,-19,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,638,1,6,0,1,0,0,0,2,0,0,0,0,2,-2.0
True,2022-11-19,0,-9,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,480,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2022-11-21,3,-4,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1120,1,6,1,4,0,0,2,1,0,0,0,0,2,0.1
True,2022-11-23,9,3,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,1011,3,5,3,3,0,0,0,0,2,2,0,0,3,8.9
True,2022-11-25,2,-5,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,954,1,2,0,1,0,2,0,2,1,0,0,2,4,-2.1
True,2022-11-30,0,-2,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-02,10,13,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,1119,3,5,2,4,2,2,1,1,1,0,0,2,1,7.0
True,2022-12-07,7,-9,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1793,2,7,1,5,2,2,1,3,4,0,2,2,1,6.3
