active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,22,12,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1928,10,15,1,3,1,2,1,2,1,1,0,0,3,16.9
True,2022-10-21,12,6,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1952,5,12,1,3,1,1,0,6,1,0,0,1,3,5.9
True,2022-10-23,10,-2,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1873,4,11,1,5,1,2,2,3,4,1,0,1,3,7.4
True,2022-10-26,17,3,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1624,7,10,2,3,1,3,0,3,1,0,0,2,6,9.2
True,2022-10-28,12,8,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1052,5,10,2,5,0,0,0,2,1,0,0,1,4,5.7
True,2022-10-29,14,-5,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,1885,4,10,2,4,4,4,0,5,0,0,0,2,3,6.9
True,2022-10-31,11,-21,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1340,4,10,3,4,0,0,0,1,1,0,0,1,5,3.6
True,2022-11-02,21,22,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,2109,9,21,2,5,1,3,1,2,1,1,1,0,4,11.2
True,2022-11-05,15,12,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,2359,6,13,2,6,1,2,2,4,1,0,1,2,4,8.3
True,2022-11-07,10,1,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1435,3,9,0,1,4,5,1,5,1,0,0,4,3,2.2
True,2022-11-09,22,10,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,1954,9,15,1,6,3,3,0,3,0,1,0,1,1,15.6
True,2022-11-10,14,-4,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1916,6,13,1,3,1,2,2,2,0,0,0,2,2,6.1
True,2022-11-12,15,-12,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1598,4,12,0,3,7,8,1,3,0,0,0,1,4,6.8
True,2022-11-14,24,10,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,2111,6,15,2,3,10,10,0,3,2,0,0,1,3,16.0
True,2022-11-16,13,-21,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,2068,4,13,2,6,3,3,0,4,0,0,0,0,1,6.3
True,2022-11-19,22,3,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,2718,5,14,1,3,11,14,1,4,1,0,0,3,3,11.4
True,2022-11-23,13,1,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,2070,5,12,1,4,2,2,2,8,3,1,1,2,1,11.8
True,2022-11-25,8,-1,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,2284,3,12,0,6,2,2,1,4,0,0,0,1,4,0.1
True,2022-11-27,18,-9,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,2117,6,14,2,4,4,4,0,3,2,2,0,1,2,13.1
True,2022-11-28,18,4,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,2041,7,11,2,2,2,3,0,3,3,0,0,2,3,12.5
True,2022-11-30,2,5,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,435,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2022-12-11,16,9,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,1562,7,13,2,4,0,0,0,3,2,0,0,1,3,9.8
True,2022-12-12,19,-20,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1230,7,16,2,5,3,3,1,0,0,1,0,3,0,9.3
True,2022-12-14,25,5,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,2267,6,14,4,9,9,10,0,6,3,0,0,2,3,17.9
True,2022-12-16,11,10,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,1640,3,8,0,3,5,6,0,2,1,0,1,1,2,6.4
True,2022-12-19,16,-2,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,2145,6,11,3,6,1,2,1,3,2,1,0,1,3,12.1
True,2022-12-21,10,10,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,2266,4,10,0,4,2,2,2,7,2,0,2,0,3,9.7
True,2022-12-23,9,10,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1601,4,10,1,3,0,0,0,5,1,1,0,0,4,5.2
True,2023-01-02,17,-3,ATLANTA HAWKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2286,6,13,2,6,3,4,0,4,2,2,2,0,3,14.7
True,2023-01-04,22,2,ATLANTA HAWKS,AWAY,SACRAMENTO KINGS,WIN,2144,9,17,2,7,2,3,1,7,1,2,0,2,4,15.2
True,2023-01-06,16,-12,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,2239,5,13,2,5,4,6,1,7,0,0,0,1,4,8.3
True,2023-01-08,20,-2,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,WIN,2114,8,13,1,2,3,3,2,2,2,2,0,0,3,18.3
True,2023-01-11,16,-17,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2223,4,14,1,4,7,8,2,7,2,0,0,3,3,8.1
True,2023-01-13,25,8,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,2063,8,16,6,9,3,3,1,2,1,0,0,2,4,15.4
True,2023-01-14,11,16,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,WIN,2193,4,10,3,5,0,0,0,5,0,0,0,1,4,4.5
True,2023-01-16,15,0,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,2004,6,10,1,4,2,2,0,4,4,0,0,1,3,12.2
True,2023-01-18,11,7,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,WIN,1513,4,9,1,3,2,2,0,2,2,0,0,2,5,4.3
True,2023-01-20,20,5,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1852,7,11,3,7,3,4,0,3,2,1,0,0,3,16.8
True,2023-01-21,25,-7,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,2212,10,16,2,5,3,3,0,4,2,0,0,2,3,17.2
True,2023-01-28,14,-4,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,LOSS,2204,4,13,2,8,4,4,0,7,1,2,0,0,2,10.5
True,2023-01-30,10,-4,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2259,3,14,0,4,4,4,0,2,1,1,0,2,4,0.1
True,2023-02-01,15,23,ATLANTA HAWKS,AWAY,PHOENIX SUNS,WIN,1513,6,9,1,2,2,2,1,4,1,1,0,0,2,13.9
True,2023-02-03,26,4,ATLANTA HAWKS,AWAY,UTAH JAZZ,WIN,2171,10,15,3,5,3,4,1,3,3,1,0,0,2,23.0
True,2023-02-04,20,-15,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,1913,7,15,2,4,4,4,1,2,4,1,0,3,2,13.6
True,2023-02-07,3,-7,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,LOSS,1641,0,9,0,5,3,4,1,3,1,1,0,1,4,-3.0
True,2023-02-09,9,3,ATLANTA HAWKS,HOME,PHOENIX SUNS,WIN,2140,4,12,1,5,0,0,0,6,2,0,0,2,3,2.2
True,2023-02-11,24,21,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,WIN,1971,8,13,2,5,6,9,1,4,1,3,0,1,2,20.7
True,2023-02-13,21,9,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,2076,8,17,1,5,4,4,2,5,1,0,0,2,3,12.7
True,2023-02-15,20,-23,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1710,9,15,2,4,0,1,0,4,3,0,2,0,3,16.2
True,2023-02-24,9,6,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,1729,3,8,1,2,2,2,0,3,0,1,0,0,4,4.9
True,2023-02-26,9,-17,ATLANTA HAWKS,HOME,BROOKLYN NETS,WIN,1343,2,3,2,2,3,4,1,2,3,0,0,1,4,8.1
True,2023-02-28,14,-1,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,LOSS,1994,6,11,2,5,0,0,0,3,0,0,2,0,3,9.8
True,2023-03-03,17,1,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1922,7,14,2,4,1,2,0,4,1,0,0,2,3,8.3
True,2023-03-04,17,-4,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,1818,6,10,1,4,4,4,1,2,2,1,0,1,2,14.3
True,2023-03-06,14,-9,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,2165,6,13,1,4,1,2,1,3,4,1,0,3,3,8.1
True,2023-03-08,15,-7,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,1772,6,12,0,2,3,3,1,0,0,0,1,2,2,7.6
True,2023-03-10,18,1,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,2099,7,14,1,3,3,4,0,7,0,1,1,3,2,10.6
True,2023-03-11,16,1,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,2342,7,12,2,6,0,0,1,2,2,0,1,1,3,11.6
True,2023-03-13,15,-27,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2169,6,17,1,5,2,3,0,2,2,0,1,0,3,6.6
True,2023-03-17,14,4,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,WIN,1644,5,12,2,4,2,4,0,3,1,0,1,1,3,6.9
True,2023-03-19,12,-19,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,1985,5,12,0,3,2,2,3,2,2,0,0,2,1,7.3
True,2023-03-21,12,19,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1694,4,11,2,5,2,2,1,5,2,1,0,0,3,9.3
True,2023-03-22,16,-1,ATLANTA HAWKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1903,7,12,2,3,0,0,2,2,1,0,0,2,5,9.1
True,2023-03-26,17,2,ATLANTA HAWKS,HOME,MEMPHIS GRIZZLIES,LOSS,1938,8,20,1,8,0,0,1,4,2,2,0,1,3,9.3
True,2023-03-28,7,-7,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,2354,3,12,0,2,1,1,1,5,0,0,0,0,4,0.4
True,2023-04-07,14,-9,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,LOSS,1646,6,11,1,4,1,1,1,3,1,1,0,0,3,10.8
True,2023-04-09,14,1,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,1003,5,9,1,3,3,3,0,3,1,0,0,2,1,8.9
