active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,20,8,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2294,8,19,1,5,3,3,0,5,11,5,1,0,0,24.8
True,2022-10-21,20,17,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,2377,8,16,2,5,2,2,1,8,9,4,0,7,2,17.6
True,2022-10-23,19,-11,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,2328,7,15,2,4,3,3,1,7,5,1,1,4,2,14.5
True,2022-10-26,14,4,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,2359,5,18,2,6,2,4,2,6,8,2,2,2,2,12.0
True,2022-10-28,26,21,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1943,12,21,2,6,0,0,0,4,5,0,0,0,0,20.8
True,2022-10-29,21,1,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,2056,9,19,3,5,0,0,0,5,6,2,0,1,3,16.8
True,2022-10-31,20,-12,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1831,7,15,2,4,4,4,0,4,9,0,0,4,3,14.6
True,2022-11-02,36,26,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,2286,14,27,5,12,3,3,0,4,9,5,1,3,1,32.5
True,2022-11-05,22,21,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,2507,9,23,1,8,3,4,2,8,11,3,0,2,3,20.4
True,2022-11-07,25,4,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1923,11,24,3,9,0,0,2,6,11,3,0,3,1,23.1
True,2022-11-09,26,-7,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,2269,11,20,1,5,3,4,1,5,5,0,1,3,4,17.8
True,2022-11-10,10,-14,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,2082,5,13,0,4,0,0,0,3,8,2,0,2,1,9.0
True,2022-11-12,23,-21,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,2299,9,23,1,4,4,4,3,5,7,2,0,0,1,20.6
True,2022-11-14,19,6,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,2161,6,14,1,4,6,7,0,8,5,0,0,1,2,15.3
True,2022-11-16,19,-24,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,2023,9,17,1,3,0,0,0,3,5,1,0,3,3,11.9
True,2022-11-19,17,13,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,2421,7,18,1,6,2,2,0,7,4,2,0,2,0,12.1
