active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,8,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1267,6,8,0,0,1,3,1,8,0,0,0,0,4,10.5
True,2022-10-21,3,4,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,983,1,2,0,0,1,2,2,1,0,0,0,1,4,0.7
True,2022-10-23,10,1,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1403,4,6,0,0,2,4,3,2,1,1,2,2,4,8.8
True,2022-10-26,10,-19,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1278,5,5,0,0,0,0,0,3,0,1,1,0,2,10.3
True,2022-10-28,16,10,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1291,7,10,0,0,2,2,5,2,2,1,1,0,2,18.2
True,2022-10-29,6,6,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,1153,3,5,0,0,0,0,2,4,1,0,1,2,4,4.1
True,2022-10-31,8,0,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,975,3,4,0,0,2,2,1,4,1,0,2,1,3,8.2
True,2022-11-02,4,-2,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1161,2,4,0,0,0,0,3,4,1,1,0,0,2,6.2
True,2022-11-05,4,-4,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,1064,1,2,0,0,2,2,0,1,1,1,0,0,5,3.0
True,2022-11-07,12,22,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1320,6,11,0,1,0,0,3,3,2,1,0,1,1,10.7
True,2022-11-09,4,-17,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,1199,2,4,0,0,0,0,1,4,3,1,1,0,2,6.9
True,2022-11-10,10,-17,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1275,5,6,0,0,0,0,2,9,0,0,2,1,5,10.3
True,2022-11-14,6,0,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,1028,3,5,0,0,0,0,1,4,1,0,1,0,5,5.0
True,2022-11-16,2,-13,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1230,1,3,0,0,0,0,5,4,3,1,0,1,2,6.3
True,2022-11-19,3,-8,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,1119,1,2,0,0,1,2,0,4,0,0,0,0,1,2.4
True,2022-11-21,18,-1,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1184,6,9,0,1,6,6,3,7,0,0,0,1,1,16.9
True,2022-11-23,5,1,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,1151,1,3,0,0,3,4,2,5,1,0,1,1,4,4.6
True,2022-11-25,4,1,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1962,0,0,0,0,4,6,5,6,2,2,2,2,5,9.3
True,2022-11-27,6,-13,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,2019,3,7,0,0,0,0,3,1,0,1,2,1,1,5.7
True,2022-11-28,2,0,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,886,1,1,0,0,0,0,0,2,1,0,1,2,3,0.5
True,2022-11-30,12,-2,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,1031,5,7,0,0,2,2,4,4,1,0,0,2,3,10.6
True,2022-12-02,10,10,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,1048,5,6,0,0,0,0,0,3,2,1,0,0,3,9.9
True,2022-12-05,9,-5,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1056,4,6,0,0,1,2,3,5,1,0,0,3,3,6.1
True,2022-12-07,10,-7,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1461,2,5,0,1,6,8,1,5,0,0,1,1,1,8.0
True,2022-12-09,6,3,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,1148,3,4,0,0,0,0,3,4,0,1,0,1,3,6.5
True,2022-12-11,14,1,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,1316,6,8,0,0,2,3,3,6,1,1,0,1,3,13.8
True,2022-12-12,6,-19,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1708,2,8,0,0,2,4,7,3,1,2,1,2,4,6.0
True,2022-12-14,15,-6,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,1557,4,8,0,0,7,8,5,6,0,1,0,1,3,14.7
True,2022-12-16,7,4,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,1361,2,2,0,0,3,4,2,5,0,0,2,1,3,8.1
True,2022-12-19,11,4,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1668,5,7,0,0,1,2,2,6,0,0,2,0,4,10.7
True,2022-12-21,18,11,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,2410,8,14,0,0,2,2,5,6,1,0,5,1,3,18.7
True,2022-12-23,12,12,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1244,4,5,0,0,4,4,2,7,2,0,2,0,5,14.4
True,2022-12-27,6,-9,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,1242,3,5,0,0,0,0,3,5,0,1,0,1,5,5.3
True,2022-12-28,18,1,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,2215,6,12,0,0,6,9,7,6,1,0,3,0,3,19.1
True,2022-12-30,17,-7,ATLANTA HAWKS,HOME,LOS ANGELES LAKERS,LOSS,2555,8,11,0,0,1,2,3,5,0,2,3,2,4,16.2
True,2023-01-02,16,3,ATLANTA HAWKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2306,8,14,0,0,0,0,6,6,1,2,3,3,4,15.6
True,2023-01-04,8,3,ATLANTA HAWKS,AWAY,SACRAMENTO KINGS,WIN,1929,3,5,0,0,2,2,2,5,1,0,1,3,5,5.0
True,2023-01-06,10,-17,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,1700,5,6,0,0,0,0,3,4,1,3,1,1,0,14.5
True,2023-01-08,5,-4,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,WIN,2075,2,6,0,0,1,2,2,7,2,0,3,1,4,5.6
True,2023-01-11,7,-22,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,1987,3,7,0,0,1,1,3,6,5,0,2,0,3,10.9
True,2023-01-13,18,19,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,2350,9,12,0,0,0,1,7,13,4,2,4,1,5,26.2
True,2023-01-14,10,14,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,WIN,2196,5,10,0,0,0,0,2,11,0,1,2,0,3,10.9
True,2023-01-16,8,7,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,1638,3,3,0,0,2,2,1,2,0,1,1,2,5,6.1
True,2023-01-18,11,-4,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,WIN,1494,4,6,0,0,3,4,2,3,1,0,1,3,4,7.1
True,2023-01-20,14,-1,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1619,6,7,0,0,2,3,4,3,1,0,3,0,3,16.4
True,2023-01-21,3,-12,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1464,1,1,0,0,1,2,1,6,0,0,2,1,2,4.4
True,2023-01-25,8,21,ATLANTA HAWKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1224,4,5,0,0,0,0,1,4,2,1,2,3,4,7.2
True,2023-01-28,6,-7,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,LOSS,1203,3,5,0,0,0,0,4,5,0,1,0,0,4,7.4
True,2023-01-30,8,-3,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1157,4,4,0,0,0,0,2,5,1,1,0,0,3,10.2
True,2023-02-01,17,24,ATLANTA HAWKS,AWAY,PHOENIX SUNS,WIN,1197,7,7,1,1,2,2,2,2,0,1,2,2,4,15.7
True,2023-02-03,15,4,ATLANTA HAWKS,AWAY,UTAH JAZZ,WIN,1336,6,9,0,1,3,3,3,8,2,0,0,1,4,14.4
True,2023-02-04,6,-1,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,1140,3,7,0,0,0,0,2,4,1,0,3,0,4,6.1
True,2023-02-07,8,3,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,LOSS,1188,3,4,0,0,2,3,3,2,2,0,3,1,3,10.0
True,2023-02-09,11,-2,ATLANTA HAWKS,HOME,PHOENIX SUNS,WIN,1361,4,6,0,0,3,4,4,7,0,1,1,0,3,13.4
True,2023-02-11,6,-8,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,WIN,1137,3,6,0,0,0,0,0,3,2,1,0,1,0,5.3
True,2023-02-13,12,-8,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1125,5,8,0,0,2,2,5,2,1,3,2,0,4,16.0
True,2023-02-15,7,-8,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1111,3,9,0,0,1,2,1,3,1,0,1,0,4,2.9
True,2023-02-24,13,15,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,1501,6,7,0,0,1,2,1,10,2,2,3,1,2,17.5
True,2023-02-26,10,16,ATLANTA HAWKS,HOME,BROOKLYN NETS,WIN,1704,3,5,0,0,4,4,3,4,1,0,0,1,5,8.7
True,2023-02-28,3,-5,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,LOSS,766,1,4,0,0,1,1,3,3,1,1,1,1,5,3.0
True,2023-03-03,7,21,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1360,3,5,1,1,0,0,1,3,0,3,1,4,2,5.2
True,2023-03-04,15,6,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,1384,4,5,0,0,7,8,1,3,1,0,0,1,5,12.0
True,2023-03-06,6,0,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,848,2,5,0,0,2,2,1,1,0,0,0,1,3,2.1
True,2023-03-08,9,7,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,1235,4,7,0,1,1,5,2,2,3,0,2,1,4,7.0
True,2023-03-10,4,12,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,1114,1,4,0,0,2,4,1,7,1,2,1,0,3,5.8
True,2023-03-11,11,12,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1372,4,5,0,0,3,3,5,3,2,0,1,0,1,15.2
True,2023-03-13,16,-12,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1477,6,7,0,0,4,4,9,5,0,1,1,3,1,19.6
True,2023-03-17,19,-1,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,WIN,1435,8,9,0,0,3,4,3,4,1,1,2,0,2,21.1
True,2023-03-19,17,-2,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,1207,6,8,0,0,5,5,4,3,0,1,1,1,2,17.4
True,2023-03-21,7,4,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1191,3,5,0,0,1,2,7,1,1,1,3,0,2,12.5
True,2023-03-22,14,5,ATLANTA HAWKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1133,6,10,0,1,2,3,1,6,1,0,3,2,5,10.3
True,2023-03-25,12,15,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,1074,3,5,0,0,6,6,4,2,3,3,1,1,2,17.1
True,2023-03-26,13,-7,ATLANTA HAWKS,HOME,MEMPHIS GRIZZLIES,LOSS,1147,6,6,0,0,1,1,4,3,0,0,1,0,2,14.8
True,2023-03-28,21,15,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,1226,5,5,0,0,11,12,2,7,0,0,3,2,4,21.1
True,2023-03-31,12,1,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,1160,3,4,0,0,6,6,3,3,0,0,2,1,3,12.6
True,2023-04-02,14,0,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,1236,6,9,0,0,2,2,1,4,0,0,2,1,3,11.2
True,2023-04-04,11,3,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1198,4,7,1,1,2,2,1,5,1,0,3,1,2,10.9
True,2023-04-05,6,6,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,1431,2,8,0,1,2,2,2,4,3,2,1,1,5,5.6
True,2023-04-07,10,8,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,LOSS,1230,5,8,0,1,0,0,2,6,0,0,2,2,3,7.8
True,2023-04-09,10,-7,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,1581,4,7,1,2,1,2,4,5,2,1,0,1,0,12.0
