active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,23,16,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2274,7,22,1,9,8,8,0,3,13,1,1,3,1,18.7
True,2022-10-21,25,5,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,2242,7,24,4,11,7,7,2,2,13,0,0,6,3,14.9
True,2022-10-23,28,-6,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1997,9,25,2,8,8,9,2,3,9,0,0,1,4,19.7
True,2022-10-26,35,10,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,2264,9,21,1,7,16,17,0,3,6,1,0,1,2,27.8
True,2022-10-28,36,12,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1807,12,20,4,6,8,10,1,1,12,0,0,1,1,34.0
True,2022-10-29,42,-13,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,2186,15,32,5,10,7,7,1,5,5,0,0,2,1,28.9
True,2022-10-31,14,-29,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1947,3,13,1,5,7,8,0,0,10,1,0,10,0,3.7
True,2022-11-02,17,17,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1672,7,22,2,7,1,2,1,5,7,1,0,1,1,10.7
True,2022-11-05,34,-6,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,2541,9,26,2,9,14,15,1,0,10,2,1,5,3,23.2
True,2022-11-09,22,8,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,2145,10,28,2,5,0,0,1,3,9,2,0,2,0,14.3
True,2022-11-10,26,16,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1984,7,21,2,8,10,10,1,2,7,1,0,6,0,15.3
