active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,1,-5,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,497,0,2,0,1,1,2,2,3,1,0,0,0,3,1.0
True,2022-10-22,0,-4,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,573,0,1,0,1,0,0,0,0,1,1,0,0,1,0.6
True,2022-10-24,2,3,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,327,1,4,0,0,0,0,3,1,1,0,0,0,0,2.7
True,2022-10-28,7,-1,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,702,1,1,1,1,4,4,0,2,0,1,0,2,4,4.7
True,2022-11-05,7,6,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,905,3,4,1,2,0,0,0,1,2,0,0,2,1,4.7
True,2022-11-12,7,1,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,1260,3,6,1,3,0,0,1,5,0,0,0,0,1,5.8
True,2022-11-16,0,-4,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,416,0,1,0,0,0,0,0,2,1,0,0,0,1,0.2
True,2022-11-28,9,19,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1295,4,5,1,2,0,0,2,2,0,0,0,1,4,6.5
True,2022-12-05,13,3,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1938,5,6,0,1,3,5,3,5,2,1,0,1,5,13.0
True,2022-12-07,9,32,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,1290,3,6,3,4,0,0,1,8,1,0,1,0,3,9.3
True,2022-12-10,13,-3,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,1209,4,5,1,1,4,5,1,6,1,0,0,0,1,13.5
True,2022-12-12,5,-20,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,1241,1,3,0,2,3,5,1,5,5,0,0,0,1,7.8
True,2022-12-13,6,4,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,1395,3,11,0,5,0,0,1,4,3,0,0,0,3,2.3
True,2022-12-16,0,-3,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,321,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2022-12-25,2,-5,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,371,1,3,0,1,0,0,0,0,0,1,0,0,1,0.9
True,2023-01-03,0,-2,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,720,0,1,0,1,0,0,0,2,2,1,1,0,1,2.6
True,2023-01-05,0,1,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,163,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-21,0,13,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,464,0,0,0,0,0,0,0,1,1,0,1,0,2,0.9
True,2023-01-23,3,-4,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,690,1,2,1,2,0,0,1,2,0,1,0,0,0,4.3
True,2023-01-24,0,-3,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,244,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2023-02-01,0,0,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,550,0,1,0,1,0,0,0,3,1,0,0,1,1,-0.5
True,2023-02-06,0,5,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,803,0,0,0,0,0,2,1,1,1,0,0,0,2,0.1
True,2023-02-08,15,0,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,1097,5,8,5,8,0,0,1,1,1,0,0,2,1,10.7
True,2023-02-10,5,2,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,833,2,3,1,2,0,0,2,3,1,0,0,1,2,4.9
True,2023-02-14,15,15,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,1452,6,9,3,6,0,1,1,5,6,1,1,1,3,16.6
True,2023-02-15,9,14,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1726,4,10,1,3,0,0,3,2,1,1,1,2,6,4.3
True,2023-02-27,0,-11,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,336,0,2,0,2,0,0,0,1,1,0,0,1,2,-2.2
True,2023-03-06,4,7,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,1081,2,4,0,2,0,0,0,4,2,0,0,1,2,2.8
True,2023-03-08,0,15,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1092,0,1,0,1,0,0,1,5,3,2,0,0,4,4.0
True,2023-03-11,8,5,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,905,4,6,0,0,0,0,3,2,1,1,1,1,2,8.7
True,2023-03-13,0,-5,BOSTON CELTICS,AWAY,HOUSTON ROCKETS,LOSS,496,0,1,0,1,0,0,1,3,2,0,0,0,2,1.5
True,2023-03-15,4,-1,BOSTON CELTICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,925,2,2,0,0,0,0,1,3,0,0,0,0,4,3.4
True,2023-03-17,2,8,BOSTON CELTICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,812,1,5,0,2,0,0,6,3,1,1,0,0,0,5.7
True,2023-03-18,6,-6,BOSTON CELTICS,AWAY,UTAH JAZZ,LOSS,1128,2,5,1,3,1,2,1,3,1,0,0,0,0,5.2
True,2023-03-26,0,11,BOSTON CELTICS,HOME,SAN ANTONIO SPURS,WIN,305,0,0,0,0,0,0,0,2,2,0,0,1,0,1.0
True,2023-03-30,4,-5,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,WIN,364,1,1,1,1,1,2,0,0,1,0,0,1,3,1.8
True,2023-03-31,6,3,BOSTON CELTICS,HOME,UTAH JAZZ,WIN,1470,1,5,0,2,4,4,5,7,5,1,0,2,0,11.0
True,2023-04-04,0,4,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,LOSS,500,0,0,0,0,0,0,2,3,1,0,1,0,1,3.3
True,2023-04-05,2,2,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,769,1,1,0,0,0,0,2,3,2,0,1,1,0,5.1
True,2023-04-07,3,9,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1161,1,2,1,2,0,0,1,2,5,1,1,0,4,6.9
True,2023-04-09,3,5,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,308,1,3,1,3,0,0,0,2,1,0,0,1,1,1.2
