active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,0,3,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,199,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-10-21,6,12,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,775,2,3,2,3,0,0,0,0,0,1,0,0,2,4.9
True,2022-10-22,9,2,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,406,3,4,3,4,0,0,0,2,0,0,0,0,0,8.0
True,2022-10-24,4,-11,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,667,1,4,1,4,1,2,1,1,1,0,0,0,0,2.9
True,2022-10-28,5,23,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,703,2,3,1,2,0,0,0,1,0,0,0,1,1,2.6
True,2022-10-30,9,11,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1371,3,5,3,5,0,0,0,5,2,1,1,0,1,10.9
True,2022-11-02,0,-9,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,602,0,1,0,1,0,0,0,0,0,0,0,0,3,-1.9
True,2022-11-04,8,19,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,1089,3,6,2,4,0,0,2,2,0,0,0,0,0,7.0
True,2022-11-05,17,14,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1266,6,9,5,8,0,0,1,2,2,0,0,0,2,15.0
True,2022-11-07,5,9,BOSTON CELTICS,AWAY,MEMPHIS GRIZZLIES,WIN,662,1,2,1,2,2,2,0,1,1,1,0,0,1,5.6
True,2022-11-09,24,-1,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1911,9,15,6,12,0,0,0,2,0,0,0,0,3,16.5
True,2022-11-11,5,12,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,1209,2,7,1,6,0,0,0,5,1,0,2,0,2,3.7
True,2022-11-12,5,-1,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,1244,2,7,1,6,0,0,0,1,1,0,0,0,2,1.1
True,2022-11-14,6,3,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,983,2,5,2,5,0,0,0,1,0,1,1,1,0,4.3
True,2022-11-16,15,35,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1649,5,6,5,6,0,0,0,6,0,0,0,0,2,13.8
True,2022-11-18,6,-2,BOSTON CELTICS,AWAY,NEW ORLEANS PELICANS,WIN,1269,2,7,2,5,0,0,2,2,2,0,0,1,2,3.5
True,2022-11-21,4,-2,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,745,1,2,1,2,1,2,0,2,0,0,0,0,4,1.6
True,2022-11-23,3,4,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,1045,1,3,1,3,0,0,0,3,1,0,0,0,3,1.7
True,2022-11-25,9,21,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1294,3,6,3,6,0,0,1,2,1,0,0,0,1,7.6
True,2022-11-27,14,-4,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1279,4,5,3,4,3,3,0,5,1,0,0,2,3,11.1
True,2022-11-28,11,7,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1640,4,7,3,6,0,0,0,3,2,1,2,2,0,10.4
True,2022-11-30,0,-3,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,442,0,2,0,2,0,0,0,0,1,1,0,0,0,0.3
True,2022-12-02,5,-13,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,572,2,4,1,3,0,0,0,2,1,0,0,0,0,4.3
True,2022-12-04,3,0,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,1057,1,3,1,3,0,0,1,2,1,0,1,0,0,4.0
True,2022-12-05,5,-2,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,951,2,5,1,4,0,0,1,2,1,0,0,0,3,3.1
True,2022-12-07,6,0,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,1283,2,7,2,6,0,0,1,5,0,1,0,0,2,4.3
True,2022-12-10,3,-7,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,647,1,3,1,3,0,0,1,0,0,0,0,0,0,2.0
True,2022-12-12,5,3,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,790,2,7,1,6,0,0,0,1,1,0,0,0,0,1.9
True,2022-12-13,3,1,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,642,1,4,1,4,0,0,0,2,0,0,0,1,1,-0.2
True,2022-12-16,0,-4,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,626,0,2,0,2,0,0,0,2,0,0,0,0,1,-1.2
True,2022-12-18,5,-2,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,964,2,5,1,4,0,0,1,2,2,0,0,0,0,5.0
True,2022-12-21,10,-20,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,1063,4,8,2,4,0,0,3,3,0,2,1,1,0,10.7
True,2022-12-23,0,-14,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,448,0,2,0,2,0,0,0,1,1,1,0,1,3,-1.6
True,2022-12-25,6,3,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,431,2,4,2,4,0,0,0,2,1,0,0,0,0,5.3
True,2022-12-27,3,7,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,772,1,4,1,4,0,2,0,4,2,0,0,1,1,1.0
True,2022-12-29,3,1,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,924,1,5,1,4,0,0,0,3,1,0,0,0,1,1.1
True,2023-01-01,5,5,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,687,2,3,1,2,0,0,0,0,0,0,0,0,0,3.7
True,2023-01-03,6,-5,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1382,2,6,2,6,0,0,1,3,0,1,0,3,0,2.2
True,2023-01-05,5,7,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,642,2,4,1,3,0,0,1,1,1,0,0,0,1,4.3
True,2023-01-07,6,6,BOSTON CELTICS,AWAY,SAN ANTONIO SPURS,WIN,743,2,4,1,2,1,2,0,1,0,1,0,1,1,3.5
True,2023-01-09,3,-12,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,719,1,2,1,1,0,0,0,1,0,0,0,0,0,2.3
True,2023-01-11,0,-3,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,WIN,462,0,3,0,2,0,0,1,1,0,0,0,0,1,-1.5
True,2023-01-12,2,1,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,309,1,2,0,1,0,0,1,0,2,0,0,0,0,3.1
True,2023-01-14,2,-14,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,322,1,3,0,2,0,0,0,1,0,0,0,0,1,0.2
