active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,6,8,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,1386,2,7,2,5,0,0,1,4,1,0,0,0,4,2.9
True,2022-10-21,9,-3,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,2010,3,5,3,5,0,0,1,4,1,0,0,3,2,5.5
True,2022-10-24,8,-1,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,1526,3,7,2,6,0,0,1,4,2,0,1,0,1,7.9
True,2022-10-28,12,-20,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,2485,5,7,2,4,0,0,1,1,4,0,1,1,3,11.4
True,2022-10-30,5,9,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1412,2,7,1,5,0,0,2,6,1,0,1,1,2,3.7
True,2022-11-02,12,11,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,2399,5,11,1,4,1,1,1,11,1,1,1,1,2,10.9
True,2022-11-04,11,-13,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,2004,4,8,1,5,2,3,1,4,5,0,1,1,3,10.5
True,2022-11-07,15,-7,BOSTON CELTICS,AWAY,MEMPHIS GRIZZLIES,WIN,1948,6,7,3,3,0,0,0,6,2,1,2,0,1,17.7
True,2022-11-09,13,17,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1583,6,6,1,1,0,1,1,5,2,1,0,0,3,14.2
True,2022-11-11,21,11,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,2066,7,12,6,8,1,2,0,7,2,1,0,0,0,19.5
True,2022-11-14,12,-1,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,1943,5,12,1,5,1,1,4,7,4,1,1,1,2,13.2
True,2022-11-16,7,23,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1639,3,6,1,3,0,0,3,8,4,0,1,2,4,8.4
True,2022-11-18,18,17,BOSTON CELTICS,AWAY,NEW ORLEANS PELICANS,WIN,2054,7,8,4,5,0,0,3,4,2,0,0,2,1,17.5
True,2022-11-21,0,-11,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,2086,0,9,0,7,0,0,1,4,2,2,2,1,1,-1.0
True,2022-11-23,14,17,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,2100,5,5,4,4,0,0,0,5,4,0,1,0,2,16.7
True,2022-11-25,13,0,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1667,5,8,3,3,0,0,0,4,5,0,2,0,1,15.1
