active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,6,3,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,327,2,3,2,2,0,0,0,0,0,0,0,0,0,4.7
True,2022-10-30,0,-6,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,221,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-11-09,0,-8,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,336,0,2,0,2,0,0,0,1,1,0,0,0,1,-0.8
True,2022-11-16,0,0,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,602,0,1,0,1,0,0,0,1,0,0,1,0,0,0.3
True,2022-11-23,0,-2,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-25,0,-9,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,244,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-11-27,0,-14,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-28,0,-5,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,541,0,2,0,2,0,0,0,2,1,2,0,0,0,1.9
True,2022-12-04,0,-5,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,103,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-07,0,-10,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,606,0,3,0,2,0,0,0,1,2,0,0,0,0,-0.4
True,2022-12-10,0,2,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-12,0,1,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,196,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0
True,2022-12-23,0,-4,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,72,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-12-27,3,3,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,160,1,1,1,1,0,0,0,0,0,0,0,0,1,2.3
True,2023-01-01,0,2,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,125,0,1,0,0,0,0,0,0,2,1,0,0,0,1.7
True,2023-01-03,4,-1,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,362,1,3,1,2,1,2,1,0,1,0,1,0,0,4.0
True,2023-01-05,2,1,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,163,1,2,0,0,0,0,0,0,1,1,1,0,1,3.0
True,2023-01-11,0,-8,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,WIN,163,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0
True,2023-01-14,0,-2,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,233,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2023-01-23,0,-3,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-24,3,-5,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,851,1,3,1,3,0,0,0,5,0,0,0,0,1,2.4
True,2023-02-01,2,-1,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,489,1,2,0,1,0,0,0,3,1,0,0,0,0,2.6
True,2023-02-03,0,0,BOSTON CELTICS,HOME,PHOENIX SUNS,LOSS,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
