active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,1,-3,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,351,0,0,0,0,1,2,1,0,0,0,0,1,1,-0.1
True,2022-10-24,2,3,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,327,1,3,0,1,0,0,1,2,0,0,0,0,0,1.6
True,2022-10-28,4,7,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,1534,2,3,0,0,0,0,2,3,3,0,0,0,1,6.7
True,2022-10-30,3,13,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1155,1,1,1,1,0,0,1,3,3,0,2,3,3,3.6
True,2022-11-02,0,-8,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,150,0,0,0,0,0,0,0,0,1,0,1,0,1,1.0
True,2022-11-04,4,17,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,870,1,3,0,1,2,2,1,2,1,2,2,0,1,7.3
True,2022-11-09,2,-6,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1069,1,2,0,0,0,0,3,2,2,0,1,2,3,2.6
True,2022-11-11,8,10,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,773,4,8,0,0,0,0,4,3,1,0,1,0,1,8.7
True,2022-11-12,6,-5,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,554,1,1,0,0,4,4,0,1,1,0,0,0,2,5.9
True,2022-11-14,0,7,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,323,0,0,0,0,0,0,0,1,0,0,1,0,1,0.6
True,2022-11-16,15,7,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1523,7,7,1,1,0,0,1,7,1,0,4,1,2,17.4
True,2022-11-18,4,-10,BOSTON CELTICS,AWAY,NEW ORLEANS PELICANS,WIN,897,1,1,0,0,2,2,1,5,1,0,1,0,1,6.9
True,2022-11-21,2,-7,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,381,1,1,0,0,0,0,1,1,0,0,0,0,2,1.9
True,2022-11-25,4,19,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,767,2,2,0,0,0,0,0,5,0,0,2,0,3,5.1
True,2022-11-27,12,-8,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1337,4,8,0,1,4,4,4,0,1,0,2,1,4,10.3
True,2022-11-28,9,18,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1087,4,4,0,0,1,1,1,7,0,0,1,0,3,10.1
True,2022-11-30,4,-3,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,877,2,3,0,0,0,0,1,0,0,0,0,0,1,3.0
True,2022-12-02,0,-9,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,627,0,0,0,0,0,0,0,1,0,1,0,0,1,0.9
True,2022-12-04,2,-5,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,152,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2022-12-05,11,3,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,933,5,7,0,1,1,1,3,4,0,0,1,3,2,8.3
True,2022-12-07,12,-3,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,1565,6,6,0,0,0,0,1,3,3,2,1,0,0,16.6
True,2022-12-10,0,-9,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,592,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.5
True,2022-12-12,4,7,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,898,2,2,0,0,0,0,0,2,1,0,2,0,1,5.7
True,2022-12-13,2,7,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,1443,1,3,0,0,0,2,6,1,1,0,1,0,2,4.6
True,2022-12-16,2,-10,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,440,1,1,0,0,0,0,1,1,0,0,0,0,2,1.9
True,2022-12-18,0,2,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,464,0,0,0,0,0,0,1,0,0,0,1,0,0,1.4
True,2022-12-21,0,2,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,301,0,2,0,0,0,0,3,2,0,0,0,0,0,1.3
True,2022-12-23,2,-3,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,629,1,4,0,0,0,0,5,1,1,1,0,0,1,4.7
True,2022-12-25,2,2,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,221,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2022-12-27,0,3,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,160,0,0,0,0,0,0,0,1,1,0,0,1,1,-0.4
True,2023-01-01,4,2,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,125,2,2,0,0,0,0,0,0,0,0,0,0,1,3.0
True,2023-01-03,0,-8,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,667,0,0,0,0,0,0,0,0,1,0,1,0,0,1.4
True,2023-01-05,4,6,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,225,2,2,0,0,0,0,0,1,0,0,0,0,0,3.7
True,2023-01-09,0,0,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,188,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-11,2,-4,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,WIN,991,1,4,0,0,0,0,2,3,2,0,2,1,3,2.5
True,2023-01-12,11,0,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,1002,5,5,1,1,0,0,3,2,1,0,0,1,1,11.5
True,2023-01-14,2,4,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,671,1,1,0,0,0,0,2,2,0,0,2,1,1,3.7
True,2023-01-16,6,6,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,673,2,2,0,0,2,2,2,1,0,0,1,0,2,7.0
True,2023-01-19,2,3,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,450,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2023-01-21,2,0,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,505,1,1,0,0,0,0,2,2,0,0,1,0,1,4.0
True,2023-01-23,4,-13,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,877,2,6,0,2,0,0,4,1,0,0,0,1,2,1.9
True,2023-01-24,7,-1,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,750,3,4,0,0,1,2,0,0,0,1,1,0,1,6.3
True,2023-01-26,0,-4,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,250,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-01-28,2,8,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,WIN,981,0,0,0,0,2,2,1,1,2,1,2,0,2,6.0
True,2023-02-01,12,10,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,1128,5,6,0,0,2,3,2,2,4,1,1,2,2,13.1
True,2023-02-03,4,1,BOSTON CELTICS,HOME,PHOENIX SUNS,LOSS,564,1,1,0,0,2,2,0,1,0,0,0,1,2,2.2
True,2023-02-08,8,6,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,1711,3,3,0,0,2,2,0,4,1,0,2,0,2,9.6
True,2023-02-10,5,5,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,440,2,2,0,0,1,1,0,1,1,0,0,0,2,4.6
True,2023-02-12,2,10,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,411,1,2,0,0,0,0,3,1,0,1,0,0,1,4.0
True,2023-02-14,0,-3,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,96,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-02-15,8,4,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1214,3,5,0,0,2,2,1,1,1,0,3,0,2,8.7
True,2023-02-23,0,-4,BOSTON CELTICS,AWAY,INDIANA PACERS,WIN,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
