active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,3,-2,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,221,1,2,1,1,0,0,0,0,0,0,0,0,1,1.6
True,2022-10-24,3,3,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,327,1,4,1,2,0,0,0,1,2,0,0,0,0,2.3
True,2022-10-30,1,1,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,444,0,1,0,1,1,2,0,0,2,0,0,2,1,-1.1
True,2022-11-09,4,-1,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,766,2,6,0,3,0,0,0,3,1,0,0,2,1,-0.2
True,2022-11-11,11,0,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,944,5,6,0,1,1,2,4,1,0,1,0,2,0,10.5
True,2022-11-12,5,16,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,899,2,6,1,3,0,0,1,1,2,0,0,2,0,2.0
True,2022-11-14,10,4,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,843,4,8,2,4,0,0,3,1,1,2,0,1,0,10.1
True,2022-11-16,14,5,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1452,5,8,4,6,0,0,0,3,4,1,0,1,2,13.3
True,2022-11-18,0,-10,BOSTON CELTICS,AWAY,NEW ORLEANS PELICANS,WIN,287,0,1,0,1,0,0,0,0,0,1,0,0,0,0.3
True,2022-11-23,0,-3,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,98,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-25,9,22,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,912,2,4,2,3,3,4,0,1,0,0,0,0,0,6.9
True,2022-11-27,3,-13,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1024,1,4,1,2,0,0,0,1,1,0,0,0,0,1.6
True,2022-11-28,6,-9,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1043,2,9,2,8,0,0,0,0,2,0,1,1,0,1.6
True,2022-12-04,6,-5,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,976,3,8,0,3,0,0,0,2,1,0,0,1,1,1.5
True,2022-12-07,7,-10,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,606,2,5,1,3,2,2,1,1,1,1,0,1,1,5.6
True,2022-12-10,3,-4,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,435,1,3,1,3,0,0,1,0,1,0,0,0,0,2.7
True,2022-12-12,0,-2,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,434,0,1,0,1,0,0,0,0,2,0,0,1,0,-0.3
True,2022-12-18,0,-1,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,226,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1
True,2022-12-21,3,1,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,1043,1,4,1,3,0,0,1,1,4,0,0,0,1,4.0
True,2022-12-23,0,-4,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-25,4,2,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,200,2,2,0,0,0,0,0,0,1,0,0,1,0,3.1
True,2022-12-29,0,-7,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,346,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-01,1,2,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,125,0,0,0,0,1,2,0,0,0,0,0,1,0,-0.4
True,2023-01-03,17,-5,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,886,7,13,3,4,0,0,0,0,0,0,0,1,0,9.7
True,2023-01-05,2,1,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,163,1,1,0,0,0,0,0,0,0,1,0,1,0,1.7
True,2023-01-09,0,-2,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,218,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-11,3,-7,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,WIN,1069,1,6,1,6,0,0,0,6,0,1,0,2,2,-0.8
True,2023-01-12,9,13,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,876,4,7,1,3,0,0,3,0,0,1,0,0,3,7.6
True,2023-01-14,9,4,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,1605,4,11,1,6,0,0,2,1,2,1,0,1,1,5.6
True,2023-01-16,3,-3,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,764,1,4,1,3,0,0,0,0,0,0,0,0,2,-0.2
True,2023-01-21,12,19,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1552,4,7,4,7,0,0,1,1,2,1,0,1,2,10.3
True,2023-01-23,5,0,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1847,2,6,1,4,0,0,0,3,4,0,0,1,2,3.5
True,2023-01-24,10,1,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,2548,4,14,2,9,0,0,1,6,4,1,0,2,3,4.9
True,2023-01-26,7,-6,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,771,3,6,1,3,0,0,1,2,0,0,0,1,1,3.9
True,2023-01-28,0,4,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,WIN,330,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2023-02-01,5,8,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,969,2,5,1,4,0,0,2,0,2,0,0,1,1,3.7
True,2023-02-03,3,-8,BOSTON CELTICS,HOME,PHOENIX SUNS,LOSS,724,1,2,1,2,0,0,0,0,1,0,0,0,1,2.3
True,2023-02-06,3,-8,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,662,1,3,1,3,0,0,0,0,0,0,0,1,3,-0.9
True,2023-02-08,0,4,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,294,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-02-10,7,2,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1270,3,8,1,3,0,0,0,2,2,1,0,2,2,2.8
True,2023-02-12,12,5,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,1091,4,7,4,7,0,0,0,1,3,0,0,0,0,11.1
True,2023-02-14,6,-17,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,840,2,6,1,4,1,1,0,0,0,1,0,0,2,2.8
True,2023-02-27,0,0,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,120,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2023-03-03,0,-7,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,526,0,3,0,1,0,0,1,0,1,0,0,0,1,-1.1
True,2023-03-06,7,2,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,968,2,8,1,6,2,2,0,4,1,0,0,1,0,3.1
True,2023-03-28,5,3,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,561,2,5,1,3,0,0,0,2,1,0,0,1,0,2.6
True,2023-04-07,22,13,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1448,9,14,4,8,0,0,2,2,5,0,0,1,1,19.9
True,2023-04-09,30,11,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2753,10,21,9,16,1,1,1,13,11,0,0,7,1,24.2
