active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,14,0,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,2165,3,8,1,4,7,8,1,2,7,1,0,1,3,14.2
True,2022-10-21,8,-2,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,2003,4,9,0,4,0,0,1,4,3,0,0,5,2,1.5
True,2022-10-22,6,0,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,2191,2,11,1,9,1,1,0,2,8,1,0,2,3,3.1
True,2022-10-24,11,-11,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,1957,4,6,3,5,0,0,0,1,6,2,2,1,3,14.1
True,2022-10-28,11,-26,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,2270,3,15,2,9,3,4,0,5,7,2,0,2,4,6.1
True,2022-10-30,7,11,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1741,2,6,1,5,2,2,0,3,6,2,0,0,2,9.9
True,2022-11-02,16,-3,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,2207,5,12,1,5,5,5,0,6,5,0,0,1,3,12.7
True,2022-11-04,12,-10,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,1471,5,10,2,4,0,0,0,1,1,1,0,2,5,5.0
True,2022-11-05,13,3,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,2138,5,9,3,5,0,0,0,2,11,0,0,1,2,15.2
True,2022-11-07,15,4,BOSTON CELTICS,AWAY,MEMPHIS GRIZZLIES,WIN,2144,6,11,2,6,1,3,0,7,12,0,0,2,4,15.8
True,2022-11-09,2,22,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1403,1,6,0,4,0,0,0,3,11,2,0,1,2,7.0
True,2022-11-11,4,28,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,1428,2,4,0,0,0,0,0,0,4,0,0,1,5,1.8
True,2022-11-12,18,4,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,2581,7,17,4,10,0,0,1,1,10,5,1,1,1,21.2
True,2022-11-14,22,-11,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,1759,8,12,1,2,5,6,1,4,8,0,1,3,5,19.6
True,2022-11-21,8,-15,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,2098,3,9,2,5,0,0,0,1,8,1,1,3,3,6.3
True,2022-11-23,13,21,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,2013,5,9,3,4,0,0,1,1,9,1,1,3,4,13.1
True,2022-11-25,4,12,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1759,0,4,0,3,4,4,0,4,5,0,0,4,5,-0.1
True,2022-11-27,14,15,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1640,5,8,2,4,2,2,0,4,7,0,0,4,3,11.3
True,2022-11-28,22,44,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1837,8,11,6,9,0,0,0,2,15,2,0,3,0,27.6
True,2022-11-30,10,10,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,2095,3,7,2,3,2,2,2,3,9,1,0,3,3,11.7
True,2022-12-02,18,10,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,2524,8,14,1,7,1,4,2,1,9,2,1,4,2,16.1
True,2022-12-05,18,9,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2338,7,14,4,8,0,2,0,3,7,2,0,2,2,15.2
True,2022-12-07,4,23,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,1541,2,5,0,3,0,0,1,3,6,3,0,5,3,3.9
True,2022-12-10,13,-6,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,2087,4,12,2,6,3,4,1,3,5,3,2,2,1,12.9
True,2022-12-12,3,-25,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,1899,1,6,1,4,0,0,0,1,3,0,1,3,5,-2.7
True,2022-12-13,18,3,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,2537,7,17,4,11,0,0,1,4,6,2,0,3,4,12.4
True,2022-12-16,10,-1,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,2055,3,9,1,7,3,4,1,0,8,1,1,1,3,10.3
True,2022-12-18,15,0,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,1840,5,13,3,7,2,2,3,4,7,1,0,4,4,11.5
True,2022-12-23,6,20,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2278,2,5,2,4,0,0,3,4,10,3,0,0,0,16.6
True,2022-12-25,6,15,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1796,2,4,0,0,2,2,1,2,8,1,0,1,0,10.9
True,2022-12-27,9,8,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,1734,3,7,3,7,0,0,0,1,6,3,0,1,1,11.4
True,2022-12-29,17,10,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,2230,7,15,2,7,1,2,0,3,9,2,1,3,2,15.0
True,2023-01-01,4,-3,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,1879,2,12,0,4,0,0,2,3,7,1,0,1,3,2.4
True,2023-01-03,7,-26,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1534,3,6,0,2,1,2,1,3,8,0,1,3,2,7.7
True,2023-01-05,15,25,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,2032,4,10,4,9,3,3,2,3,3,1,0,2,1,12.6
True,2023-01-07,5,0,BOSTON CELTICS,AWAY,SAN ANTONIO SPURS,WIN,1293,2,4,1,3,0,0,0,2,4,0,1,3,2,3.3
True,2023-01-12,16,0,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2152,4,12,2,8,6,7,3,3,10,2,0,4,2,16.0
True,2023-01-14,13,24,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,2138,5,15,3,12,0,0,0,2,12,2,0,2,2,12.7
True,2023-01-16,10,14,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,1852,4,8,1,4,1,2,1,3,6,0,1,3,4,7.5
True,2023-01-19,18,-2,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,2255,7,16,3,6,1,2,1,4,4,3,1,4,3,12.4
True,2023-01-21,2,-17,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,935,1,1,0,0,0,0,0,2,4,0,1,3,1,2.4
True,2023-02-15,9,9,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1744,4,6,1,3,0,0,0,7,6,6,0,2,1,16.3
True,2023-02-23,15,-3,BOSTON CELTICS,AWAY,INDIANA PACERS,WIN,2123,5,11,1,5,4,5,2,3,3,2,0,5,2,9.5
