active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,35,10,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,2318,13,20,2,7,7,9,0,12,4,1,1,3,1,30.1
True,2022-10-21,29,-1,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,2207,10,22,2,7,7,7,2,3,4,1,2,2,1,22.7
True,2022-10-22,40,6,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,2259,14,21,4,10,8,9,0,8,1,1,2,1,2,34.2
True,2022-10-24,26,-8,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,2126,8,18,4,8,6,6,0,8,5,0,0,1,2,20.7
True,2022-10-28,32,-10,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,2531,11,19,3,7,7,8,1,6,4,1,1,4,4,24.1
True,2022-10-30,23,10,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1645,8,15,5,10,2,2,0,4,3,1,0,4,0,16.0
True,2022-11-02,26,-16,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,2572,8,21,2,9,8,8,3,9,6,1,4,6,0,21.3
True,2022-11-04,36,11,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,2403,8,23,3,10,17,20,2,10,6,1,1,1,4,29.6
True,2022-11-05,26,12,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,2191,8,17,6,13,4,4,0,4,5,1,2,3,3,20.2
True,2022-11-07,39,15,BOSTON CELTICS,AWAY,MEMPHIS GRIZZLIES,WIN,2375,12,25,3,11,12,16,0,3,2,0,2,2,2,25.6
True,2022-11-09,31,16,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1895,10,20,5,11,6,7,0,1,5,1,1,1,4,23.5
True,2022-11-11,34,18,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,2239,11,21,2,7,10,11,0,8,5,0,0,1,4,26.6
True,2022-11-12,43,7,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,2459,14,28,7,14,8,10,2,8,3,1,1,3,2,32.0
True,2022-11-14,27,2,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,2280,9,23,1,9,8,10,1,9,1,3,3,1,2,21.1
True,2022-11-16,19,28,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1974,6,19,3,10,4,4,1,6,8,1,1,2,1,15.5
True,2022-11-18,19,11,BOSTON CELTICS,AWAY,NEW ORLEANS PELICANS,WIN,2368,6,18,2,10,5,6,0,7,10,0,0,3,1,14.1
True,2022-11-21,28,-13,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,2146,9,19,4,10,6,7,2,9,7,0,0,4,1,22.5
True,2022-11-23,37,14,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,2209,11,24,2,7,13,15,3,10,5,0,2,2,1,31.4
True,2022-11-25,30,12,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1869,10,17,2,6,8,9,1,7,4,1,0,3,4,23.7
True,2022-11-28,35,45,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1790,15,28,4,14,1,1,0,3,3,2,1,0,3,25.9
True,2022-11-30,49,29,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,2353,15,25,8,12,11,12,1,10,3,2,0,1,3,42.7
True,2022-12-02,14,0,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,2462,5,18,0,7,4,6,3,9,3,0,0,5,4,2.9
True,2022-12-04,29,12,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2198,10,19,3,6,6,6,2,9,1,4,0,9,3,18.3
True,2022-12-05,31,9,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2324,11,24,5,10,4,5,3,9,3,1,1,4,2,22.0
True,2022-12-07,25,26,BOSTON CELTICS,AWAY,PHOENIX SUNS,WIN,1746,9,19,3,8,4,6,0,5,2,2,0,3,2,15.6
True,2022-12-10,18,-13,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,LOSS,2385,6,21,2,9,4,7,1,6,2,3,1,2,2,9.3
True,2022-12-12,20,-18,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,2194,7,20,2,8,4,4,2,9,4,1,0,3,3,12.5
True,2022-12-13,44,12,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,2635,15,29,5,10,9,10,1,8,6,0,1,4,1,32.9
True,2022-12-16,31,-10,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,2283,9,20,2,8,11,12,3,4,3,2,0,2,1,25.2
True,2022-12-21,41,4,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,2463,13,25,4,11,11,13,1,4,4,2,1,2,0,33.3
True,2022-12-23,30,11,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2100,10,22,1,6,9,11,2,6,5,1,0,3,3,21.3
True,2022-12-25,41,18,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,2158,14,22,3,7,10,10,0,7,5,3,0,1,3,37.6
True,2022-12-27,38,12,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,2046,12,25,6,16,8,8,0,8,4,1,1,2,2,29.4
True,2022-12-29,29,-5,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,2145,10,26,3,11,6,10,1,10,1,0,1,2,2,15.5
True,2023-01-01,25,-15,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,2131,7,16,0,4,11,14,0,7,6,2,0,5,1,18.3
True,2023-01-03,27,-25,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1821,9,17,2,7,7,7,1,5,2,0,0,4,2,17.5
True,2023-01-05,29,15,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,2126,8,22,2,8,11,12,2,12,10,1,2,2,2,28.0
True,2023-01-07,34,2,BOSTON CELTICS,AWAY,SAN ANTONIO SPURS,WIN,2162,13,26,5,10,3,5,0,4,2,0,0,2,3,19.6
True,2023-01-09,32,14,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,2269,10,21,4,11,8,8,0,8,7,1,0,1,2,27.8
True,2023-01-11,31,12,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,WIN,2155,10,22,3,8,8,10,2,8,4,1,0,0,2,25.6
True,2023-01-12,20,2,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2302,7,22,2,10,4,4,0,11,5,0,1,3,3,10.7
True,2023-01-14,33,26,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,2214,12,27,4,14,5,5,3,6,6,0,1,1,0,26.7
True,2023-01-16,51,15,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,2410,15,23,7,12,14,14,1,8,5,0,0,4,3,42.3
True,2023-01-19,34,7,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,2887,9,27,4,13,12,12,2,17,6,3,0,7,2,24.6
True,2023-01-23,26,6,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2258,9,19,4,10,4,6,0,6,7,1,0,3,2,19.4
True,2023-01-24,31,-3,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,2379,9,18,2,5,11,14,0,14,7,0,0,7,4,21.3
True,2023-01-26,35,6,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,2587,12,26,2,7,9,9,2,12,4,1,1,3,3,26.9
True,2023-01-28,30,3,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,WIN,2840,8,25,3,10,11,12,2,9,4,2,1,6,3,17.7
True,2023-02-01,31,46,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,1759,12,19,7,12,0,0,1,8,4,2,1,1,1,29.7
True,2023-02-03,20,1,BOSTON CELTICS,HOME,PHOENIX SUNS,LOSS,2273,3,15,3,10,11,12,0,6,5,0,0,2,3,12.4
True,2023-02-06,34,16,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,2361,11,24,3,9,9,10,2,9,6,0,1,3,4,25.6
True,2023-02-08,12,5,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,2244,5,15,1,5,1,3,1,7,9,1,1,4,2,8.7
True,2023-02-10,41,2,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,2215,13,21,5,10,10,12,0,4,4,1,2,4,2,32.3
True,2023-02-12,16,7,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,2279,3,16,1,8,9,12,0,7,3,2,2,3,0,9.4
True,2023-02-15,38,1,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,2042,15,24,6,10,2,2,0,9,7,0,0,4,3,29.6
True,2023-02-23,31,-8,BOSTON CELTICS,AWAY,INDIANA PACERS,WIN,2502,9,25,3,12,10,11,3,9,7,2,1,4,1,24.7
True,2023-02-25,18,-6,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,WIN,2186,7,17,3,8,1,2,3,10,6,0,1,5,1,13.1
True,2023-02-27,14,-18,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,2201,6,18,1,9,1,1,2,5,9,1,0,4,1,9.6
True,2023-03-01,41,4,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,WIN,2157,13,21,4,6,11,14,2,9,8,0,0,3,1,36.6
True,2023-03-03,22,-19,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,2300,10,23,0,7,2,2,1,12,5,1,2,4,2,15.3
True,2023-03-05,40,4,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,2937,12,30,6,17,10,12,2,9,6,0,0,2,2,28.5
True,2023-03-08,30,21,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1844,11,17,6,10,2,4,1,6,2,1,0,3,0,23.6
True,2023-03-11,34,13,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,2127,12,25,5,14,5,6,0,15,6,0,1,1,5,27.3
True,2023-03-13,22,-2,BOSTON CELTICS,AWAY,HOUSTON ROCKETS,LOSS,2464,8,22,2,10,4,4,0,8,6,1,0,4,1,13.0
True,2023-03-15,22,-3,BOSTON CELTICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2215,4,16,0,8,14,16,1,11,2,2,1,2,5,15.7
True,2023-03-17,34,11,BOSTON CELTICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2189,8,20,2,11,16,18,1,11,4,3,0,5,2,26.4
True,2023-03-18,15,-13,BOSTON CELTICS,AWAY,UTAH JAZZ,LOSS,2322,4,12,3,8,4,6,0,3,6,0,1,2,3,10.0
True,2023-03-21,36,21,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,WIN,2116,14,25,2,7,6,11,1,7,4,2,0,1,0,28.7
True,2023-03-24,34,23,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,1946,13,24,3,9,5,6,0,7,2,2,0,6,3,20.3
True,2023-03-28,28,-10,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,1912,11,19,2,7,4,4,0,9,5,0,1,3,4,21.4
True,2023-03-30,40,36,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,WIN,1843,12,18,8,10,8,8,1,7,1,0,0,0,1,35.3
True,2023-03-31,39,7,BOSTON CELTICS,HOME,UTAH JAZZ,WIN,2147,12,17,5,8,10,11,1,10,3,3,0,0,4,38.7
True,2023-04-04,19,-13,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,LOSS,2268,7,20,2,8,3,5,1,5,6,3,0,2,2,13.6
True,2023-04-07,21,23,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1196,7,12,0,5,7,9,1,2,4,0,0,3,2,14.9
