active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-16,9,-6,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,1054,4,4,0,0,1,2,2,3,1,1,1,1,3,9.9
True,2022-12-18,6,-4,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,1051,3,5,0,0,0,0,1,4,1,0,2,0,1,7.3
True,2022-12-21,6,4,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,1337,3,5,0,0,0,0,7,5,2,1,1,2,1,10.8
True,2022-12-25,6,5,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,821,3,4,0,0,0,0,2,0,0,0,1,1,3,4.3
True,2022-12-27,11,19,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,1245,4,4,0,0,3,4,5,10,2,0,1,0,1,17.6
True,2022-12-29,12,8,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,1285,4,4,0,0,4,4,4,2,1,1,1,2,2,13.8
True,2023-01-01,8,-2,BOSTON CELTICS,AWAY,DENVER NUGGETS,LOSS,1125,4,4,0,0,0,0,2,4,1,0,0,2,2,7.3
True,2023-01-05,3,8,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,1283,1,1,0,0,1,2,1,6,0,0,1,0,1,5.1
True,2023-01-07,10,1,BOSTON CELTICS,AWAY,SAN ANTONIO SPURS,WIN,1305,5,6,0,0,0,0,4,7,3,2,4,0,1,19.2
True,2023-01-09,6,-5,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,1376,3,4,0,0,0,0,2,5,2,0,2,1,2,8.3
True,2023-01-12,8,9,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,1768,4,7,0,0,0,0,0,5,1,0,1,1,2,5.8
True,2023-01-14,6,18,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,1651,3,6,0,0,0,1,6,6,3,2,1,0,1,13.0
True,2023-01-16,8,0,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,1641,4,5,0,0,0,0,2,7,3,0,1,1,0,11.4
True,2023-01-19,14,-7,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,1624,6,8,0,0,2,3,7,4,2,0,0,2,1,15.5
True,2023-01-21,2,7,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,924,1,2,0,0,0,0,1,3,4,1,1,0,1,6.7
True,2023-01-24,11,1,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,1885,5,6,0,0,1,1,2,6,0,0,2,3,3,9.2
True,2023-01-26,8,21,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,2160,4,5,0,0,0,1,5,7,2,1,1,0,1,14.0
True,2023-02-01,16,22,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,1166,7,8,0,0,2,2,5,4,0,0,1,0,3,17.4
True,2023-02-03,6,5,BOSTON CELTICS,HOME,PHOENIX SUNS,LOSS,1816,3,4,0,0,0,0,0,7,4,0,3,2,3,8.2
True,2023-02-06,15,14,BOSTON CELTICS,AWAY,DETROIT PISTONS,WIN,1724,7,9,0,0,1,2,6,9,2,2,1,1,2,20.3
True,2023-02-10,4,4,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1607,2,4,0,0,0,1,2,14,1,0,0,3,4,3.3
True,2023-02-12,10,7,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,1947,5,9,0,1,0,0,5,11,3,1,0,0,3,14.4
True,2023-02-14,6,-11,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,769,3,5,0,0,0,0,2,3,0,0,0,0,0,6.0
True,2023-02-23,8,5,BOSTON CELTICS,AWAY,INDIANA PACERS,WIN,1540,4,6,0,0,0,0,3,1,1,0,1,0,2,8.4
True,2023-02-25,14,10,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,WIN,1870,7,7,0,0,0,0,3,5,1,1,0,1,2,15.4
True,2023-02-27,6,-9,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,1736,3,4,0,0,0,2,2,5,0,0,2,0,3,6.7
True,2023-03-01,11,9,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,WIN,1841,4,4,0,0,3,3,3,8,3,1,2,1,2,17.0
True,2023-03-03,6,-10,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1153,2,4,0,0,2,4,3,3,0,0,2,1,3,5.4
True,2023-03-21,6,7,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,WIN,1251,2,4,0,0,2,2,2,5,0,0,1,1,5,4.6
True,2023-03-24,4,5,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,930,2,3,0,0,0,0,2,6,1,3,3,1,2,9.9
True,2023-03-26,11,11,BOSTON CELTICS,HOME,SAN ANTONIO SPURS,WIN,1130,5,7,0,0,1,2,2,6,0,0,1,1,1,10.2
True,2023-03-28,0,-14,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,909,0,0,0,0,0,0,2,2,1,1,2,1,2,3.3
True,2023-03-30,7,20,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,WIN,1111,3,3,0,0,1,2,4,3,1,1,4,1,1,12.5
True,2023-04-05,7,6,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1878,3,4,0,0,1,2,3,5,2,1,1,2,2,8.9
True,2023-04-07,8,15,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1502,4,5,0,0,0,1,2,7,2,2,3,2,2,11.9
