active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,15,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,2465,5,10,0,2,3,4,3,8,1,0,1,2,4,9.9
True,2022-10-21,13,6,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2261,6,10,0,0,1,2,2,5,6,1,0,3,4,11.5
True,2022-10-23,7,9,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2189,3,9,1,3,0,0,1,3,4,0,1,1,3,4.8
True,2022-10-25,17,21,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,1974,7,8,0,0,3,3,3,3,2,1,2,1,3,18.8
True,2022-10-28,27,-1,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1868,10,13,3,5,4,4,0,2,4,1,3,1,1,27.0
True,2022-10-30,15,12,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1968,5,7,2,3,3,4,1,4,1,0,1,1,3,12.8
True,2022-11-01,19,20,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,2292,7,10,1,2,4,4,2,1,4,1,1,1,1,19.6
True,2022-11-04,12,7,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2263,4,9,2,3,2,2,0,5,2,2,0,1,2,10.4
True,2022-11-05,11,18,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,1620,3,7,1,2,4,5,0,1,2,2,1,0,0,11.3
True,2022-11-07,15,-14,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,2611,6,12,1,2,2,2,0,5,1,0,1,0,1,11.5
True,2022-11-09,31,12,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2539,12,20,2,6,5,5,2,7,5,4,1,2,1,31.1
True,2022-11-11,8,-16,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,2258,3,13,2,6,0,0,1,3,6,0,0,1,2,4.1
True,2022-11-14,15,-1,PHOENIX SUNS,AWAY,MIAMI HEAT,LOSS,2452,7,14,1,3,0,0,1,4,2,1,1,1,1,11.6
True,2022-11-16,23,23,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2507,6,11,5,8,6,6,2,7,9,1,0,2,3,25.3
True,2022-11-18,13,0,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,2087,6,12,0,2,1,2,0,6,2,2,3,2,3,10.7
True,2022-11-20,13,16,PHOENIX SUNS,HOME,NEW YORK KNICKS,WIN,1958,6,11,1,3,0,0,1,5,5,2,1,1,1,14.7
True,2022-11-22,25,6,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,2484,10,17,5,7,0,0,0,6,3,1,1,0,3,21.5
True,2022-11-25,15,3,PHOENIX SUNS,HOME,DETROIT PISTONS,WIN,2080,6,17,3,6,0,0,1,1,2,2,0,1,4,7.3
True,2022-11-26,16,3,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2453,7,10,0,1,2,2,0,3,2,1,0,0,2,14.3
True,2022-11-28,13,-3,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,2429,6,14,1,6,0,1,2,6,7,3,3,2,0,16.4
True,2022-11-30,8,13,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,2305,3,13,0,4,2,2,2,2,3,0,2,0,3,4.4
True,2022-12-02,22,4,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,2191,8,16,3,7,3,3,2,6,2,1,0,3,5,14.6
True,2022-12-04,20,30,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,1532,7,11,6,7,0,0,1,3,3,0,0,0,2,18.0
True,2022-12-05,13,-14,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,1775,4,11,2,6,3,3,0,2,2,0,0,1,1,7.5
True,2022-12-07,4,-33,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,1660,2,12,0,5,0,0,1,2,0,1,0,1,1,-2.7
True,2022-12-09,11,-7,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,2116,4,12,3,5,0,0,2,3,3,2,0,1,5,7.6
True,2022-12-11,27,-9,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,2674,10,23,5,13,2,2,3,2,3,2,0,1,1,20.3
True,2022-12-13,18,-14,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,2284,4,24,2,10,8,8,1,2,3,2,0,1,3,6.0
