active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,-15,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1487,6,7,0,0,1,2,3,7,0,1,2,4,3,11.5
True,2022-10-21,19,9,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,2030,8,11,0,0,3,8,7,4,0,1,4,0,2,21.6
True,2022-10-24,16,-2,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1986,7,10,0,0,2,2,2,5,0,0,2,0,4,14.5
True,2022-10-26,3,-10,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,1406,1,4,0,0,1,2,4,4,1,0,2,1,3,4.1
True,2022-10-27,7,3,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,1720,3,7,0,1,1,4,3,3,1,0,0,1,1,4.4
True,2022-10-29,8,-6,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,1325,4,6,0,0,0,3,2,7,0,1,2,0,2,9.3
True,2022-10-31,19,17,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,1862,9,11,0,0,1,2,3,6,4,1,4,4,4,19.4
True,2022-11-01,10,-4,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,2075,4,4,0,0,2,4,0,10,2,0,1,3,2,9.3
True,2022-11-04,18,32,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,1695,9,10,0,0,0,0,2,7,1,0,3,0,2,20.1
True,2022-11-05,11,-8,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,1526,5,7,0,0,1,1,3,6,3,3,4,3,4,15.3
True,2022-11-07,10,5,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,1916,5,8,0,0,0,0,7,7,1,3,1,2,4,14.2
True,2022-11-09,12,14,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,1171,5,7,0,0,2,5,1,5,2,0,1,2,4,8.6
True,2022-11-12,13,14,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,1906,6,9,0,0,1,5,2,12,2,1,3,0,1,16.6
True,2022-11-13,8,-16,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,951,4,4,0,0,0,2,2,3,0,0,0,1,2,6.5
True,2022-11-15,6,-30,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1074,3,5,0,0,0,0,0,1,1,0,0,1,3,2.5
True,2022-11-17,11,-16,BROOKLYN NETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1520,5,8,0,0,1,2,1,4,2,2,0,1,3,10.1
True,2022-11-22,12,1,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1276,6,7,0,0,0,0,0,4,0,0,3,0,3,11.6
True,2022-11-23,14,24,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1816,6,7,0,0,2,2,4,8,3,1,4,4,2,17.8
True,2022-11-25,12,-21,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1684,6,6,0,0,0,0,2,9,1,0,5,1,5,15.5
True,2022-11-27,12,12,BROOKLYN NETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1905,4,6,0,0,4,6,2,5,2,2,1,2,3,12.4
True,2022-11-28,17,-3,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,2180,7,10,0,0,3,5,5,8,1,0,3,1,4,18.1
True,2022-11-30,7,5,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,1680,3,6,0,0,1,2,1,7,1,0,2,0,4,6.9
True,2022-12-02,15,14,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,1876,7,9,0,0,1,2,3,6,1,0,3,0,5,15.8
True,2022-12-04,9,-12,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,2277,4,5,0,0,1,6,5,9,1,1,2,1,2,12.6
True,2022-12-07,14,-4,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,WIN,1732,6,9,0,0,2,6,1,6,1,1,3,2,4,11.2
True,2022-12-12,9,22,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,1538,4,4,0,0,1,2,2,5,1,1,2,0,3,12.2
True,2022-12-16,15,-2,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1553,5,5,0,0,5,8,3,7,0,1,6,1,1,20.3
True,2022-12-18,6,2,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,1573,3,4,0,0,0,0,2,5,2,0,3,1,2,9.0
True,2022-12-21,10,31,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1530,4,6,0,0,2,2,3,4,5,1,2,0,2,15.8
True,2022-12-23,19,13,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,1773,9,10,0,0,1,2,2,6,5,3,0,0,2,24.1
True,2022-12-26,10,-16,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,WIN,1806,5,9,0,0,0,0,1,3,0,1,2,1,2,7.9
True,2022-12-28,17,5,BROOKLYN NETS,AWAY,ATLANTA HAWKS,WIN,2079,8,9,0,0,1,2,1,9,0,0,6,1,2,19.3
True,2022-12-31,14,8,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,1987,6,7,0,0,2,4,1,5,3,1,6,0,3,19.0
True,2023-01-02,10,18,BROOKLYN NETS,HOME,SAN ANTONIO SPURS,WIN,1205,5,8,0,0,0,0,1,4,1,0,3,2,1,8.7
True,2023-01-04,11,-11,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1992,5,10,0,0,1,2,3,3,2,1,3,1,4,10.5
True,2023-01-06,9,15,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1883,4,4,0,0,1,1,5,4,4,1,5,1,3,17.6
True,2023-01-08,13,-3,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,1852,6,8,0,0,1,2,2,9,0,0,3,2,3,12.4
True,2023-01-12,9,-6,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,1945,4,7,0,0,1,2,1,8,1,1,4,3,0,9.9
True,2023-01-15,17,-16,BROOKLYN NETS,HOME,OKLAHOMA CITY THUNDER,LOSS,1991,7,10,0,0,3,6,5,8,0,0,4,3,3,16.1
True,2023-01-17,15,-19,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1698,7,11,0,0,1,1,3,8,4,1,4,3,6,15.8
True,2023-01-19,20,7,BROOKLYN NETS,AWAY,PHOENIX SUNS,LOSS,2115,9,12,0,1,2,6,0,11,3,1,3,1,5,19.1
True,2023-01-20,20,29,BROOKLYN NETS,AWAY,UTAH JAZZ,WIN,2255,8,9,0,0,4,8,1,4,1,0,4,1,2,18.9
True,2023-01-22,24,23,BROOKLYN NETS,AWAY,GOLDEN STATE WARRIORS,WIN,2173,9,13,0,0,6,15,3,12,0,1,3,3,2,19.9
True,2023-01-25,25,-2,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,2283,11,12,0,0,3,6,4,7,2,0,2,0,5,25.5
