active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-29,0,-13,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,1050,0,5,0,5,0,0,0,2,6,1,1,0,3,1.8
True,2022-11-05,3,5,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,893,1,4,1,2,0,0,0,0,0,0,0,1,0,-0.4
True,2022-11-07,1,-2,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,778,0,3,0,1,1,1,0,0,0,1,0,0,2,-0.9
True,2022-11-09,23,11,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,1404,7,13,6,11,3,3,1,2,2,1,0,0,1,20.0
True,2022-11-12,22,12,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,1675,9,15,4,8,0,1,0,3,3,0,0,1,2,15.9
True,2022-11-15,9,-6,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1419,3,6,1,2,2,2,0,3,3,0,0,1,3,6.8
True,2022-11-17,0,5,BROOKLYN NETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1650,0,5,0,2,0,0,0,1,0,1,1,3,3,-5.7
True,2022-11-20,10,12,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,1502,5,10,0,4,0,0,2,3,5,0,1,1,0,10.5
True,2022-11-22,14,-8,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1430,5,12,2,6,2,2,0,2,2,1,1,1,1,9.9
True,2022-11-25,14,-5,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1670,5,9,4,6,0,0,0,2,5,0,0,2,2,11.0
True,2022-11-27,29,14,BROOKLYN NETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1720,11,15,7,10,0,0,0,3,1,1,0,2,2,22.7
True,2022-11-28,3,9,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,1488,1,4,1,3,0,0,0,2,1,2,0,1,0,2.9
True,2022-11-30,2,4,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,1377,1,4,0,1,0,0,1,5,1,1,0,3,5,-1.5
True,2022-12-02,4,16,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,1227,1,5,0,2,2,2,0,1,5,0,0,4,1,0.3
True,2022-12-04,0,2,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,860,0,1,0,0,0,0,0,1,0,0,0,0,4,-2.0
True,2022-12-07,20,5,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,WIN,1697,8,11,3,6,1,1,0,5,6,0,0,0,2,20.4
True,2022-12-09,11,-4,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,1963,3,8,2,5,3,3,0,1,2,1,0,1,2,7.5
True,2022-12-12,3,-6,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,1311,1,7,1,6,0,0,0,2,0,1,0,0,3,-1.1
True,2022-12-16,0,-6,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,396,0,2,0,0,0,0,0,0,1,0,0,0,1,-1.1
True,2022-12-18,3,-1,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,567,1,3,1,2,0,0,0,0,1,0,0,0,1,1.6
True,2022-12-21,12,-3,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1113,4,6,1,3,3,3,0,2,6,1,0,0,3,14.0
True,2022-12-23,5,6,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,1499,2,9,1,4,0,0,1,0,0,2,0,1,1,0.8
True,2022-12-28,2,-12,BROOKLYN NETS,AWAY,ATLANTA HAWKS,WIN,391,1,4,0,1,0,0,0,0,1,0,0,0,2,-0.5
True,2022-12-31,8,9,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,1210,3,8,1,3,1,1,0,4,3,0,0,2,2,4.1
True,2023-01-02,16,24,BROOKLYN NETS,HOME,SAN ANTONIO SPURS,WIN,1322,6,12,4,7,0,0,0,4,1,1,0,0,0,12.9
True,2023-01-04,22,-2,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1619,8,11,6,7,0,0,0,1,2,1,1,0,0,20.9
True,2023-01-06,8,-2,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,958,3,9,2,5,0,0,0,1,2,1,0,1,2,3.8
True,2023-01-08,14,-4,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,1460,6,9,1,3,1,1,0,3,0,1,1,1,2,10.9
True,2023-01-12,11,-6,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,1516,4,9,1,3,2,2,0,0,1,0,0,2,1,4.6
True,2023-01-15,23,-11,BROOKLYN NETS,HOME,OKLAHOMA CITY THUNDER,LOSS,1611,9,15,3,8,2,2,1,1,1,1,0,1,1,17.4
True,2023-01-17,16,-14,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1885,6,16,1,7,3,3,3,4,2,1,0,3,4,8.3
True,2023-01-19,16,1,BROOKLYN NETS,AWAY,PHOENIX SUNS,LOSS,2181,6,10,4,5,0,0,0,2,2,1,0,1,4,11.8
True,2023-01-20,10,9,BROOKLYN NETS,AWAY,UTAH JAZZ,WIN,1499,3,8,2,6,2,2,0,4,3,0,0,1,1,7.5
True,2023-01-22,12,-6,BROOKLYN NETS,AWAY,GOLDEN STATE WARRIORS,WIN,1867,5,7,1,3,1,1,0,1,4,1,1,5,4,7.3
True,2023-01-25,32,5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,2080,11,20,7,10,3,3,0,0,4,1,0,2,2,23.4
True,2023-01-28,14,-6,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,1975,5,9,2,3,2,2,1,0,3,0,0,0,2,11.7
True,2023-01-30,6,-9,BROOKLYN NETS,HOME,LOS ANGELES LAKERS,WIN,1308,3,11,0,5,0,0,0,2,0,0,0,0,1,-0.3
True,2023-02-01,7,-24,BROOKLYN NETS,AWAY,BOSTON CELTICS,LOSS,1479,3,9,1,5,0,0,0,0,1,1,0,0,2,2.8
True,2023-02-04,9,-21,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,1181,3,6,3,4,0,0,0,0,1,2,0,0,2,7.9
True,2023-02-15,0,-4,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,582,0,3,0,2,0,0,0,0,0,0,0,1,0,-3.1
True,2023-02-24,19,-11,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1278,8,11,3,6,0,0,2,0,3,0,0,2,2,15.2
True,2023-02-26,2,-9,BROOKLYN NETS,AWAY,ATLANTA HAWKS,LOSS,417,1,2,0,0,0,0,0,0,1,0,0,0,1,1.3
True,2023-02-28,0,-5,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,329,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2023-03-01,10,-14,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1390,4,10,1,7,1,1,0,2,1,1,0,0,0,6.9
True,2023-03-03,8,14,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,828,4,8,0,3,0,0,0,0,1,3,0,0,2,6.9
True,2023-03-05,2,0,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,WIN,970,0,8,0,5,2,2,0,1,1,2,0,1,0,-1.6
True,2023-03-07,12,15,BROOKLYN NETS,AWAY,HOUSTON ROCKETS,WIN,1299,4,6,0,1,4,4,0,3,2,1,0,2,1,10.3
True,2023-03-09,5,-14,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,665,1,4,0,0,3,3,1,1,0,1,0,0,0,4.6
True,2023-03-10,11,7,BROOKLYN NETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1034,4,7,2,4,1,1,0,2,1,0,0,0,1,8.6
True,2023-03-12,12,7,BROOKLYN NETS,AWAY,DENVER NUGGETS,WIN,1144,5,8,1,3,1,1,0,2,1,0,0,0,2,8.9
True,2023-03-14,8,2,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1111,3,6,2,5,0,0,0,2,1,0,0,0,1,5.9
True,2023-03-16,14,1,BROOKLYN NETS,HOME,SACRAMENTO KINGS,LOSS,1311,5,10,3,5,1,1,0,1,1,1,0,1,1,9.6
True,2023-03-19,12,13,BROOKLYN NETS,HOME,DENVER NUGGETS,LOSS,1106,4,8,4,5,0,0,0,2,0,0,0,0,1,8.2
True,2023-03-21,0,-18,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,578,0,3,0,1,0,0,0,0,1,0,0,0,2,-2.2
True,2023-03-23,0,-11,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,353,0,0,0,0,0,0,0,0,1,0,0,1,2,-1.1
True,2023-03-29,3,-4,BROOKLYN NETS,HOME,HOUSTON ROCKETS,WIN,759,1,2,0,1,1,1,0,0,0,0,0,0,0,2.0
True,2023-03-31,8,-2,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,626,4,7,0,2,0,0,0,0,1,0,0,1,1,4.0
True,2023-04-02,7,-7,BROOKLYN NETS,HOME,UTAH JAZZ,WIN,1026,3,7,1,3,0,2,0,1,0,0,0,0,2,2.0
True,2023-04-04,1,-8,BROOKLYN NETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,209,0,1,0,0,1,2,0,0,0,0,0,0,1,-0.5
True,2023-04-05,0,-2,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,492,0,1,0,1,0,0,0,2,1,0,0,0,0,0.6
True,2023-04-07,13,3,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,905,4,6,3,4,2,2,0,1,1,1,0,1,1,11.0
