active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-27,10,-23,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,1242,4,6,0,1,2,2,2,3,1,0,0,1,6,7.0
True,2022-11-01,2,6,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,1122,1,4,0,1,0,0,0,0,2,2,0,2,2,0.2
True,2022-11-04,11,3,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,765,5,8,0,0,1,1,0,3,0,0,0,1,2,6.5
True,2022-11-05,0,0,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,247,0,2,0,1,0,0,0,0,0,1,0,0,1,-0.8
True,2022-11-07,0,-7,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,243,0,1,0,1,0,0,0,0,1,0,0,1,1,-1.4
True,2022-11-09,2,-14,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,539,1,2,0,0,0,0,1,0,0,1,0,1,3,0.5
True,2022-11-12,2,2,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,115,1,1,0,0,0,0,1,0,1,0,0,0,0,3.1
True,2022-11-13,2,5,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,375,1,3,0,0,0,0,0,0,0,0,1,0,0,1.0
True,2022-11-15,4,1,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,806,2,3,0,0,0,0,0,0,1,0,0,3,2,-0.4
True,2022-11-20,0,-7,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,108,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2022-11-22,2,5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,188,1,3,0,0,0,1,0,2,2,0,0,0,0,1.9
True,2022-11-23,0,-5,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,234,0,2,0,0,0,0,0,0,1,0,0,0,0,-0.7
True,2022-11-25,0,1,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-10,7,2,BROOKLYN NETS,AWAY,INDIANA PACERS,WIN,1515,3,8,0,2,1,4,2,1,3,1,0,4,4,0.6
True,2023-02-07,4,-1,BROOKLYN NETS,HOME,PHOENIX SUNS,LOSS,657,2,3,0,0,0,0,0,0,0,1,0,0,2,2.9
True,2023-02-13,0,1,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,259,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2023-02-28,3,1,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,279,1,2,0,0,1,1,0,0,2,0,0,0,0,3.4
True,2023-03-09,13,15,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,1620,6,11,1,2,0,0,2,3,2,1,0,1,2,10.6
True,2023-03-25,0,2,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,170,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2023-03-26,4,2,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,229,1,2,0,0,2,2,0,0,0,0,0,0,0,3.0
True,2023-04-05,0,0,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-04-07,4,1,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,156,2,2,0,0,0,0,0,0,0,0,0,0,0,3.4
True,2023-04-09,15,-25,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,LOSS,2689,5,13,0,4,5,6,3,5,4,3,0,3,4,12.3
