active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-10,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1351,1,8,0,1,2,2,5,3,1,2,2,0,4,5.7
True,2022-10-21,4,-11,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,610,2,3,0,0,0,2,2,5,0,0,1,0,3,4.3
True,2022-10-24,5,-8,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,871,2,2,0,0,1,2,0,3,1,0,0,1,5,2.6
True,2022-10-26,3,-6,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,789,1,3,0,0,1,2,1,2,3,1,1,2,4,2.4
True,2022-10-31,4,-9,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,664,2,2,0,0,0,0,1,2,0,0,1,2,2,2.6
True,2022-11-04,0,5,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,463,0,1,0,0,0,0,0,1,0,0,0,1,2,-2.2
True,2022-11-07,0,0,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-09,0,-5,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,276,0,0,0,0,0,0,0,2,0,0,0,1,1,-0.8
True,2022-11-12,4,2,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,115,1,1,0,0,2,2,0,1,1,0,0,0,0,4.7
True,2022-11-13,0,5,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,219,0,1,0,0,0,0,1,3,0,0,0,1,0,-0.1
True,2022-11-15,7,1,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,720,2,4,1,1,2,2,0,3,3,0,1,0,1,8.3
True,2022-11-20,2,-5,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,159,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3
True,2022-11-22,0,5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,188,0,0,0,0,0,0,1,0,0,0,0,0,2,-0.1
True,2022-11-23,5,-5,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,234,2,3,1,1,0,0,1,2,0,0,1,0,0,5.7
True,2022-12-04,3,5,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,103,1,1,1,1,0,0,1,2,0,0,0,0,0,4.0
True,2022-12-09,0,-2,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,382,0,1,0,0,0,0,0,2,0,0,1,1,1,-0.8
True,2022-12-10,20,4,BROOKLYN NETS,AWAY,INDIANA PACERS,WIN,1941,8,13,0,0,4,5,9,3,1,0,2,3,5,18.0
True,2022-12-23,2,-3,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,166,1,1,0,0,0,0,1,0,0,0,0,1,0,1.4
True,2022-12-31,5,-3,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,205,2,2,1,1,0,0,0,1,0,0,0,0,0,4.7
True,2023-01-02,9,10,BROOKLYN NETS,HOME,SAN ANTONIO SPURS,WIN,1235,4,9,0,0,1,2,3,2,3,0,0,3,3,4.5
True,2023-01-15,0,-1,BROOKLYN NETS,HOME,OKLAHOMA CITY THUNDER,LOSS,375,0,0,0,0,0,0,0,2,1,0,1,0,1,1.6
