active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-26,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1390,2,3,0,0,0,2,0,5,5,0,0,3,6,1.5
True,2022-10-21,6,-3,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,1949,3,5,0,0,0,0,0,10,8,0,2,3,2,9.9
True,2022-10-24,7,-16,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1687,2,5,0,1,3,5,0,3,8,1,0,5,6,3.6
True,2022-10-26,4,2,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2068,2,7,0,0,0,2,1,4,9,2,1,2,4,6.4
True,2022-10-27,7,1,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,2226,3,7,0,0,1,1,3,5,5,3,0,1,4,10.8
True,2022-10-29,9,-11,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,2142,3,7,0,0,3,5,2,6,9,1,1,2,4,12.1
True,2022-11-07,2,-7,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,956,1,3,0,0,0,0,1,2,2,1,0,2,3,0.8
True,2022-11-09,6,18,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,1433,3,6,0,0,0,0,2,7,4,2,1,2,4,8.4
True,2022-11-12,2,-1,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,868,1,2,0,0,0,0,1,4,3,0,0,0,4,3.4
True,2022-11-15,11,-3,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1222,5,7,0,0,1,2,0,5,3,1,0,2,0,10.3
True,2022-11-17,15,13,BROOKLYN NETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1931,6,6,0,0,3,4,1,12,7,0,1,1,6,19.3
True,2022-11-20,22,19,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,2082,11,13,0,0,0,1,1,7,5,1,0,5,3,18.0
True,2022-11-22,11,-9,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1943,4,7,0,0,3,6,2,5,11,3,3,3,3,18.0
True,2022-11-23,14,15,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1950,7,9,0,0,0,0,0,2,6,3,2,1,5,16.7
True,2022-11-25,20,-5,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,2051,8,8,0,0,4,5,1,5,3,0,1,3,6,16.8
