active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-26,2,-5,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,337,1,3,0,2,0,0,0,1,0,1,0,0,1,1.2
True,2022-11-25,2,-2,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,955,1,3,0,0,0,0,0,3,1,1,2,1,5,1.3
True,2022-11-27,5,-2,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,1241,2,3,1,1,0,0,0,3,1,1,1,0,0,7.0
True,2022-12-06,0,-1,MIAMI HEAT,HOME,DETROIT PISTONS,LOSS,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2022-12-08,2,-7,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,1327,1,5,0,3,0,0,0,1,3,1,0,0,4,0.7
True,2023-02-06,2,-13,BROOKLYN NETS,HOME,LOS ANGELES CLIPPERS,LOSS,797,1,3,0,2,0,0,0,4,4,1,0,0,1,4.9
True,2023-02-07,5,4,BROOKLYN NETS,HOME,PHOENIX SUNS,LOSS,719,2,3,1,1,0,0,0,2,0,2,0,1,2,4.5
True,2023-02-13,4,1,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,259,2,3,0,1,0,0,0,0,1,1,0,0,0,4.4
True,2023-02-28,3,1,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,279,1,3,1,2,0,0,0,0,0,1,0,0,0,2.3
True,2023-03-09,17,15,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,1347,7,13,2,6,1,1,1,2,5,0,1,0,2,15.4
True,2023-03-25,0,2,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,210,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2023-03-26,0,0,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,233,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2023-04-05,0,0,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-07,0,1,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,156,0,1,0,0,0,0,0,1,3,0,0,0,2,0.9
True,2023-04-09,2,-22,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,LOSS,1424,0,4,0,0,2,2,0,4,3,1,0,1,4,0.9
