active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,2,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1134,2,5,0,3,2,2,0,1,3,0,0,3,1,2.3
True,2022-10-24,0,-1,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,177,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2022-10-26,9,-7,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,371,4,6,0,1,1,1,0,0,1,1,0,0,0,8.1
True,2022-10-27,6,-7,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,916,0,4,0,2,6,6,0,3,0,1,0,1,1,3.7
True,2022-10-31,6,-1,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,713,1,4,0,1,4,4,0,0,1,0,0,0,0,4.3
True,2022-11-01,4,1,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,1318,2,6,0,1,0,0,0,1,5,0,1,1,2,3.3
True,2022-11-04,11,16,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,1508,3,7,1,2,4,4,1,3,0,2,0,2,1,8.5
True,2022-11-05,6,-9,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,1070,2,6,2,3,0,0,1,3,1,1,1,2,2,3.8
True,2022-11-07,4,6,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,1194,2,5,0,2,0,0,0,2,0,1,1,1,4,1.0
True,2022-11-09,18,24,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,1111,7,10,3,4,1,2,1,4,1,2,0,0,2,17.2
True,2022-11-12,11,6,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,1368,4,10,2,6,1,1,0,1,4,3,1,2,1,10.0
True,2022-11-13,13,-5,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,1553,5,12,1,5,2,2,1,0,1,1,0,3,2,5.2
True,2022-11-15,18,-20,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1295,4,9,1,4,9,9,0,1,1,2,0,1,3,14.1
True,2022-11-17,0,4,BROOKLYN NETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,357,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2022-11-22,7,5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,188,3,3,0,0,1,1,0,0,0,0,0,0,0,6.1
True,2022-11-23,6,-2,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1272,3,8,0,2,0,1,1,1,1,1,1,3,5,-0.4
True,2022-11-27,2,12,BROOKLYN NETS,HOME,PORTLAND TRAIL BLAZERS,WIN,642,1,2,0,0,0,0,0,0,1,0,0,0,1,1.3
True,2022-11-28,0,-2,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,438,0,2,0,1,0,0,0,0,1,0,0,0,0,-0.7
True,2022-11-30,8,-3,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,884,3,6,2,4,0,0,0,1,0,2,0,0,1,6.9
True,2022-12-02,8,-1,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,830,3,7,0,3,2,3,0,0,0,3,0,1,2,5.1
True,2022-12-07,9,10,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,WIN,793,3,3,1,1,2,2,1,2,0,0,0,1,1,8.0
True,2022-12-09,6,-2,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,916,2,4,0,1,2,2,0,1,3,0,0,2,4,2.8
True,2022-12-10,21,-4,BROOKLYN NETS,AWAY,INDIANA PACERS,WIN,1596,7,13,1,3,6,7,4,3,5,2,0,0,5,21.5
True,2022-12-12,4,8,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,737,2,4,0,0,0,0,0,1,2,1,0,2,1,2.3
True,2022-12-16,0,-6,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,263,0,1,0,1,0,0,0,0,0,1,0,0,1,-0.1
True,2022-12-18,5,16,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,995,1,4,1,1,2,2,0,2,5,1,0,0,1,7.3
True,2022-12-21,16,7,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1594,5,8,1,3,5,5,0,1,2,0,0,2,2,11.3
True,2022-12-23,4,1,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,608,1,6,0,1,2,2,0,1,2,0,1,0,2,1.8
True,2022-12-26,4,-11,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,WIN,645,2,5,0,1,0,0,0,1,2,1,0,1,3,1.8
True,2022-12-28,0,6,BROOKLYN NETS,AWAY,ATLANTA HAWKS,WIN,246,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3
True,2022-12-31,8,1,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,904,4,5,0,1,0,0,0,1,1,0,0,1,2,5.3
True,2023-01-02,4,7,BROOKLYN NETS,HOME,SAN ANTONIO SPURS,WIN,605,1,2,0,0,2,2,0,2,1,1,0,0,1,4.9
True,2023-01-04,0,2,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,245,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-12,0,-4,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-15,4,1,BROOKLYN NETS,HOME,OKLAHOMA CITY THUNDER,LOSS,743,1,4,0,0,2,2,0,2,3,0,1,1,4,2.4
True,2023-01-17,13,0,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1080,4,6,1,1,4,4,0,4,1,0,0,1,1,10.9
True,2023-01-20,1,-12,BROOKLYN NETS,AWAY,UTAH JAZZ,WIN,540,0,2,0,1,1,2,0,1,0,0,0,0,2,-1.3
True,2023-01-22,3,-11,BROOKLYN NETS,AWAY,GOLDEN STATE WARRIORS,WIN,646,0,1,0,0,3,4,0,1,0,0,0,1,0,1.2
True,2023-01-25,3,-2,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,243,1,1,1,1,0,0,0,0,0,0,0,1,0,1.7
True,2023-01-26,24,-7,BROOKLYN NETS,HOME,DETROIT PISTONS,LOSS,1153,7,10,2,2,8,8,0,5,3,0,0,2,5,19.4
True,2023-01-28,6,-6,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,571,2,4,2,2,0,0,0,2,2,0,0,2,3,2.8
True,2023-01-30,2,7,BROOKLYN NETS,HOME,LOS ANGELES LAKERS,WIN,504,1,5,0,1,0,0,0,1,2,0,0,0,0,0.6
True,2023-02-01,3,-1,BROOKLYN NETS,AWAY,BOSTON CELTICS,LOSS,746,1,4,1,2,0,0,0,2,0,0,0,0,0,1.2
True,2023-02-04,29,10,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,2346,9,19,2,9,9,10,0,2,3,1,1,2,5,19.3
True,2023-02-06,23,10,BROOKLYN NETS,HOME,LOS ANGELES CLIPPERS,LOSS,1957,9,17,2,3,3,3,1,4,3,0,1,0,5,17.4
True,2023-02-07,7,-5,BROOKLYN NETS,HOME,PHOENIX SUNS,LOSS,978,1,4,1,2,4,4,0,0,2,2,0,3,0,5.0
True,2023-03-09,9,1,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,781,2,7,1,2,4,4,0,1,2,1,0,0,1,7.2
True,2023-03-16,3,2,BROOKLYN NETS,HOME,SACRAMENTO KINGS,LOSS,525,1,1,1,1,0,0,0,1,0,0,0,1,2,1.2
True,2023-03-25,12,-2,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,880,4,7,1,2,3,3,1,0,0,0,0,1,2,7.6
True,2023-03-29,3,-2,BROOKLYN NETS,HOME,HOUSTON ROCKETS,WIN,256,1,3,0,0,1,2,0,0,0,0,1,2,1,-0.8
True,2023-03-31,0,-6,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,188,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2023-04-05,8,-2,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,1098,3,4,0,1,2,2,0,1,0,0,0,2,0,4.7
True,2023-04-07,1,2,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,334,0,0,0,0,1,2,1,1,0,0,0,0,1,1.2
