active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,3,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,762,1,4,0,1,0,0,0,0,1,0,0,0,0,0.3
True,2022-10-26,0,1,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-01,0,2,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-04,17,36,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,1910,6,13,2,4,3,3,0,4,6,1,0,0,2,15.9
True,2022-11-05,21,13,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,1727,5,11,1,2,10,11,0,4,4,1,1,1,2,18.8
True,2022-11-07,19,-7,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,1782,5,13,2,4,7,9,1,0,2,2,0,1,2,13.4
True,2022-11-09,6,-8,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,1325,3,8,0,1,0,0,0,2,2,1,1,3,1,1.9
True,2022-11-12,4,2,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,1503,1,6,0,1,2,2,0,2,3,1,0,2,2,1.1
True,2022-11-13,15,8,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,1354,4,9,0,2,7,9,0,3,2,1,0,1,1,11.4
True,2022-11-15,12,14,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1241,4,8,1,2,3,4,0,2,3,1,0,2,0,9.3
True,2022-11-17,0,-7,BROOKLYN NETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,430,0,3,0,0,0,0,0,0,0,0,0,1,0,-3.1
True,2022-11-20,0,-9,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,254,0,1,0,0,0,2,0,1,0,0,0,0,1,-1.6
True,2022-11-22,0,5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,188,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2022-11-23,5,-3,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1041,2,5,0,1,1,2,0,3,2,0,0,1,2,2.4
True,2022-11-27,2,0,BROOKLYN NETS,HOME,PORTLAND TRAIL BLAZERS,WIN,358,1,4,0,1,0,0,0,1,0,0,0,0,1,-0.5
True,2022-11-28,2,5,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,613,1,3,0,1,0,0,0,0,1,1,0,0,2,1.2
True,2022-11-30,6,5,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,1157,2,5,0,1,2,2,0,1,1,0,1,1,1,3.6
