active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,17,15,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,2185,7,14,3,6,0,0,1,5,4,2,1,2,2,14.9
True,2022-10-21,7,-19,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1860,3,9,1,4,0,0,1,4,2,1,0,0,3,5.0
True,2022-10-22,5,-5,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1650,2,7,1,4,0,0,1,3,3,0,0,0,3,3.4
True,2022-10-24,22,2,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,2017,9,10,4,4,0,0,0,6,2,1,0,2,3,19.6
True,2022-10-26,12,-1,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,1848,4,9,0,2,4,4,1,3,7,2,1,1,2,14.7
True,2022-10-28,12,-22,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1218,5,10,2,4,0,0,0,3,1,0,0,2,1,6.2
True,2022-11-01,17,12,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,1981,7,11,1,4,2,2,0,3,4,3,0,2,2,16.0
True,2022-11-02,8,4,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1853,3,10,0,3,2,2,0,4,3,0,0,2,3,2.3
True,2022-11-04,11,5,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1763,5,8,1,1,0,0,0,3,3,0,0,1,3,8.2
True,2022-11-06,15,-30,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,2280,6,15,3,8,0,0,0,3,3,0,0,3,4,5.3
True,2022-11-07,12,-3,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,1641,5,10,2,7,0,0,0,4,2,0,2,3,2,7.2
True,2022-11-09,7,-15,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,1554,2,3,0,0,3,3,1,2,4,0,0,2,1,7.4
True,2022-11-13,7,-27,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1773,3,9,0,4,1,2,1,1,4,2,0,2,3,4.1
True,2022-11-16,4,-8,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1655,2,5,0,3,0,0,1,2,1,1,0,2,1,1.9
True,2022-11-18,13,-5,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1448,6,8,1,2,0,0,0,0,2,1,3,2,3,11.1
True,2022-11-21,10,16,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,2165,5,8,0,1,0,0,0,3,2,0,0,1,5,5.7
True,2022-11-23,8,-3,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1464,3,5,1,2,1,1,0,3,3,0,2,3,4,5.5
True,2022-11-25,7,-2,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1500,3,7,0,2,1,1,1,2,4,1,0,0,4,6.8
True,2022-11-28,8,-7,CHICAGO BULLS,AWAY,UTAH JAZZ,WIN,1298,3,5,0,0,2,2,2,2,3,0,0,1,3,7.6
True,2022-11-30,11,-7,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,1607,5,8,0,1,1,1,1,1,1,0,0,2,0,7.1
True,2022-12-02,9,-1,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1255,4,4,1,1,0,0,0,5,3,0,0,1,2,9.6
True,2022-12-04,6,-5,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,1399,2,7,1,3,1,2,1,1,3,0,0,0,2,3.8
True,2022-12-07,8,-14,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,1192,3,5,0,1,2,2,0,2,2,1,0,1,3,6.5
True,2022-12-10,17,10,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,1885,6,9,3,5,2,3,0,4,2,1,0,1,2,14.5
True,2022-12-11,2,-5,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,828,1,5,0,1,0,0,2,0,3,1,0,1,1,2.0
True,2022-12-16,5,11,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,881,2,6,1,3,0,0,0,0,3,0,0,1,1,2.3
True,2022-12-18,5,-21,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1160,2,7,0,3,1,2,1,2,2,0,0,1,1,1.8
True,2022-12-20,1,-7,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,323,0,0,0,0,1,2,0,0,0,1,0,0,1,1.2
True,2022-12-21,9,13,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,2066,4,6,1,3,0,0,2,1,2,2,0,1,3,9.3
True,2022-12-23,9,9,CHICAGO BULLS,AWAY,NEW YORK KNICKS,WIN,1963,4,8,1,2,0,0,0,3,6,1,2,1,4,9.9
True,2022-12-26,9,-15,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,1383,3,7,2,4,1,2,2,1,1,1,0,2,4,4.7
True,2022-12-28,6,14,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,2267,2,7,0,2,2,2,1,5,2,0,1,0,2,5.4
True,2022-12-30,11,10,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1524,5,11,1,3,0,0,3,3,2,0,0,1,3,7.5
True,2022-12-31,19,-7,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2048,7,10,2,3,3,6,0,2,2,5,0,2,2,17.8
True,2023-01-02,11,-9,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1965,4,8,0,3,3,4,0,3,5,0,0,1,5,8.0
True,2023-01-04,17,8,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,2060,7,14,1,3,2,2,3,4,1,2,1,2,3,13.5
True,2023-01-06,8,15,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1945,4,9,0,2,0,0,0,0,1,0,0,1,3,1.8
True,2023-01-07,7,-1,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,1645,2,4,1,2,2,2,0,2,2,1,0,1,4,5.4
True,2023-01-09,6,-6,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1706,3,6,0,0,0,0,0,0,1,0,0,0,0,3.7
True,2023-01-11,8,-4,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1763,4,6,0,1,0,0,0,4,3,0,0,2,1,6.3
True,2023-01-13,2,-18,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,1395,0,5,0,1,2,2,2,2,2,0,0,3,4,-2.7
True,2023-01-15,12,11,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,2422,5,9,2,5,0,0,0,1,6,2,0,0,2,13.4
True,2023-01-19,13,17,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,1515,6,8,1,3,0,0,1,2,1,0,0,3,3,7.6
True,2023-01-23,2,7,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,1729,1,4,0,1,0,0,0,1,5,1,1,1,5,2.1
True,2023-01-24,7,4,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1477,3,7,0,3,1,2,1,3,3,1,0,2,1,5.2
True,2023-01-26,12,-24,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,LOSS,1672,5,7,0,1,2,4,1,3,2,0,1,2,3,8.8
True,2023-01-28,3,5,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,1317,1,4,1,4,0,0,0,4,1,0,2,0,3,2.7
True,2023-01-31,11,4,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,LOSS,1614,4,7,1,1,2,2,2,1,4,0,0,2,1,9.8
True,2023-02-02,22,5,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,2121,9,10,1,2,3,3,0,0,0,1,0,1,3,17.4
True,2023-02-04,13,16,CHICAGO BULLS,HOME,PORTLAND TRAIL BLAZERS,WIN,1793,5,8,3,4,0,0,1,2,5,1,1,0,3,14.7
True,2023-02-06,10,-3,CHICAGO BULLS,HOME,SAN ANTONIO SPURS,WIN,1847,4,6,0,0,2,2,1,3,4,0,0,1,1,10.4
True,2023-02-07,14,-7,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,2266,6,14,1,4,1,1,0,4,6,0,2,4,3,8.2
True,2023-02-09,6,-22,CHICAGO BULLS,AWAY,BROOKLYN NETS,LOSS,1625,2,6,0,2,2,2,1,1,1,0,0,1,3,2.1
True,2023-02-11,6,2,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1611,3,6,0,0,0,0,0,1,8,2,0,2,2,8.1
True,2023-02-13,2,-4,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,2045,1,5,0,2,0,0,2,2,3,1,0,2,2,1.2
True,2023-02-15,15,-11,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,2553,6,12,1,3,2,2,1,3,5,0,0,0,4,12.5
True,2023-02-16,7,-17,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,2134,3,11,1,2,0,0,1,2,1,0,0,1,3,0.3
True,2023-02-24,7,20,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1550,3,8,1,2,0,0,0,9,3,1,0,2,1,6.0
True,2023-02-26,0,11,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,1313,0,6,0,4,0,0,0,0,1,2,0,1,3,-3.7
True,2023-02-28,10,5,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1180,5,7,0,1,0,0,1,5,2,1,1,1,2,10.6
True,2023-03-01,4,-14,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,890,2,4,0,0,0,0,0,2,1,0,0,1,1,1.9
True,2023-03-03,8,-9,CHICAGO BULLS,HOME,PHOENIX SUNS,LOSS,1058,3,6,1,3,1,1,1,1,4,2,0,2,1,8.4
True,2023-03-05,5,-3,CHICAGO BULLS,HOME,INDIANA PACERS,LOSS,909,2,3,0,0,1,2,0,0,0,0,0,0,4,1.7
True,2023-03-08,8,5,CHICAGO BULLS,AWAY,DENVER NUGGETS,WIN,1190,2,4,0,0,4,4,0,1,0,2,0,1,2,6.5
True,2023-03-11,3,-15,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,WIN,576,1,2,1,2,0,0,0,0,0,0,1,0,2,1.9
True,2023-03-15,3,-4,CHICAGO BULLS,HOME,SACRAMENTO KINGS,LOSS,1667,1,5,1,4,0,0,1,0,4,2,0,0,3,4.2
True,2023-03-17,4,-16,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,1089,2,5,0,1,0,0,0,1,0,1,0,0,1,2.2
True,2023-03-18,6,-1,CHICAGO BULLS,HOME,MIAMI HEAT,WIN,1070,3,5,0,0,0,0,0,1,3,1,0,2,1,4.7
True,2023-03-20,4,5,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1171,2,4,0,1,0,0,0,2,2,0,2,0,0,5.4
True,2023-03-22,14,-4,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,1944,5,10,1,3,3,4,0,2,4,2,0,3,2,10.2
True,2023-03-24,13,9,CHICAGO BULLS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1456,5,6,3,4,0,0,0,1,2,0,0,2,1,10.1
True,2023-03-26,8,14,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,WIN,1127,3,5,2,3,0,0,0,1,4,1,1,1,3,8.3
True,2023-03-27,0,-3,CHICAGO BULLS,AWAY,LOS ANGELES CLIPPERS,LOSS,1085,0,5,0,1,0,0,0,0,1,2,0,0,0,-0.8
True,2023-03-29,12,17,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,1135,5,9,1,3,1,1,0,3,0,0,0,0,3,7.4
True,2023-03-31,2,18,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,WIN,1430,1,4,0,2,0,0,0,0,4,1,1,1,3,1.9
True,2023-04-02,4,7,CHICAGO BULLS,HOME,MEMPHIS GRIZZLIES,WIN,1079,2,4,0,1,0,0,1,2,1,0,0,0,1,3.6
True,2023-04-04,0,-6,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1062,0,2,0,0,0,0,0,0,0,1,0,1,2,-2.2
True,2023-04-05,8,-1,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,1016,3,3,0,0,2,2,0,0,2,2,0,1,0,9.5
True,2023-04-07,12,8,CHICAGO BULLS,AWAY,DALLAS MAVERICKS,WIN,2256,6,14,0,5,0,0,1,8,5,1,0,2,1,9.8
True,2023-04-09,9,20,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1445,4,10,1,4,0,1,0,2,2,1,0,0,0,6.2
