active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,8,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1097,1,2,0,1,4,4,0,3,1,1,0,0,6,5.2
True,2022-10-21,0,2,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,911,0,4,0,2,0,0,0,1,2,2,0,0,2,0.1
True,2022-10-22,6,-11,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,824,2,5,0,2,2,3,1,2,2,2,2,0,0,9.0
True,2022-10-24,6,2,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,996,2,2,2,2,0,0,0,2,0,1,2,0,2,7.6
True,2022-10-26,8,0,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,1008,4,6,0,1,0,0,2,2,1,1,0,0,2,8.3
True,2022-10-28,6,7,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1461,3,7,0,2,0,0,1,3,0,3,1,2,2,4.8
True,2022-10-29,9,-3,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,1117,3,4,0,0,3,4,5,1,1,1,0,1,3,10.3
True,2022-11-01,0,8,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,872,0,2,0,0,0,0,1,1,0,0,0,0,2,-1.2
True,2022-11-02,17,13,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1620,7,7,3,3,0,1,3,5,1,2,3,3,3,18.7
True,2022-11-04,5,4,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,946,2,4,1,3,0,0,0,3,1,2,1,2,4,3.7
True,2022-11-06,10,-9,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1274,4,7,1,2,1,1,0,3,1,0,0,0,2,7.5
True,2022-11-07,9,12,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,1113,3,6,1,3,2,2,2,1,3,1,0,0,0,10.8
True,2022-11-09,2,1,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,937,1,2,0,0,0,0,0,2,0,0,1,1,2,0.5
True,2022-11-13,0,-5,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,478,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.0
True,2022-11-16,3,-3,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,886,1,7,0,2,1,2,2,2,0,0,1,0,1,0.4
True,2022-11-18,8,17,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1072,4,4,0,0,0,0,0,2,1,3,0,0,2,10.3
True,2022-11-21,8,-3,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,721,3,3,0,0,2,4,1,2,1,0,0,0,1,7.9
True,2022-11-23,11,5,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1114,4,5,2,3,1,2,2,1,1,1,2,0,0,13.5
True,2022-11-25,1,-9,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,661,0,0,0,0,1,2,1,4,0,0,0,2,0,0.5
True,2022-11-28,2,8,CHICAGO BULLS,AWAY,UTAH JAZZ,WIN,780,1,1,0,0,0,0,0,2,1,0,1,0,0,3.7
True,2022-11-30,2,-7,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,404,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-12-02,13,11,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1364,5,7,0,1,3,6,0,4,1,1,1,1,2,10.7
True,2022-12-11,2,-3,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,859,1,2,0,1,0,0,0,3,0,0,1,4,2,-2.2
True,2022-12-14,6,5,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,600,2,3,1,2,1,2,1,2,0,0,1,1,2,4.5
True,2022-12-16,7,7,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,1095,2,4,1,1,2,2,1,2,1,0,0,0,1,6.6
True,2022-12-28,5,3,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,1000,1,3,0,1,3,3,0,2,1,0,1,1,4,2.7
True,2022-12-30,0,0,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,759,0,0,0,0,0,0,0,0,2,1,0,0,0,2.4
True,2022-12-31,12,-5,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,985,4,5,1,2,3,5,1,2,1,0,2,1,2,10.9
True,2023-03-20,0,-1,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,532,0,0,0,0,0,0,0,1,0,1,0,0,1,0.9
True,2023-03-22,0,1,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,363,0,1,0,0,0,0,1,0,0,0,1,0,2,-0.1
True,2023-03-29,0,0,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,149,0,1,0,0,0,0,1,0,0,0,0,0,2,-0.8
True,2023-04-07,1,-7,CHICAGO BULLS,AWAY,DALLAS MAVERICKS,WIN,816,0,2,0,1,1,2,0,3,0,1,0,0,0,1.1
