active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,23,-19,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1700,9,17,2,6,3,4,0,3,4,2,0,0,2,19.2
True,2022-10-24,19,4,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,1939,5,15,3,5,6,7,0,2,2,1,1,3,0,10.8
True,2022-10-26,28,12,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,2077,6,13,6,8,10,12,0,6,5,1,0,5,1,21.4
True,2022-10-29,20,-10,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,2025,8,19,2,9,2,2,0,2,3,0,0,2,4,9.0
True,2022-11-01,29,7,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,2233,10,21,5,11,4,4,1,2,5,0,0,1,2,21.3
True,2022-11-02,10,19,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1917,4,16,2,7,0,0,0,4,6,2,0,0,0,7.8
True,2022-11-04,16,-11,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,2200,6,13,2,6,2,3,1,6,3,2,0,2,4,11.9
True,2022-11-07,30,4,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,1932,11,20,4,8,4,5,1,2,5,2,0,5,5,19.8
True,2022-11-09,23,1,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,2185,9,22,3,12,2,2,1,3,4,2,0,1,4,15.0
True,2022-11-13,21,-18,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,2044,8,15,1,6,4,5,1,4,4,1,0,3,3,14.8
True,2022-11-16,25,-7,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,2167,9,22,4,11,3,4,0,3,5,0,0,3,2,13.4
True,2022-11-18,4,-19,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1513,1,14,0,5,2,2,1,4,2,0,0,1,0,-3.1
True,2022-11-21,22,14,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,2023,8,20,5,10,1,2,2,3,5,2,0,3,5,13.6
True,2022-11-23,18,-13,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,2036,6,17,3,11,3,4,1,4,5,1,0,1,4,11.9
True,2022-11-25,27,-4,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2703,9,23,4,11,5,6,2,3,5,1,0,4,4,15.3
True,2022-11-28,20,11,CHICAGO BULLS,AWAY,UTAH JAZZ,WIN,2047,7,20,1,6,5,6,0,6,5,1,0,1,1,13.3
True,2022-11-30,21,-17,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,2055,7,15,1,6,6,7,1,3,7,0,0,1,0,18.4
True,2022-12-02,21,-5,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,2150,8,18,3,7,2,3,1,6,3,2,0,3,5,12.8
True,2022-12-04,41,1,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,2152,16,28,3,9,6,7,2,6,2,4,0,2,1,33.6
True,2022-12-07,25,14,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,2055,8,19,5,9,4,4,0,7,5,2,0,6,1,16.1
True,2022-12-10,16,8,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,1592,7,11,2,5,0,0,0,3,3,2,0,2,0,14.1
True,2022-12-11,21,-8,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,2355,9,16,1,5,2,3,0,3,3,0,0,7,4,7.4
True,2022-12-14,25,-3,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,2467,11,23,2,8,1,1,0,5,3,1,0,2,3,14.7
True,2022-12-16,17,-31,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,1826,7,12,3,5,0,0,0,3,3,0,0,5,4,7.8
True,2022-12-18,22,-21,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1836,8,16,3,6,3,4,0,1,6,0,0,2,2,15.3
True,2022-12-20,21,21,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,2200,7,13,3,8,4,5,1,5,7,1,0,2,0,20.4
True,2022-12-21,22,-12,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,2215,8,16,1,2,5,6,0,5,5,1,0,2,1,17.2
True,2022-12-23,33,3,CHICAGO BULLS,AWAY,NEW YORK KNICKS,WIN,2231,12,22,4,9,5,5,1,3,3,1,0,0,4,25.5
True,2022-12-26,22,-20,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,2161,9,19,2,6,2,5,0,3,5,0,0,0,1,15.1
True,2022-12-28,24,10,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,2560,8,18,4,7,4,5,0,2,4,0,0,1,3,15.4
True,2022-12-30,43,19,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,2306,15,20,5,9,8,8,0,3,6,2,0,4,1,37.7
True,2022-12-31,15,8,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2172,6,16,1,3,2,2,0,4,2,0,0,3,2,5.0
True,2023-01-02,26,-12,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,2422,7,18,3,9,9,9,0,6,6,0,1,3,5,17.9
True,2023-01-04,13,5,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,2150,4,11,1,4,4,5,1,4,4,0,2,2,0,10.6
True,2023-01-06,41,17,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2301,14,19,11,13,2,2,1,1,6,2,1,3,1,37.8
True,2023-01-07,36,-3,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,2076,12,21,6,12,6,7,1,6,2,0,1,5,3,24.1
True,2023-01-09,27,-12,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,2518,10,24,4,13,3,3,2,5,6,1,0,1,4,19.7
True,2023-01-11,38,5,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,2442,15,28,4,11,4,7,1,4,2,2,0,3,1,25.1
True,2023-01-13,25,-18,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,2239,5,19,1,8,14,15,0,6,5,0,0,2,0,16.6
True,2023-01-15,27,10,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,2422,7,18,1,8,12,14,2,7,6,1,1,2,3,22.6
True,2023-01-19,30,19,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,2129,10,20,2,6,8,9,1,4,4,1,0,2,1,22.9
True,2023-01-23,20,1,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,2087,7,17,2,7,4,7,0,6,2,2,0,1,3,12.7
True,2023-01-24,14,-3,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,2301,4,14,0,7,6,7,1,2,4,0,0,6,2,2.7
True,2023-01-26,18,-25,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,LOSS,2134,8,19,1,4,1,1,0,9,2,2,0,2,1,11.6
