active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,16,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1987,5,13,1,5,4,4,5,12,2,0,3,1,1,17.1
True,2022-10-21,24,-10,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1799,5,14,2,7,12,12,2,6,1,0,0,1,0,19.1
True,2022-10-22,16,-10,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1847,7,12,2,3,0,0,1,3,3,0,3,2,3,13.0
True,2022-10-24,18,1,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,1837,7,19,0,3,4,5,10,13,5,0,0,2,3,18.3
True,2022-10-26,14,-1,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,1875,5,10,1,3,3,3,1,6,4,0,0,2,4,10.7
True,2022-10-28,9,-15,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1471,4,13,1,5,0,0,3,2,2,0,1,2,3,3.1
True,2022-10-29,23,-2,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,2182,8,14,5,7,2,2,3,16,3,1,0,4,4,20.8
True,2022-11-01,7,5,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,1916,3,8,0,1,1,2,3,12,2,1,0,1,2,8.5
True,2022-11-02,14,-4,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1894,5,16,2,6,2,2,2,11,3,0,1,4,2,7.5
True,2022-11-04,24,10,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,2114,10,14,4,5,0,0,3,9,3,1,0,1,4,23.5
True,2022-11-06,18,-10,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,2128,8,13,2,5,0,0,4,8,6,0,1,4,2,17.4
True,2022-11-07,15,7,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,2083,7,14,1,4,0,0,0,13,4,0,2,5,3,9.9
True,2022-11-09,18,-13,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,1644,6,9,2,4,4,5,0,7,2,0,0,2,2,14.4
True,2022-11-13,9,-16,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1384,4,10,1,3,0,0,0,6,0,0,0,3,1,2.0
True,2022-11-16,14,-10,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1786,6,13,2,5,0,0,2,8,0,1,0,2,1,9.7
True,2022-11-18,14,9,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,2004,5,13,0,2,4,6,3,13,7,1,3,1,3,17.9
True,2022-11-21,12,20,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,2103,6,7,0,1,0,1,1,12,6,0,0,0,0,17.6
True,2022-11-23,18,13,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1788,7,14,4,10,0,0,1,4,4,0,1,2,1,14.0
True,2022-11-25,13,5,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2399,6,14,1,7,0,0,3,10,3,0,0,2,1,10.4
True,2022-11-28,16,3,CHICAGO BULLS,AWAY,UTAH JAZZ,WIN,2014,8,17,0,4,0,0,3,6,2,1,0,1,1,12.2
True,2022-11-30,17,-10,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,1762,5,9,1,3,6,7,1,7,1,2,1,2,5,14.5
True,2022-12-02,23,-8,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1931,9,17,2,7,3,4,0,11,1,3,0,1,1,19.9
True,2022-12-04,12,-5,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,2224,4,10,2,4,2,2,0,6,1,0,1,2,0,7.8
True,2022-12-07,25,13,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,2135,10,16,3,5,2,3,2,9,3,2,2,1,1,25.6
True,2022-12-10,20,10,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,1566,8,11,2,3,2,2,2,6,4,1,1,0,3,22.0
True,2022-12-11,13,-3,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,2197,6,11,1,2,0,0,2,6,1,2,0,0,0,13.6
True,2022-12-14,19,-3,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,2467,9,16,1,5,0,0,0,7,5,0,2,1,1,17.0
True,2022-12-16,9,-23,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,1759,4,8,1,3,0,0,1,7,4,0,0,2,2,7.8
True,2022-12-18,23,-18,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1934,10,15,3,6,0,0,1,8,5,2,1,4,3,20.6
True,2022-12-20,29,4,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,2237,13,17,3,5,0,0,2,10,2,1,0,3,2,25.3
True,2022-12-21,20,-13,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,1988,8,17,2,7,2,2,2,5,2,1,1,0,1,16.9
True,2022-12-23,21,9,CHICAGO BULLS,AWAY,NEW YORK KNICKS,WIN,2343,8,16,3,7,2,2,3,9,2,1,0,1,3,18.0
True,2022-12-26,10,-13,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,1790,4,13,1,5,1,2,0,3,4,0,0,2,3,2.6
True,2022-12-28,15,-4,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,2190,5,12,3,5,2,2,2,12,5,0,3,4,5,13.2
True,2022-12-30,19,16,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1969,9,16,1,3,0,0,3,6,2,1,3,1,1,18.4
True,2022-12-31,11,7,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2070,5,13,0,4,1,2,3,11,1,2,1,0,2,11.5
True,2023-01-02,20,-19,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,2611,6,8,2,4,6,7,1,12,2,0,0,1,3,19.9
True,2023-01-04,21,6,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,2152,8,12,1,3,4,4,2,11,3,0,2,3,2,20.2
True,2023-01-06,19,16,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2189,8,14,2,3,1,1,2,16,10,0,2,1,1,25.6
True,2023-01-07,15,1,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,2010,5,8,2,3,3,4,2,14,4,0,2,1,4,18.2
True,2023-01-09,21,-18,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,2018,9,15,3,6,0,2,1,12,1,0,0,0,1,17.9
