active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-4,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1688,2,6,0,2,0,0,0,2,0,1,0,1,1,0.8
True,2022-10-21,7,-23,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1437,2,5,1,3,2,2,1,0,0,0,1,1,1,4.3
True,2022-10-22,6,0,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,931,2,7,1,3,1,2,1,2,0,1,0,1,1,2.4
True,2022-10-24,4,-9,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,879,2,7,0,2,0,0,1,2,0,0,1,0,1,1.5
True,2022-10-26,10,-3,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,896,4,5,2,2,0,0,0,0,2,2,0,2,0,9.5
True,2022-10-28,10,-7,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1211,4,7,1,2,1,1,0,2,1,3,0,1,2,9.2
True,2022-10-29,9,-1,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,1939,2,5,1,3,4,4,0,3,0,1,1,3,3,4.7
True,2022-11-01,12,-8,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,1798,5,10,0,3,2,2,3,4,1,1,2,3,2,9.6
True,2022-11-02,16,19,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1955,7,9,2,3,0,0,1,4,1,0,1,1,1,14.4
True,2022-11-04,7,-3,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1816,3,9,1,4,0,0,0,5,1,0,1,4,6,-1.6
True,2022-11-06,13,-1,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1712,5,16,3,6,0,0,5,2,1,0,2,0,4,8.4
True,2022-11-07,10,2,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,1487,4,8,0,2,2,2,3,3,2,0,1,1,4,8.5
True,2022-11-09,7,-5,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,1579,3,7,1,2,0,0,1,3,1,1,4,2,1,7.0
True,2022-11-13,15,-24,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1818,6,9,2,3,1,1,1,3,1,1,2,1,0,14.8
True,2022-11-16,5,-21,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1382,2,4,1,2,0,0,0,4,1,0,0,2,2,2.1
True,2022-11-18,12,4,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1954,3,5,2,4,4,4,2,5,1,1,0,1,0,13.3
True,2022-11-21,17,9,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,1540,6,9,3,4,2,2,0,4,0,1,0,1,1,13.9
True,2022-11-23,11,-9,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1565,3,7,2,4,3,4,0,3,3,1,2,3,4,7.7
True,2022-11-25,11,7,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1918,4,7,3,3,0,0,2,4,1,0,2,2,4,8.8
True,2022-11-28,5,-4,CHICAGO BULLS,AWAY,UTAH JAZZ,WIN,1472,1,4,1,2,2,2,1,4,0,1,0,2,2,2.7
True,2022-11-30,2,-14,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,1685,0,8,0,3,2,2,1,2,1,0,1,0,0,-0.9
True,2022-12-02,7,-10,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1134,3,9,1,4,0,0,1,1,0,0,0,2,4,-0.7
True,2022-12-04,10,5,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,1964,4,8,1,3,1,1,2,4,0,1,2,2,4,7.4
True,2022-12-07,11,5,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,1799,5,8,1,1,0,0,1,2,1,0,0,1,4,6.8
True,2022-12-10,16,16,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,1830,6,10,4,5,0,0,0,3,3,0,2,0,0,15.8
True,2022-12-11,8,-5,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,1504,4,10,0,3,0,0,2,5,1,0,2,2,1,5.2
True,2022-12-14,11,-1,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,2411,4,6,2,3,1,1,1,1,5,1,1,1,2,12.8
True,2022-12-16,10,-30,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,1785,4,9,2,4,0,0,0,1,3,0,0,1,1,6.3
True,2022-12-18,13,-19,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1935,4,9,2,5,3,3,0,2,4,0,0,0,3,10.5
True,2022-12-20,6,13,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1908,2,8,1,4,1,2,0,3,4,1,0,3,3,1.3
True,2022-12-21,11,-3,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,2220,5,11,1,5,0,0,1,7,1,0,2,2,1,7.8
True,2022-12-23,7,3,CHICAGO BULLS,AWAY,NEW YORK KNICKS,WIN,2212,3,8,1,2,0,0,2,5,2,1,1,1,1,7.2
True,2022-12-26,12,-16,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,2372,5,10,2,6,0,0,0,7,2,1,2,0,1,12.5
True,2022-12-28,8,-2,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,2473,4,12,0,4,0,0,1,3,2,1,1,0,5,3.9
True,2022-12-30,8,10,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1876,3,6,2,4,0,0,1,2,0,1,0,1,1,5.9
True,2022-12-31,9,-3,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1263,4,7,1,3,0,0,1,1,0,0,0,2,0,4.7
True,2023-01-02,10,-2,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1807,4,10,2,7,0,0,0,5,2,1,0,0,3,7.3
True,2023-01-04,22,4,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,2264,6,8,3,4,7,7,0,7,2,2,0,2,4,20.7
True,2023-01-06,18,20,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2103,7,11,2,5,2,2,2,4,2,0,0,1,2,15.3
True,2023-01-07,7,9,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,2043,2,10,2,4,1,2,1,2,0,1,1,0,2,2.6
True,2023-01-09,10,-12,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1750,3,8,3,5,1,2,0,2,1,3,0,1,3,7.3
True,2023-01-11,6,-9,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1981,3,8,0,2,0,0,2,4,0,0,1,1,2,3.1
True,2023-01-13,18,-13,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,1599,6,11,2,6,4,4,2,3,3,1,1,2,3,15.6
True,2023-01-15,10,3,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,1894,3,8,3,5,1,2,0,2,2,0,0,1,3,5.0
True,2023-01-19,10,14,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,1846,4,6,2,3,0,0,1,5,2,2,2,1,0,13.4
True,2023-01-23,18,4,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,1843,6,11,2,4,4,5,3,7,2,1,0,2,2,16.1
True,2023-01-24,7,2,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1662,2,5,1,3,2,2,0,5,0,1,1,1,2,5.7
True,2023-01-26,15,-5,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,LOSS,1912,6,15,1,7,2,2,1,4,1,1,1,2,2,8.4
True,2023-01-28,16,14,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,2192,7,11,2,4,0,0,0,6,2,1,1,1,2,14.2
True,2023-01-31,11,-7,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,LOSS,1966,4,8,1,3,2,2,0,6,1,0,1,1,2,8.4
True,2023-02-02,6,12,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1629,2,8,2,4,0,0,0,3,1,1,0,2,2,1.0
True,2023-02-04,6,-11,CHICAGO BULLS,HOME,PORTLAND TRAIL BLAZERS,WIN,1871,3,9,0,2,0,0,1,6,0,1,1,1,2,3.3
True,2023-02-06,11,7,CHICAGO BULLS,HOME,SAN ANTONIO SPURS,WIN,1086,4,7,1,2,2,2,1,5,3,1,0,1,0,12.0
True,2023-02-07,9,-5,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,1917,4,10,0,3,1,1,2,3,2,1,0,2,2,5.5
True,2023-02-09,2,-16,CHICAGO BULLS,AWAY,BROOKLYN NETS,LOSS,865,1,4,0,0,0,0,0,2,0,1,1,1,0,0.9
True,2023-02-11,13,6,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1987,6,10,1,3,0,0,1,5,3,4,0,1,2,14.9
True,2023-02-13,6,-15,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1812,2,11,0,4,2,2,2,2,0,0,1,3,3,-2.4
True,2023-02-15,11,-17,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1720,5,10,1,3,0,0,1,1,2,2,0,1,1,9.0
True,2023-02-16,16,-28,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,1802,6,10,3,5,1,2,1,4,2,2,0,0,1,15.9
True,2023-02-24,17,21,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1665,5,8,2,2,5,8,3,3,3,2,0,2,1,16.9
True,2023-02-26,5,9,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,1327,2,4,1,2,0,0,2,2,1,0,1,0,1,6.0
True,2023-02-28,8,-8,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1290,3,5,2,2,0,0,0,1,1,2,1,0,1,9.0
