active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-12,15,-18,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,1692,6,17,1,9,2,2,0,6,6,1,0,2,5,8.5
True,2022-11-14,17,-2,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,2020,6,19,4,15,1,1,0,4,9,0,1,5,2,8.5
True,2022-11-16,26,-8,CHARLOTTE HORNETS,HOME,INDIANA PACERS,LOSS,2191,10,17,5,8,1,2,0,1,6,2,0,4,1,19.8
True,2022-12-14,23,16,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,LOSS,2046,9,18,5,13,0,0,0,1,11,0,0,1,6,18.6
True,2022-12-16,27,-21,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1960,9,18,7,13,2,3,0,2,3,1,1,2,2,19.2
True,2022-12-18,31,-14,CHARLOTTE HORNETS,AWAY,DENVER NUGGETS,LOSS,2159,10,21,4,9,7,7,1,4,5,1,0,2,2,23.9
True,2022-12-19,23,3,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,WIN,1648,9,19,5,10,0,0,1,4,12,0,0,2,6,19.2
True,2022-12-21,25,-25,CHARLOTTE HORNETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2237,10,26,4,13,1,2,2,9,12,2,0,7,2,17.1
True,2022-12-23,23,0,CHARLOTTE HORNETS,AWAY,LOS ANGELES LAKERS,WIN,2246,9,22,4,12,1,2,1,7,8,3,0,4,3,17.0
True,2022-12-26,27,-16,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2136,10,26,4,10,3,4,3,4,7,2,0,3,6,17.2
True,2022-12-27,21,-2,CHARLOTTE HORNETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2093,7,25,2,11,5,5,4,6,4,0,0,3,5,8.7
True,2022-12-29,27,14,CHARLOTTE HORNETS,HOME,OKLAHOMA CITY THUNDER,WIN,2173,9,15,5,10,4,4,2,8,9,1,2,3,3,28.4
True,2022-12-31,23,-8,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,2177,7,19,5,14,4,5,0,7,11,2,0,4,4,18.3
True,2023-01-02,24,-8,CHARLOTTE HORNETS,HOME,LOS ANGELES LAKERS,LOSS,2255,9,22,3,10,3,3,1,6,6,3,2,5,5,16.3
True,2023-01-04,23,-15,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,2100,7,23,4,13,5,5,1,3,12,1,0,1,2,18.9
True,2023-01-06,24,20,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,2147,8,21,7,13,1,1,1,2,12,2,1,0,1,24.5
True,2023-01-08,13,-8,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,1471,5,12,3,8,0,0,0,2,8,0,0,1,6,9.4
