active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-2,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,866,0,5,0,4,0,0,0,2,1,0,0,0,1,-2.6
True,2022-10-21,0,-1,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,789,0,5,0,3,0,0,0,2,0,0,0,1,0,-3.9
True,2022-10-23,10,20,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1060,3,9,2,4,2,2,0,1,2,1,0,0,4,6.0
True,2022-10-26,13,9,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1030,5,9,2,5,1,2,0,2,3,1,0,1,2,10.2
True,2022-10-28,11,-7,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1569,4,11,3,7,0,2,0,3,0,0,0,3,2,1.2
True,2022-10-29,0,-3,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,884,0,5,0,4,0,0,0,1,1,0,0,0,1,-2.9
True,2022-10-31,6,12,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,986,2,4,2,3,0,0,0,2,1,0,0,2,2,2.5
True,2022-11-02,7,-8,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1247,2,7,1,5,2,2,0,3,0,0,1,0,1,4.1
True,2022-11-04,14,0,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1658,7,10,0,0,0,0,2,2,5,1,0,1,2,14.5
True,2022-11-05,3,0,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,1733,1,9,0,4,1,2,1,4,5,1,2,4,1,0.1
