active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,20,7,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1734,6,11,1,4,7,7,0,5,2,1,0,5,3,12.4
True,2022-10-21,26,-6,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,2231,12,19,1,2,1,2,1,1,7,2,0,2,2,22.2
True,2022-10-23,12,0,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1878,4,10,1,4,3,5,0,3,5,1,0,4,0,7.2
True,2022-10-26,21,-13,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2350,8,18,1,3,4,6,2,7,4,0,1,5,0,12.8
True,2022-10-28,18,-18,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1587,6,11,3,6,3,4,0,6,3,0,0,2,0,14.2
True,2022-10-29,23,9,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,2075,8,16,1,3,6,7,0,2,4,0,1,1,0,17.7
True,2022-10-31,12,-9,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,2042,3,10,1,3,5,5,0,4,6,1,0,1,1,11.2
True,2022-11-02,7,-1,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,972,3,11,1,3,0,1,1,2,2,1,0,2,0,1.8
True,2022-11-18,13,-3,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,2541,5,14,2,4,1,2,2,4,7,1,1,0,2,13.2
True,2022-11-20,20,-9,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,2204,7,16,3,6,3,4,1,4,5,0,0,2,2,13.8
True,2022-11-23,7,-7,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,1714,3,10,1,4,0,0,0,2,3,0,0,4,0,-0.1
True,2022-12-16,9,-9,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1713,3,9,1,4,2,4,1,2,5,2,1,2,3,7.4
True,2022-12-18,15,7,CHARLOTTE HORNETS,AWAY,DENVER NUGGETS,LOSS,2086,5,11,2,4,3,4,2,8,4,0,0,2,2,12.7
True,2022-12-19,19,18,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,WIN,2203,8,12,1,2,2,2,1,4,1,1,0,4,2,12.6
True,2022-12-21,6,-13,CHARLOTTE HORNETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2129,3,12,0,4,0,0,2,7,3,1,0,0,1,5.0
