active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,13,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1400,2,5,1,2,0,0,0,5,2,1,1,0,0,6.9
True,2022-10-21,14,7,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,1590,5,7,4,4,0,0,0,5,2,0,1,1,4,12.1
True,2022-10-23,9,13,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1221,3,6,1,3,2,2,1,4,3,0,1,1,3,8.5
True,2022-10-26,17,14,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1368,6,10,3,3,2,2,1,5,2,1,1,1,4,15.1
True,2022-10-28,6,-8,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1325,1,7,0,2,4,4,1,6,2,1,0,1,3,4.2
True,2022-10-29,12,-1,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,1949,4,10,2,5,2,2,2,9,2,0,0,2,1,9.7
True,2022-10-31,13,-6,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,1622,5,11,3,4,0,0,1,0,4,2,0,2,5,8.8
True,2022-11-02,11,-13,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,2138,5,18,0,5,1,2,3,3,2,5,2,2,2,8.0
True,2022-11-04,4,-33,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1288,1,5,0,4,2,2,0,1,2,1,0,2,2,0.8
True,2022-11-05,6,-12,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,1666,3,7,0,3,0,0,2,4,3,1,0,2,2,5.2
True,2022-11-07,9,5,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,1643,4,9,1,4,0,1,2,5,1,3,2,1,3,9.7
True,2022-11-09,7,-16,CHARLOTTE HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1227,3,7,1,3,0,0,2,1,1,1,0,0,2,5.9
True,2022-11-10,16,-5,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2050,6,10,3,5,1,2,1,3,4,0,0,3,4,10.8
True,2022-11-12,9,-6,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,1658,3,6,1,2,2,2,0,4,4,0,0,1,2,8.2
True,2022-11-14,10,-1,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,1558,4,7,0,1,2,2,1,3,0,1,2,1,2,8.9
True,2022-11-16,3,4,CHARLOTTE HORNETS,HOME,INDIANA PACERS,LOSS,1204,1,5,0,2,1,2,1,3,4,2,1,3,5,1.6
True,2022-11-18,2,-14,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,1408,0,2,0,2,2,2,1,1,1,0,1,1,5,0.0
True,2022-11-20,8,7,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,1266,3,10,2,5,0,0,1,5,1,0,0,1,2,3.3
True,2022-11-23,11,2,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,1267,4,8,1,4,2,3,1,2,1,1,0,0,1,9.2
True,2022-11-25,8,-6,CHARLOTTE HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1873,3,9,0,3,2,2,0,6,3,0,0,1,2,5.0
True,2022-11-28,24,-29,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1799,9,12,4,6,2,2,0,1,2,0,0,3,5,15.9
True,2022-12-02,9,-1,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,1518,3,9,1,4,2,2,2,3,1,0,0,1,5,3.9
