active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-7,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,260,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
True,2022-10-23,2,-5,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,158,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-10-26,0,-2,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-28,2,9,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,319,1,2,0,0,0,0,0,1,1,1,0,0,0,3.0
True,2022-11-04,12,9,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1012,3,5,1,2,5,5,0,1,0,1,0,1,1,9.6
True,2022-11-28,10,6,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1468,3,7,2,4,2,2,0,2,6,0,1,1,1,10.4
True,2022-12-02,4,6,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,1219,1,4,1,1,1,2,1,1,1,0,1,1,0,2.6
True,2022-12-03,2,-9,CHARLOTTE HORNETS,HOME,MILWAUKEE BUCKS,LOSS,1052,1,3,0,1,0,0,1,3,0,0,0,0,0,1.9
True,2022-12-05,6,-19,CHARLOTTE HORNETS,HOME,LOS ANGELES CLIPPERS,LOSS,1008,3,5,0,0,0,0,0,1,0,1,1,0,2,4.9
True,2022-12-07,3,-6,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,1199,1,3,1,2,0,0,0,0,2,0,0,0,1,2.3
True,2022-12-09,10,-21,CHARLOTTE HORNETS,HOME,NEW YORK KNICKS,LOSS,1803,3,9,1,3,3,3,1,4,1,0,0,1,2,5.7
True,2022-12-11,2,-6,CHARLOTTE HORNETS,AWAY,PHILADELPHIA 76ERS,LOSS,1400,1,3,0,2,0,0,0,1,2,1,0,2,0,1.0
True,2022-12-16,0,4,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,227,0,2,0,0,0,0,0,1,0,0,0,0,0,-1.1
True,2023-01-04,3,2,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,281,1,2,0,0,1,2,0,0,1,0,0,1,0,1.3
True,2023-01-06,0,3,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,148,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-12,0,0,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-14,0,0,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-16,0,1,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,755,0,1,0,0,0,0,0,3,0,0,0,0,1,-0.2
True,2023-01-18,10,13,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,WIN,1285,3,4,2,3,2,3,2,2,3,0,0,1,3,9.9
True,2023-01-21,7,-10,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1562,3,6,1,4,0,0,0,2,0,0,0,1,1,3.2
