active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,36,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1358,5,10,1,3,2,3,0,4,2,3,0,0,4,11.6
True,2022-10-21,15,-24,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,1812,6,13,2,6,1,2,1,3,0,3,0,2,4,8.9
True,2022-10-23,24,12,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1950,9,20,3,6,3,3,2,8,0,1,0,1,4,15.8
True,2022-10-26,17,-10,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2112,7,18,1,6,2,3,1,4,0,2,1,2,5,7.4
True,2022-10-28,12,-13,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1311,4,16,2,10,2,4,2,2,1,0,0,1,1,2.9
True,2022-10-29,18,10,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,2296,7,18,3,7,1,2,1,4,5,0,1,0,0,13.9
True,2022-10-31,16,-10,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,1501,6,13,4,8,0,0,0,4,2,1,0,2,2,10.1
True,2022-11-02,24,-10,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1802,9,17,5,11,1,2,1,4,1,2,1,0,2,19.8
True,2022-11-04,17,-40,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1476,5,12,2,5,5,6,0,1,1,2,0,2,3,10.0
True,2022-11-05,18,-14,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,1866,5,14,4,11,4,7,0,1,0,0,0,1,5,6.3
True,2022-11-07,20,-3,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,1723,8,20,1,7,3,3,0,1,0,0,0,1,5,6.5
True,2022-11-09,16,-4,CHARLOTTE HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2153,5,19,1,11,5,7,4,4,3,1,0,1,2,9.2
True,2022-11-10,29,2,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2324,11,20,7,13,0,0,0,7,2,2,1,3,5,20.6
True,2022-11-12,20,-22,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2025,8,16,2,5,2,3,1,7,1,0,1,1,1,14.4
True,2022-11-14,16,17,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,2029,5,18,0,6,6,8,3,2,0,6,0,1,4,10.7
True,2022-11-16,17,-11,CHARLOTTE HORNETS,HOME,INDIANA PACERS,LOSS,2131,8,21,1,7,0,0,7,6,2,2,0,1,4,13.0
True,2022-11-18,34,6,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,2325,12,21,5,9,5,5,1,2,0,3,0,2,6,24.0
True,2022-11-20,23,-3,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,1761,10,20,1,7,2,2,1,6,0,1,1,0,3,16.0
True,2022-11-23,14,4,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,1968,6,15,0,6,2,2,2,2,1,2,0,1,3,8.4
True,2022-11-25,28,7,CHARLOTTE HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2062,10,21,3,7,5,8,2,4,2,3,0,0,1,22.7
True,2022-11-28,22,-37,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1565,11,18,0,4,0,1,2,3,3,2,0,3,2,16.0
True,2022-12-02,22,-11,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,2274,9,21,2,5,2,4,3,4,2,2,0,0,3,15.6
True,2022-12-03,20,3,CHARLOTTE HORNETS,HOME,MILWAUKEE BUCKS,LOSS,2360,4,14,1,5,11,12,0,2,0,2,0,1,4,11.4
True,2022-12-05,28,-2,CHARLOTTE HORNETS,HOME,LOS ANGELES CLIPPERS,LOSS,2400,10,23,4,10,4,6,4,3,2,0,0,1,0,19.2
True,2022-12-07,28,-14,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,2451,11,20,3,7,3,5,2,6,1,2,1,2,1,21.8
True,2022-12-09,22,-11,CHARLOTTE HORNETS,HOME,NEW YORK KNICKS,LOSS,2228,8,20,2,8,4,5,2,2,1,2,1,1,0,15.2
True,2022-12-11,29,-6,CHARLOTTE HORNETS,AWAY,PHILADELPHIA 76ERS,LOSS,2215,11,23,3,8,4,7,1,2,1,2,1,2,5,16.8
True,2022-12-14,28,-4,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,LOSS,2397,10,27,5,13,3,5,1,7,1,3,1,1,5,16.5
True,2022-12-16,16,-27,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1808,5,19,3,10,3,4,2,5,1,0,1,1,3,6.4
True,2022-12-18,16,-16,CHARLOTTE HORNETS,AWAY,DENVER NUGGETS,LOSS,2094,7,18,2,8,0,0,0,1,2,2,0,0,2,9.1
True,2022-12-19,31,1,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,WIN,2307,12,25,3,8,4,6,1,8,1,1,1,4,2,18.2
True,2022-12-21,13,-39,CHARLOTTE HORNETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1732,4,15,1,6,4,5,1,1,2,3,0,1,4,6.5
True,2022-12-23,19,-10,CHARLOTTE HORNETS,AWAY,LOS ANGELES LAKERS,WIN,1837,8,15,1,6,2,2,1,4,1,0,0,2,5,10.3
True,2022-12-26,15,8,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1997,5,15,2,8,3,6,3,2,1,0,0,2,3,5.5
True,2022-12-29,6,-1,CHARLOTTE HORNETS,HOME,OKLAHOMA CITY THUNDER,WIN,834,2,9,0,3,2,2,0,1,0,0,1,1,1,0.1
True,2023-02-24,8,2,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1381,2,6,0,3,4,4,1,2,0,1,0,2,2,4.1
