active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,6,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1334,5,9,0,0,2,2,4,3,4,0,1,1,2,13.1
True,2022-10-21,8,-1,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,1132,4,5,0,0,0,0,2,3,4,0,0,1,5,8.2
True,2022-10-23,8,-7,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1585,2,4,0,0,4,9,1,7,6,0,1,2,2,8.9
True,2022-10-26,8,-15,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1870,2,3,0,0,4,6,2,5,4,1,1,2,5,9.3
True,2022-10-28,2,-19,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1232,1,2,0,0,0,0,1,3,4,0,0,2,3,2.2
True,2022-10-29,6,6,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,1393,2,4,0,0,2,6,4,5,7,1,0,2,4,9.0
True,2022-10-31,12,-4,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,1690,5,6,0,0,2,5,2,8,2,0,1,2,4,10.9
True,2022-11-02,11,1,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1519,4,8,0,0,3,4,4,9,3,0,2,2,3,12.4
True,2022-11-04,7,-31,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1304,3,5,0,0,1,2,2,5,3,1,0,1,1,8.9
True,2022-11-05,9,-13,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,1803,4,8,0,0,1,1,3,8,3,1,0,2,5,8.6
True,2022-11-07,6,-6,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,1339,1,5,0,0,4,6,7,3,5,2,0,2,4,9.8
True,2022-11-09,16,-1,CHARLOTTE HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1932,7,10,0,0,2,5,5,7,4,0,1,1,2,17.9
True,2022-11-10,13,4,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2330,4,4,0,0,5,7,2,13,5,0,0,3,4,15.2
True,2022-11-12,9,-16,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,1602,4,6,0,0,1,1,1,4,5,0,0,3,2,8.0
True,2022-11-14,18,10,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,1888,8,9,0,0,2,2,4,6,2,3,1,2,5,20.6
True,2022-11-16,12,-22,CHARLOTTE HORNETS,HOME,INDIANA PACERS,LOSS,1753,5,7,0,0,2,2,2,8,3,0,2,3,3,12.2
True,2022-11-18,2,-8,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,1691,0,4,0,0,2,4,2,4,4,1,1,2,6,1.1
True,2022-11-20,9,1,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,1834,2,8,0,0,5,8,4,4,4,0,1,2,4,6.9
True,2022-11-23,11,-5,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,1589,4,6,0,0,3,6,1,12,6,1,0,2,1,14.3
True,2022-11-25,3,2,CHARLOTTE HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1700,1,4,0,0,1,4,6,6,5,1,0,3,2,6.1
True,2022-11-28,4,-17,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1638,2,5,0,0,0,2,2,2,5,0,0,2,1,3.6
True,2022-12-02,17,0,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,2128,5,10,0,0,7,9,5,5,3,0,1,1,5,16.0
True,2022-12-03,13,2,CHARLOTTE HORNETS,HOME,MILWAUKEE BUCKS,LOSS,1817,6,9,0,0,1,1,4,7,3,2,0,1,5,15.1
True,2022-12-05,8,14,CHARLOTTE HORNETS,HOME,LOS ANGELES CLIPPERS,LOSS,1673,4,4,0,0,0,2,2,10,4,0,0,1,3,11.0
True,2022-12-07,13,5,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,2037,5,8,0,0,3,8,4,7,5,0,0,2,1,13.4
True,2022-12-09,13,-7,CHARLOTTE HORNETS,HOME,NEW YORK KNICKS,LOSS,1781,5,7,0,0,3,6,3,6,3,2,1,2,4,14.0
True,2022-12-11,7,-11,CHARLOTTE HORNETS,AWAY,PHILADELPHIA 76ERS,LOSS,1535,2,5,0,0,3,3,5,7,5,1,1,2,3,11.9
True,2022-12-14,12,-10,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,LOSS,2056,5,8,0,0,2,4,11,7,3,0,0,1,3,17.3
True,2022-12-16,8,-15,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1283,4,4,0,0,0,0,3,4,2,2,0,0,4,11.9
True,2022-12-18,11,-4,CHARLOTTE HORNETS,AWAY,DENVER NUGGETS,LOSS,1143,3,7,0,0,5,6,5,4,4,0,2,2,5,11.8
True,2022-12-19,15,-4,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,WIN,1508,7,8,0,0,1,2,0,4,3,0,3,1,3,15.0
True,2022-12-21,18,-13,CHARLOTTE HORNETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1586,7,9,0,0,4,6,2,1,1,2,0,3,3,13.9
True,2022-12-23,11,-2,CHARLOTTE HORNETS,AWAY,LOS ANGELES LAKERS,WIN,1834,5,7,0,0,1,2,3,5,3,1,2,1,2,14.0
True,2022-12-26,14,-20,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1630,5,7,0,0,4,5,6,2,2,1,0,0,1,17.5
True,2022-12-27,7,-6,CHARLOTTE HORNETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1760,3,4,0,0,1,4,2,11,4,1,4,0,3,14.3
True,2022-12-29,14,9,CHARLOTTE HORNETS,HOME,OKLAHOMA CITY THUNDER,WIN,1571,6,7,0,0,2,5,4,5,2,1,1,2,3,14.5
True,2022-12-31,22,-10,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,1772,9,14,0,0,4,4,5,5,3,1,0,0,3,22.7
True,2023-01-02,18,1,CHARLOTTE HORNETS,HOME,LOS ANGELES LAKERS,LOSS,1955,6,7,0,0,6,11,2,12,4,0,2,0,1,22.3
True,2023-01-04,7,-3,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,1386,2,2,0,0,3,3,2,8,1,0,2,1,3,10.1
True,2023-01-06,17,30,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,1882,8,9,0,0,1,3,5,10,6,1,0,2,3,21.6
True,2023-01-08,18,-10,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,1897,6,10,0,0,6,6,4,9,2,0,0,2,4,16.7
