active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,24,18,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1783,10,19,4,7,0,0,0,6,6,0,1,4,1,17.0
True,2022-10-21,23,-5,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,2168,7,24,2,8,7,8,4,4,11,1,2,2,1,20.3
True,2022-11-05,25,6,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,2181,9,24,6,14,1,1,1,6,3,0,0,4,1,12.0
True,2022-11-07,19,-12,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,2251,9,23,1,9,0,0,1,2,5,0,0,2,1,8.9
True,2022-11-09,18,9,CHARLOTTE HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2082,6,20,5,13,1,1,2,3,5,0,0,2,3,9.0
True,2022-11-10,22,1,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2603,8,25,3,10,3,4,3,5,3,0,0,1,2,11.2
True,2022-11-12,22,-19,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2046,8,17,4,9,2,3,0,1,6,2,0,2,0,17.4
True,2022-11-14,17,17,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,2029,7,15,1,8,2,2,1,2,2,2,0,1,2,12.2
True,2022-11-16,17,-22,CHARLOTTE HORNETS,HOME,INDIANA PACERS,LOSS,1976,7,17,1,4,2,2,0,2,8,0,0,5,3,7.9
True,2022-11-18,28,-12,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,2926,11,32,5,16,1,1,3,2,5,1,0,3,4,12.6
True,2022-11-20,8,-17,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,2256,3,14,0,6,2,3,3,4,5,1,0,2,3,3.6
True,2022-11-23,22,13,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,2421,9,18,1,3,3,5,0,2,6,1,0,2,2,15.2
True,2022-11-25,22,-5,CHARLOTTE HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2277,9,23,1,6,3,4,1,3,8,0,0,6,2,9.5
True,2022-12-02,25,-8,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,2451,8,21,2,5,7,7,1,4,8,2,0,0,1,22.6
True,2022-12-03,26,-2,CHARLOTTE HORNETS,HOME,MILWAUKEE BUCKS,LOSS,2131,10,21,1,7,5,5,0,5,4,0,0,4,4,14.0
True,2022-12-05,22,7,CHARLOTTE HORNETS,HOME,LOS ANGELES CLIPPERS,LOSS,2250,8,22,3,8,3,4,1,4,8,2,0,2,1,16.5
True,2022-12-07,29,-6,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,2403,13,24,3,6,0,1,1,1,5,1,0,1,2,20.7
True,2022-12-09,24,-9,CHARLOTTE HORNETS,HOME,NEW YORK KNICKS,LOSS,1938,10,19,3,7,1,2,1,5,4,0,0,4,3,14.1
True,2022-12-11,29,-9,CHARLOTTE HORNETS,AWAY,PHILADELPHIA 76ERS,LOSS,2057,10,20,5,8,4,4,2,6,6,0,0,5,5,19.4
True,2022-12-14,25,-15,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,LOSS,2516,8,28,2,13,7,8,0,5,2,1,1,0,4,11.2
True,2022-12-16,10,-13,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1922,4,11,2,6,0,0,0,0,9,1,0,3,1,7.8
True,2022-12-18,2,-5,CHARLOTTE HORNETS,AWAY,DENVER NUGGETS,LOSS,854,1,5,0,2,0,0,0,2,2,0,0,0,0,0.9
True,2022-12-23,23,-7,CHARLOTTE HORNETS,AWAY,LOS ANGELES LAKERS,WIN,2261,9,15,5,8,0,0,0,4,6,2,1,3,2,20.4
True,2022-12-26,7,-26,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2210,2,17,1,7,2,2,1,3,6,0,0,2,1,-0.7
True,2022-12-27,19,3,CHARLOTTE HORNETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2049,7,18,1,6,4,4,0,3,4,1,0,4,2,9.1
True,2022-12-29,10,2,CHARLOTTE HORNETS,HOME,OKLAHOMA CITY THUNDER,WIN,2022,3,11,0,5,4,6,2,2,7,0,0,3,1,6.2
True,2022-12-31,16,-14,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,1904,5,14,1,4,5,5,2,3,2,0,0,0,0,11.9
True,2023-01-02,27,4,CHARLOTTE HORNETS,HOME,LOS ANGELES LAKERS,LOSS,2077,11,20,3,6,2,3,0,2,4,0,0,3,3,16.2
True,2023-01-04,21,-8,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,1718,7,18,3,9,4,4,2,1,4,2,0,1,4,15.1
True,2023-01-06,39,27,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,2045,15,29,6,15,3,4,0,2,4,1,0,1,0,27.7
True,2023-01-08,19,-12,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,2176,5,15,2,9,7,8,2,4,6,2,0,7,1,11.5
True,2023-01-10,33,-2,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,2119,14,19,5,9,0,0,1,4,5,1,0,1,2,29.9
True,2023-01-12,21,-3,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,2257,8,16,3,7,2,2,0,3,5,1,0,3,1,15.0
True,2023-01-14,21,-21,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,2157,8,17,2,8,3,4,1,3,3,0,1,2,0,14.3
True,2023-01-16,14,-8,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,2179,6,17,1,4,1,2,1,2,7,3,0,0,1,12.9
True,2023-01-18,26,0,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,WIN,2293,11,24,3,12,1,1,0,2,6,2,1,2,3,17.9
True,2023-01-21,34,1,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,2323,11,25,7,13,5,5,0,3,5,4,0,3,3,25.1
True,2023-01-23,23,-12,CHARLOTTE HORNETS,AWAY,UTAH JAZZ,LOSS,2113,9,23,2,8,3,5,1,4,2,1,0,1,3,11.8
True,2023-01-24,19,-14,CHARLOTTE HORNETS,AWAY,PHOENIX SUNS,LOSS,2180,7,21,4,9,1,2,0,4,5,1,1,0,0,13.1
True,2023-01-26,28,21,CHARLOTTE HORNETS,HOME,CHICAGO BULLS,WIN,2119,9,19,4,8,6,8,0,5,2,4,1,1,3,22.9
True,2023-01-29,31,-1,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,2192,11,19,5,11,4,5,1,5,7,0,1,2,0,27.5
True,2023-01-31,20,-11,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,2124,6,20,2,9,6,6,0,7,3,1,0,2,2,10.8
True,2023-02-02,23,-25,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,2199,8,21,3,8,4,4,4,4,1,2,0,2,1,15.8
True,2023-02-03,23,-6,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,LOSS,2110,9,19,2,10,3,4,1,5,1,2,0,1,1,16.4
True,2023-02-05,24,2,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,2164,9,14,3,5,3,4,1,2,6,0,1,0,2,22.8
True,2023-02-08,19,-18,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,2210,7,20,2,10,3,3,2,5,6,2,0,1,0,15.9
True,2023-02-10,27,-4,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,2134,9,20,3,8,6,9,0,1,3,3,0,0,3,19.6
True,2023-02-11,12,-22,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,LOSS,1880,4,14,1,7,3,4,0,2,4,3,0,1,3,7.6
True,2023-02-13,29,3,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1999,11,19,5,12,2,3,0,4,5,0,2,2,3,22.6
True,2023-02-24,9,5,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1972,2,10,0,5,5,6,0,3,5,2,0,1,2,7.0
True,2023-02-25,14,-5,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,2104,3,15,2,8,6,6,0,0,2,2,0,2,2,5.3
True,2023-02-27,22,11,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,2276,9,19,3,8,1,1,0,3,3,1,0,1,3,14.1
