active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,28,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1271,5,7,2,2,0,0,0,2,4,2,2,1,2,14.1
True,2022-10-21,10,2,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,1344,4,7,2,3,0,0,0,2,4,2,0,1,1,10.7
True,2022-10-23,18,9,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,2010,8,16,1,2,1,1,1,1,6,3,1,2,3,15.7
True,2022-10-26,14,-5,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2197,7,16,0,3,0,2,0,3,11,2,0,1,5,12.4
True,2022-10-28,4,-14,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1645,2,7,0,1,0,0,1,3,4,1,0,2,2,2.5
True,2022-10-29,13,12,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,2225,4,10,2,2,3,4,2,7,8,0,0,2,2,13.5
True,2022-10-31,15,-1,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,2198,7,13,1,5,0,0,2,5,8,6,1,4,4,18.3
True,2022-11-02,10,0,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1930,5,9,0,1,0,0,0,5,6,2,0,1,0,12.4
True,2022-11-04,8,-28,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1720,3,7,1,2,1,2,0,3,5,2,1,3,1,7.6
True,2022-11-05,0,-3,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,396,0,1,0,0,0,0,0,1,2,0,0,0,1,0.6
True,2022-11-07,3,-5,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,2052,1,11,0,2,1,2,2,3,10,0,3,1,2,4.9
True,2022-11-09,13,1,CHARLOTTE HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1967,6,12,1,2,0,0,1,1,4,4,0,1,5,11.8
True,2022-11-10,12,10,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2013,6,9,0,3,0,0,0,2,8,1,0,2,4,11.7
True,2022-11-20,6,15,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,1493,3,6,0,2,0,0,0,2,3,2,2,1,1,7.7
True,2022-11-23,2,-8,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,676,1,3,0,0,0,1,0,0,2,0,0,1,1,-0.1
True,2023-01-02,8,-5,CHARLOTTE HORNETS,HOME,LOS ANGELES LAKERS,LOSS,1079,3,10,1,3,1,2,1,2,1,1,0,1,3,2.6
True,2023-01-04,7,-15,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,1355,3,8,0,1,1,2,0,2,3,2,0,2,2,4.1
True,2023-01-06,6,19,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,1219,2,3,0,0,2,2,0,2,1,1,1,1,2,5.9
True,2023-01-08,7,9,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,1404,2,5,0,1,3,3,0,1,4,1,1,2,5,5.1
True,2023-01-10,2,-9,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,1430,1,7,0,3,0,0,0,2,6,3,0,1,0,4.3
True,2023-01-12,5,2,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,1193,2,5,0,1,1,1,0,3,7,0,0,1,3,5.9
True,2023-01-14,2,-1,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,1023,1,4,0,0,0,0,0,1,3,1,0,2,1,0.6
True,2023-01-16,8,-7,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,1496,3,10,0,4,2,2,0,1,1,1,0,0,4,2.6
True,2023-01-18,9,-14,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,WIN,1739,2,8,0,2,5,6,1,1,7,1,0,1,3,8.5
True,2023-01-21,8,-2,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1625,2,7,0,4,4,4,0,1,8,1,0,4,4,5.2
True,2023-01-23,15,-15,CHARLOTTE HORNETS,AWAY,UTAH JAZZ,LOSS,1738,6,11,0,1,3,4,0,3,9,0,0,0,3,15.3
True,2023-01-24,8,-26,CHARLOTTE HORNETS,AWAY,PHOENIX SUNS,LOSS,1628,4,13,0,2,0,0,0,3,3,1,0,2,3,1.3
True,2023-01-26,4,-6,CHARLOTTE HORNETS,HOME,CHICAGO BULLS,WIN,1244,2,5,0,1,0,0,1,5,1,0,0,1,2,2.4
True,2023-01-29,4,19,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,1189,1,5,0,1,2,2,2,1,1,1,0,2,1,1.9
True,2023-01-31,2,-6,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1049,1,8,0,2,0,0,0,3,1,0,0,0,2,-2.4
True,2023-02-02,7,-3,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1200,3,6,1,2,0,0,0,1,1,0,0,1,0,4.0
True,2023-02-03,9,4,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,LOSS,1196,4,6,0,0,1,1,0,3,3,2,1,3,1,8.7
True,2023-02-05,14,3,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,1323,5,8,0,2,4,6,0,4,3,0,0,3,1,9.5
True,2023-02-08,9,-19,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,1486,4,6,0,0,1,2,0,0,3,2,0,0,2,9.3
True,2023-02-10,9,3,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1363,3,9,1,3,2,4,0,2,3,2,1,2,1,6.1
True,2023-02-11,15,-3,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,LOSS,1635,6,10,2,5,1,2,0,4,3,1,2,1,2,13.9
True,2023-02-13,12,5,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1429,5,8,0,2,2,2,0,1,2,1,1,4,3,6.6
True,2023-02-15,10,14,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,1885,3,8,0,2,4,4,2,3,9,3,0,2,3,14.0
True,2023-02-24,7,1,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1542,3,8,1,3,0,0,0,2,4,2,0,1,0,7.0
True,2023-02-25,15,12,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,1696,5,7,1,2,4,4,0,2,2,3,0,2,4,13.5
True,2023-02-27,7,9,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,1930,1,8,0,1,5,6,1,2,7,1,0,1,2,6.8
True,2023-03-01,8,-11,CHARLOTTE HORNETS,HOME,PHOENIX SUNS,LOSS,1575,2,7,0,2,4,6,0,5,6,1,2,0,2,10.4
True,2023-03-03,10,-3,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,1265,3,8,0,1,4,6,1,1,6,2,0,0,1,11.6
True,2023-03-05,15,-13,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,1622,6,14,1,6,2,3,2,4,6,1,1,0,3,14.5
True,2023-03-07,3,-2,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,WIN,1421,1,6,1,3,0,0,0,5,6,0,0,2,1,2.5
True,2023-03-09,14,11,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,WIN,1393,7,10,0,1,0,2,0,0,3,3,0,2,3,10.9
True,2023-03-11,13,3,CHARLOTTE HORNETS,HOME,UTAH JAZZ,LOSS,1468,4,11,2,3,3,4,1,2,5,0,2,1,3,10.5
True,2023-03-12,14,1,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,LOSS,2237,5,14,0,1,4,4,1,7,7,3,0,2,4,13.3
True,2023-03-14,6,-5,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,LOSS,1903,3,6,0,0,0,0,1,3,8,2,2,2,2,10.8
True,2023-03-17,5,-22,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,LOSS,1917,2,11,0,4,1,2,0,5,8,0,1,2,2,2.7
True,2023-03-20,2,-20,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,1558,1,10,0,2,0,0,2,3,6,2,0,1,2,2.1
True,2023-03-23,8,-7,CHARLOTTE HORNETS,AWAY,NEW ORLEANS PELICANS,LOSS,1314,4,8,0,2,0,0,1,1,4,1,0,3,1,5.4
True,2023-03-24,13,12,CHARLOTTE HORNETS,AWAY,DALLAS MAVERICKS,WIN,1790,4,9,2,4,3,4,0,5,9,1,0,1,3,14.5
True,2023-03-26,14,4,CHARLOTTE HORNETS,HOME,DALLAS MAVERICKS,WIN,1691,5,11,1,4,3,4,1,4,6,1,0,3,4,10.4
