active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,17,29,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,1791,7,12,3,4,0,0,2,5,4,0,3,1,2,17.4
True,2022-10-21,10,-24,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,LOSS,1761,4,13,2,8,0,0,2,1,2,1,1,3,5,2.3
True,2022-10-23,12,0,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1313,4,8,2,4,2,2,1,2,1,0,0,2,4,6.4
True,2022-10-26,17,-1,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2270,5,14,4,8,3,4,0,5,1,1,0,2,1,9.6
True,2022-10-28,5,-19,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1349,2,9,1,6,0,0,0,1,0,0,3,1,3,-0.3
True,2022-10-29,31,2,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,2407,13,23,1,6,4,4,1,6,1,1,0,1,4,21.7
True,2022-10-31,28,-8,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,2192,12,21,3,4,1,2,1,4,3,0,2,2,3,19.9
True,2022-11-02,8,-17,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1882,3,10,0,2,2,2,2,5,3,0,1,4,2,3.1
True,2022-11-04,10,-29,CHARLOTTE HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1646,2,15,1,7,5,6,2,2,0,0,1,2,1,0.2
True,2022-11-05,18,1,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,2041,5,11,3,6,5,7,0,3,2,0,4,0,1,16.2
True,2022-11-07,25,-27,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,1828,11,18,2,6,1,1,1,3,0,3,0,1,2,19.6
True,2022-11-09,10,9,CHARLOTTE HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1958,3,12,1,6,3,4,4,3,4,2,0,2,3,7.7
True,2022-11-10,9,-1,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2085,4,9,1,3,0,2,0,5,0,0,0,4,5,-1.0
True,2022-11-12,4,-4,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,1655,2,7,0,2,0,0,0,1,0,0,1,1,5,-2.1
True,2022-11-14,14,-2,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,2173,6,13,0,3,2,2,3,3,5,1,0,0,1,14.4
True,2022-11-16,24,-20,CHARLOTTE HORNETS,HOME,INDIANA PACERS,LOSS,2165,7,16,4,9,6,7,0,4,4,0,0,1,3,17.0
True,2022-11-18,28,-18,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,2771,10,20,2,10,6,6,1,9,4,4,0,2,2,25.4
True,2022-11-20,13,-16,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,2058,5,14,2,6,1,2,1,4,1,0,1,3,1,4.7
True,2022-11-23,19,-1,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,2045,8,14,3,5,0,0,1,5,3,0,0,2,3,13.5
True,2022-11-25,16,3,CHARLOTTE HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1202,6,13,1,5,3,4,1,2,0,0,1,2,5,6.9
True,2022-11-28,16,-37,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1565,5,9,3,5,3,4,1,1,2,0,1,3,1,11.0
True,2022-12-02,21,2,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,2263,6,15,5,11,4,4,1,2,5,1,1,1,3,17.2
