active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-7,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,WIN,260,0,0,0,0,2,2,0,1,0,0,0,2,3,-0.9
True,2022-10-23,2,-1,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,86,1,2,0,0,0,0,2,1,0,0,0,0,0,2.7
True,2022-10-28,7,12,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,426,3,5,0,0,1,1,2,2,0,0,0,0,0,6.7
True,2022-12-26,9,7,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,946,3,4,0,0,3,4,1,5,1,2,0,0,5,9.9
True,2022-12-27,6,1,CHARLOTTE HORNETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1106,3,5,0,0,0,0,0,2,1,1,2,1,1,6.0
True,2022-12-29,17,-1,CHARLOTTE HORNETS,HOME,OKLAHOMA CITY THUNDER,WIN,1277,7,7,0,0,3,5,4,9,2,2,2,1,2,22.6
True,2022-12-31,8,-8,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,877,3,7,0,0,2,2,3,4,0,0,0,4,1,3.2
True,2023-01-02,5,-7,CHARLOTTE HORNETS,HOME,LOS ANGELES LAKERS,LOSS,925,1,2,0,0,3,4,0,9,0,0,1,1,1,5.6
True,2023-01-04,2,-23,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,1213,1,5,0,0,0,0,1,7,0,1,1,2,3,0.2
True,2023-01-06,4,-4,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,850,2,4,0,0,0,2,2,4,1,1,0,0,3,4.3
True,2023-01-08,7,5,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,983,2,6,0,0,3,4,2,6,0,1,1,0,2,7.3
True,2023-01-10,4,-12,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,871,1,2,0,0,2,2,1,3,0,0,1,1,1,3.9
True,2023-01-14,2,0,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,104,1,2,0,0,0,0,1,1,0,0,0,0,0,2.0
True,2023-01-16,9,0,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,1015,3,4,0,0,3,4,1,5,0,0,0,0,1,8.8
True,2023-01-18,17,11,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,WIN,1122,8,10,0,0,1,1,1,5,0,0,5,0,3,17.7
True,2023-01-21,8,-6,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1113,3,5,0,0,2,3,0,5,0,3,0,0,1,9.4
True,2023-01-23,11,-19,CHARLOTTE HORNETS,AWAY,UTAH JAZZ,LOSS,1051,5,7,0,0,1,2,3,0,0,2,3,1,3,11.7
True,2023-01-24,6,-7,CHARLOTTE HORNETS,AWAY,PHOENIX SUNS,LOSS,349,2,4,0,0,2,2,1,1,0,0,0,1,2,3.2
True,2023-01-26,10,-4,CHARLOTTE HORNETS,HOME,CHICAGO BULLS,WIN,1076,5,5,0,0,0,0,3,3,0,1,0,0,1,12.1
True,2023-01-29,7,9,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,1192,2,2,0,0,3,3,0,3,1,2,1,1,2,8.9
True,2023-01-31,5,-11,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,995,1,5,0,0,3,4,4,3,0,0,1,0,4,4.3
True,2023-02-02,13,6,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1013,6,7,0,0,1,2,4,3,0,1,3,2,4,13.3
True,2023-02-03,0,2,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,LOSS,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-05,6,-4,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,1009,3,3,0,0,0,0,0,4,0,1,2,2,4,5.1
True,2023-02-08,9,1,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,LOSS,1007,4,5,0,0,1,2,4,4,0,0,2,1,0,11.1
True,2023-02-10,11,-3,CHARLOTTE HORNETS,AWAY,BOSTON CELTICS,LOSS,1847,4,7,0,0,3,4,5,7,2,0,1,0,4,13.4
True,2023-02-11,6,-2,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,LOSS,1287,3,5,0,0,0,2,0,5,0,1,2,0,4,5.2
True,2023-02-13,15,4,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1782,5,7,0,0,5,6,1,4,0,2,2,1,3,14.8
True,2023-02-15,12,7,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,1772,5,11,0,0,2,2,3,7,0,0,4,1,3,11.1
True,2023-02-24,8,3,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1000,4,5,0,0,0,0,2,4,1,0,1,0,2,9.3
True,2023-02-25,18,-7,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,1738,9,12,0,0,0,0,7,13,0,1,1,1,4,21.1
True,2023-02-27,15,13,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,1783,7,10,0,0,1,2,4,7,3,0,1,2,4,14.5
True,2023-03-01,11,-2,CHARLOTTE HORNETS,HOME,PHOENIX SUNS,LOSS,1686,4,10,0,0,3,4,5,5,2,1,1,1,4,10.7
True,2023-03-03,13,-14,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,1664,5,7,0,0,3,3,3,4,0,0,1,3,2,10.3
True,2023-03-05,10,7,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,1460,5,8,0,0,0,0,2,12,0,1,0,1,2,10.6
True,2023-03-07,7,8,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,WIN,1673,3,4,0,0,1,4,1,2,0,1,1,1,2,5.4
True,2023-03-09,2,-1,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,WIN,673,1,1,0,0,0,2,1,3,1,0,0,0,0,3.2
True,2023-03-24,13,-2,CHARLOTTE HORNETS,AWAY,DALLAS MAVERICKS,WIN,1271,6,9,0,0,1,3,1,7,2,0,1,1,0,12.2
True,2023-03-26,15,10,CHARLOTTE HORNETS,HOME,DALLAS MAVERICKS,WIN,1943,5,9,0,0,5,7,6,10,1,0,0,2,2,15.0
True,2023-03-31,6,-22,CHARLOTTE HORNETS,HOME,CHICAGO BULLS,LOSS,2127,3,6,0,0,0,0,1,7,0,1,1,3,3,3.3
True,2023-04-02,15,-15,CHARLOTTE HORNETS,HOME,TORONTO RAPTORS,LOSS,1611,7,15,0,0,1,1,7,5,0,0,0,1,2,11.9
True,2023-04-07,12,-6,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,1589,5,7,0,0,2,2,3,10,0,1,1,0,3,14.7
True,2023-04-09,22,3,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,WIN,1826,9,10,0,0,4,6,1,9,0,1,2,2,3,20.4
