active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,2,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2032,5,8,0,0,3,4,5,5,0,0,2,1,2,13.6
True,2022-10-22,8,5,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1716,4,6,0,0,0,0,3,3,2,0,1,2,2,7.7
True,2022-10-23,15,-1,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2251,6,13,0,0,3,4,6,8,3,0,2,0,2,17.2
True,2022-10-26,18,11,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,1779,7,11,0,0,4,5,7,9,1,1,1,1,5,19.7
True,2022-10-28,12,25,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2379,5,9,0,1,2,4,3,8,2,0,0,0,2,12.0
True,2022-10-30,6,5,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1549,3,8,0,1,0,0,3,10,1,0,0,2,0,5.4
True,2022-11-02,14,-17,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2183,6,11,0,0,2,2,3,11,0,0,2,3,2,11.7
True,2022-11-04,23,20,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1891,11,16,0,0,1,2,2,5,0,0,2,4,2,15.3
True,2022-11-06,16,5,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,1665,5,13,0,0,6,6,3,8,0,2,2,1,4,14.2
True,2022-11-07,10,3,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1972,4,10,0,0,2,3,4,16,3,2,2,0,0,17.3
True,2022-11-09,20,-13,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,1970,7,11,0,0,6,7,2,5,1,0,1,1,4,16.4
True,2022-11-11,13,0,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1991,6,8,0,0,1,2,1,8,1,0,0,2,2,10.4
True,2022-11-18,20,6,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,2736,8,11,0,0,4,5,1,11,2,0,4,2,3,20.1
True,2022-11-20,8,13,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,1629,4,6,0,0,0,0,1,5,2,0,0,3,3,4.8
True,2022-11-21,8,11,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1990,3,5,0,0,2,2,0,11,1,2,1,1,0,11.4
True,2022-11-23,24,19,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2164,10,12,0,0,4,4,5,8,2,1,0,6,3,20.7
True,2022-11-25,1,4,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,724,0,2,0,0,1,2,1,2,1,1,1,0,2,2.1
True,2022-12-06,24,21,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,2305,11,14,0,0,2,4,3,8,1,3,1,2,2,23.9
True,2022-12-09,9,-10,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,1923,2,5,0,1,5,6,4,4,1,0,2,5,5,5.0
True,2022-12-10,21,6,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,2204,7,9,0,0,7,13,6,5,1,1,1,1,4,20.6
True,2022-12-12,16,1,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,2168,7,11,0,0,2,2,3,4,3,1,3,0,2,18.8
True,2022-12-14,14,20,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2153,6,7,0,0,2,2,0,6,3,2,0,0,3,16.2
True,2022-12-16,7,6,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2328,2,3,0,0,3,4,2,3,2,0,0,0,2,8.2
True,2022-12-17,8,-9,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2370,3,7,0,0,2,6,4,11,1,0,2,0,1,10.5
True,2022-12-19,20,18,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1805,7,11,0,0,6,6,2,9,2,2,3,3,3,20.5
True,2022-12-21,19,16,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2386,8,10,0,0,3,4,4,4,3,1,0,1,1,20.5
True,2022-12-23,11,-12,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,1832,5,6,0,0,1,2,1,6,1,1,0,0,2,11.8
True,2022-12-26,10,-14,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,LOSS,1919,2,5,0,1,6,8,4,7,1,1,1,2,0,11.8
True,2022-12-29,19,1,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,2254,8,11,0,0,3,4,4,10,1,1,1,1,2,20.5
True,2022-12-31,6,-3,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2092,3,9,0,0,0,2,4,6,2,2,2,2,1,7.1
True,2023-01-02,21,11,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2315,9,10,0,0,3,6,6,2,2,0,1,1,4,20.7
True,2023-01-04,2,5,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1958,1,3,0,1,0,0,0,8,0,1,1,1,1,3.0
True,2023-01-06,13,-18,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,2135,4,11,0,1,5,8,7,2,1,1,1,1,2,11.8
True,2023-01-08,13,4,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,1729,6,7,0,0,1,2,2,10,5,1,2,0,0,20.4
True,2023-01-10,0,4,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,405,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.1
True,2023-01-12,24,7,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2325,11,17,0,1,2,2,2,8,6,1,0,0,3,24.3
True,2023-01-14,19,-4,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2050,8,10,0,0,3,3,2,6,2,0,2,3,3,17.0
True,2023-01-16,24,14,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,2224,9,12,0,0,6,6,7,4,5,2,1,1,2,29.7
True,2023-01-18,14,9,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2173,6,9,0,0,2,5,5,3,0,0,2,2,4,11.1
True,2023-01-20,8,-13,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,1874,4,7,0,0,0,0,3,5,2,0,3,1,3,9.6
True,2023-01-21,12,-1,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1640,6,10,0,0,0,0,1,5,2,2,1,2,3,10.5
True,2023-01-24,24,15,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2327,12,17,0,0,0,0,1,11,1,0,1,2,1,19.9
True,2023-01-26,14,23,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,WIN,2076,6,10,0,0,2,2,1,9,1,3,0,1,2,14.7
True,2023-01-27,13,-10,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2136,6,8,0,0,1,2,5,4,0,0,1,0,1,14.4
True,2023-01-29,15,27,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,1547,6,10,1,1,2,3,2,6,3,2,0,5,2,11.5
True,2023-01-31,14,-17,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,2044,6,8,0,0,2,3,1,10,0,2,1,2,2,14.0
True,2023-02-02,18,20,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,2277,9,12,0,0,0,0,3,8,4,2,2,3,2,20.1
True,2023-02-05,18,9,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,1784,9,11,0,0,0,0,3,10,0,0,1,2,3,16.5
True,2023-02-06,23,24,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2243,10,13,0,0,3,4,1,7,3,0,2,2,1,21.4
True,2023-02-08,20,18,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1788,9,13,0,0,2,5,9,7,1,0,1,2,1,20.7
True,2023-02-10,20,11,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS PELICANS,WIN,1839,8,11,0,0,4,4,6,5,4,0,2,2,5,21.4
True,2023-02-11,23,3,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1990,10,13,0,0,3,5,4,6,0,0,1,2,3,19.2
True,2023-02-13,17,11,CLEVELAND CAVALIERS,HOME,SAN ANTONIO SPURS,WIN,2330,7,11,0,0,3,3,5,6,0,2,3,0,3,20.3
