active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-10,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,798,2,8,0,1,0,0,0,1,3,2,1,5,1,-1.1
True,2022-11-02,29,10,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2541,9,20,5,11,6,7,0,5,12,3,0,1,3,28.9
True,2022-11-06,24,6,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,2337,7,18,3,9,7,7,1,3,7,0,0,5,4,14.1
True,2022-11-07,19,-2,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2267,8,17,2,9,1,3,1,0,12,1,0,5,1,14.2
True,2022-11-09,6,-6,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,2014,1,9,1,4,3,4,0,0,8,0,0,4,3,0.1
True,2022-11-11,15,-3,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2160,5,19,1,5,4,4,1,2,8,2,0,0,3,11.4
True,2022-11-13,51,6,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2401,16,31,10,15,9,13,1,1,6,2,0,2,3,38.1
True,2022-11-16,23,-1,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,2087,8,20,5,9,2,3,0,4,8,1,1,1,1,18.9
True,2022-11-18,41,23,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,2893,16,26,3,8,6,8,0,1,6,5,1,8,5,28.6
True,2022-11-20,25,12,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,1673,7,12,4,7,7,7,0,2,7,0,0,5,2,19.1
True,2022-11-21,26,8,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,2286,9,14,2,4,6,6,0,0,9,1,0,8,1,18.7
True,2022-11-23,24,26,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2135,9,19,4,9,2,2,0,0,12,0,0,2,1,20.3
True,2022-11-25,20,-26,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,2286,7,18,1,5,5,5,0,4,3,0,0,2,3,10.3
True,2022-11-27,19,1,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,2412,4,19,0,5,11,12,0,3,10,0,0,2,1,12.4
True,2022-11-28,18,-8,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1987,7,11,2,5,2,2,1,3,10,3,1,2,3,22.2
True,2022-11-30,21,24,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1922,9,16,3,4,0,0,0,2,9,0,0,2,1,17.9
True,2022-12-02,18,-5,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,2204,6,15,2,6,4,4,0,1,6,1,0,1,0,14.4
