active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-02-01,3,-2,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,592,1,4,1,4,0,0,1,3,1,1,0,1,2,2.1
True,2023-02-05,6,-10,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,LOSS,1138,2,5,2,2,0,0,0,0,1,0,0,2,2,1.2
True,2023-02-07,0,9,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,879,0,2,0,2,0,0,0,0,0,0,0,0,2,-2.2
True,2023-02-15,3,-6,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,708,1,4,1,3,0,0,0,1,0,1,0,0,0,1.9
True,2023-02-24,3,-1,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,629,1,2,1,2,0,0,0,0,0,0,0,0,3,0.8
True,2023-02-26,4,-4,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,346,1,2,1,2,1,1,0,0,0,0,1,2,0,1.7
True,2023-03-04,6,-8,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,508,2,2,2,2,0,0,0,0,0,1,0,1,0,5.4
True,2023-03-14,0,-5,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,247,0,0,0,0,0,0,1,1,0,0,0,0,1,0.6
True,2023-03-17,2,3,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,235,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
True,2023-04-06,21,19,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,1562,8,14,5,9,0,0,0,3,3,3,1,1,1,19.7
True,2023-04-09,13,-12,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,LOSS,1478,5,12,3,10,0,0,1,3,1,0,1,3,5,4.6
