active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,10,5,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2081,2,7,2,2,4,4,0,5,7,0,0,1,3,10.1
True,2022-10-22,14,17,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2007,4,12,3,6,3,4,0,4,8,1,1,2,1,12.9
True,2022-10-23,10,15,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2154,4,14,2,6,0,0,0,3,4,2,0,2,4,3.9
True,2022-10-26,12,20,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,2006,3,12,3,7,3,6,0,2,6,1,0,5,3,3.2
True,2022-10-28,41,21,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2568,12,21,6,8,11,12,2,2,7,3,0,2,4,37.0
True,2022-10-30,1,-12,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1756,0,9,0,4,1,1,1,2,8,0,0,3,2,-2.2
True,2022-11-02,15,1,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2768,4,12,3,7,4,6,2,6,4,0,0,1,4,10.8
True,2022-11-04,15,27,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1813,6,10,1,4,2,2,1,5,6,0,0,2,3,13.6
True,2022-11-06,12,-2,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,1774,5,10,1,2,1,2,1,3,3,1,0,1,1,9.9
True,2022-11-07,4,1,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2184,2,8,0,2,0,0,1,5,5,0,0,1,3,2.7
True,2022-11-09,21,-10,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,2301,9,18,1,3,2,2,4,6,6,2,0,5,3,16.6
True,2022-11-11,11,-1,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2020,4,11,2,6,1,2,1,1,0,0,0,0,2,4.7
True,2022-11-13,13,-13,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1655,6,12,1,2,0,0,3,2,5,0,1,2,1,11.5
True,2022-11-16,2,-8,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1176,1,5,0,2,0,0,0,2,3,0,0,1,2,-0.2
True,2022-11-18,4,8,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1819,1,8,0,2,2,2,0,3,2,0,0,0,0,1.1
True,2022-11-20,0,22,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,857,0,4,0,4,0,0,1,4,4,1,0,0,2,2.1
True,2022-11-28,8,-12,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1759,2,9,1,4,3,4,1,5,3,0,0,2,2,3.6
True,2022-11-30,22,13,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1996,8,11,3,4,3,4,1,5,4,1,0,3,1,19.7
True,2022-12-02,5,17,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,1445,2,7,1,6,0,0,0,1,4,2,0,1,2,4.2
True,2022-12-04,4,-13,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,974,1,4,0,1,2,2,0,4,1,1,0,3,2,0.7
True,2022-12-06,7,-4,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,1391,3,8,1,3,0,0,0,2,4,1,0,2,4,3.4
True,2022-12-09,22,-21,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,2197,9,21,2,7,2,2,0,6,6,0,0,2,3,13.7
True,2022-12-10,22,6,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,2280,9,22,4,9,0,0,1,3,4,0,0,0,1,14.2
True,2022-12-12,23,14,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,1755,9,13,1,4,4,4,1,1,3,2,0,2,1,20.2
True,2022-12-14,11,4,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,1721,4,10,0,3,3,6,0,3,3,0,0,1,1,6.0
True,2022-12-16,12,17,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1566,4,11,2,4,2,4,1,5,2,0,0,0,3,7.5
True,2022-12-17,4,9,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2278,2,8,0,4,0,1,0,4,1,0,0,3,5,-4.3
True,2022-12-19,13,9,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1873,4,8,2,3,3,4,1,3,1,0,0,2,1,8.5
True,2022-12-21,6,-6,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1937,3,10,0,3,0,0,0,6,1,1,2,0,2,4.3
True,2022-12-23,8,0,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,1082,3,4,1,2,1,2,0,0,2,2,0,0,3,8.2
True,2022-12-26,8,-8,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,LOSS,1180,2,5,1,2,3,3,0,1,0,2,0,1,3,5.4
True,2022-12-29,19,-8,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,2091,7,17,2,5,3,3,0,3,2,1,1,1,5,10.9
True,2022-12-31,23,1,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2236,10,19,3,9,0,2,2,5,4,1,0,4,1,15.2
True,2023-01-02,10,7,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2348,2,13,1,7,5,6,0,5,3,1,0,1,4,3.3
True,2023-01-04,21,-8,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,2271,7,11,5,7,2,3,1,5,2,2,1,2,1,19.6
True,2023-01-06,22,-12,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,1975,8,13,3,4,3,5,1,3,3,0,0,1,3,16.8
True,2023-01-08,13,28,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,1702,6,10,1,3,0,0,0,1,7,3,0,1,1,15.2
