active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,12,19,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,937,6,7,0,0,0,0,1,2,0,0,1,0,1,11.1
True,2022-10-23,6,8,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,881,3,4,0,0,0,0,4,2,1,0,0,2,2,5.7
True,2022-10-30,2,-11,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,561,1,1,0,0,0,1,0,0,0,0,1,0,0,2.0
True,2022-11-02,2,5,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,288,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2022-11-04,0,-1,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,309,0,0,0,0,0,0,1,0,0,0,0,2,1,-1.7
True,2022-11-06,3,2,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,364,0,0,0,0,3,4,0,0,1,0,0,0,0,3.3
True,2022-11-09,0,-3,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,201,0,0,0,0,0,0,1,0,1,0,0,0,1,1.0
True,2022-11-13,5,6,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,974,2,4,0,0,1,1,0,2,0,0,0,0,2,2.8
True,2022-11-16,0,-3,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,821,0,2,0,0,0,0,0,1,0,0,0,0,1,-1.5
True,2022-11-20,2,-4,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,473,1,1,0,0,0,0,1,0,1,0,0,1,2,1.3
True,2022-11-21,6,5,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,615,3,3,0,0,0,0,1,1,1,1,0,0,1,7.4
True,2022-11-23,0,-1,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,311,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2022-11-25,8,-6,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1148,3,6,0,0,2,3,3,0,1,0,0,2,4,3.8
True,2022-11-27,2,-8,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,228,1,2,0,0,0,0,1,0,0,0,0,0,2,0.9
True,2022-11-28,9,-9,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1068,3,6,0,0,3,3,2,1,2,0,0,1,2,7.3
True,2022-11-30,4,-3,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,848,2,2,0,0,0,0,2,0,0,0,0,3,1,1.4
True,2022-12-02,0,-8,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-04,0,-7,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,158,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2022-12-10,2,3,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,311,1,1,0,0,0,0,0,2,1,0,0,1,0,2.0
True,2022-12-14,0,0,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7
