active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,31,10,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2071,12,21,2,8,5,6,0,2,9,2,0,3,4,25.0
True,2022-10-22,32,19,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2071,10,19,4,6,8,9,3,6,8,1,0,4,3,27.6
True,2022-10-23,37,4,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2674,12,29,5,12,8,9,2,3,4,3,1,6,2,23.1
True,2022-10-26,14,9,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,2232,5,19,1,7,3,4,2,2,8,2,0,1,3,9.7
True,2022-10-28,41,18,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2742,15,25,5,9,6,6,0,4,3,1,0,7,4,25.2
True,2022-10-30,38,18,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,2230,12,20,8,13,6,8,0,3,12,1,2,4,4,34.1
True,2022-11-02,25,-3,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2635,11,27,3,9,0,0,0,4,6,1,2,0,3,17.1
True,2022-11-06,33,6,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,2228,10,17,1,7,12,13,1,4,2,1,1,3,1,26.3
True,2022-11-07,30,-2,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2316,10,15,8,11,2,3,0,1,2,0,0,3,5,19.8
True,2022-11-09,38,-8,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,2339,16,28,6,14,0,0,3,2,4,1,0,3,3,27.1
True,2022-11-11,29,7,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2236,10,20,3,10,6,6,0,10,9,2,1,3,0,28.0
True,2022-11-16,23,-17,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,2066,7,19,3,9,6,6,0,2,3,2,0,2,1,14.8
True,2022-11-18,34,10,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,2614,11,22,2,9,10,11,1,3,6,1,0,6,2,22.6
True,2022-11-20,13,15,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,1607,5,12,2,7,1,2,1,2,5,2,0,1,4,10.4
True,2022-11-21,29,14,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,2319,11,22,4,8,3,4,0,4,9,3,0,3,2,24.3
True,2022-11-23,34,-5,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1883,11,18,6,10,6,7,0,2,1,2,0,4,1,24.3
True,2022-11-25,29,-20,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1941,11,24,5,11,2,2,2,1,1,1,0,2,2,17.2
True,2022-11-27,32,11,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,2319,9,23,2,8,12,13,1,4,1,1,0,3,2,18.9
True,2022-11-28,8,-21,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1528,3,11,1,5,1,1,0,1,2,0,0,0,1,2.8
True,2022-11-30,18,20,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1556,5,9,5,7,3,3,0,3,6,2,1,2,0,19.5
True,2022-12-02,34,7,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,2213,12,21,7,11,3,3,1,1,1,1,1,5,4,20.9
True,2022-12-04,23,2,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2381,8,22,2,11,5,6,1,3,5,0,1,3,3,12.0
True,2022-12-06,43,21,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,2372,17,27,4,8,5,5,2,4,5,4,0,2,1,38.6
True,2022-12-12,28,-9,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,2194,12,24,2,7,2,2,4,1,1,0,0,3,3,15.6
True,2022-12-14,34,20,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2258,13,20,6,9,2,2,1,2,4,1,0,3,5,25.3
True,2022-12-16,41,7,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2243,14,24,8,15,5,5,0,1,3,1,0,2,2,30.4
True,2022-12-17,25,-4,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2534,9,21,1,9,6,8,0,4,3,1,0,4,4,11.8
True,2022-12-19,23,8,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1358,8,12,4,5,3,3,0,2,1,0,0,1,4,16.5
True,2022-12-21,36,15,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2204,9,21,3,9,15,16,1,3,6,2,0,2,4,28.7
True,2022-12-23,12,-12,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,2079,4,16,3,12,1,4,0,5,4,3,0,3,1,5.1
True,2022-12-26,15,-13,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,LOSS,2057,5,16,3,9,2,2,1,2,5,1,1,1,2,10.5
True,2022-12-29,28,-14,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,2210,10,25,5,11,3,4,2,2,6,2,0,2,2,19.5
True,2022-12-31,15,-9,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2209,5,16,0,6,5,6,1,2,6,4,0,7,3,6.7
True,2023-01-02,71,19,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2988,22,34,7,15,20,25,3,5,11,0,1,4,3,60.8
True,2023-01-04,20,9,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,2175,6,20,3,12,5,5,1,5,9,2,0,4,4,13.3
True,2023-01-08,22,3,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,1786,7,12,2,7,6,6,0,2,2,1,1,4,4,14.5
True,2023-01-10,46,-4,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2172,14,27,7,18,11,11,1,4,6,3,0,0,0,41.8
True,2023-01-12,26,10,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2138,11,23,2,8,2,4,1,4,5,2,0,3,2,17.1
True,2023-01-14,14,-5,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2206,5,16,2,9,2,4,1,2,6,0,0,2,1,7.1
True,2023-01-16,11,2,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,1309,3,9,2,6,3,3,0,1,0,0,1,4,1,2.5
