active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,14,-14,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2135,5,9,1,3,3,4,0,6,1,1,1,3,1,10.1
True,2022-10-22,16,7,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1486,7,9,0,0,2,2,1,2,1,1,1,3,1,12.8
True,2022-10-23,10,-3,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2195,2,7,0,0,6,6,2,5,2,2,1,2,3,9.7
True,2022-10-26,20,3,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,2066,9,15,0,0,2,4,0,3,3,1,1,3,4,12.4
True,2022-10-28,19,2,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2519,7,12,1,3,4,6,3,7,3,1,2,2,4,17.7
True,2022-10-30,16,18,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,2055,6,13,0,2,4,4,2,5,3,1,1,2,5,12.0
True,2022-11-02,15,15,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,1920,7,8,0,1,1,2,2,5,2,0,0,3,3,11.9
True,2022-11-04,11,0,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1812,5,14,0,1,1,2,2,6,2,0,8,1,0,12.0
True,2022-11-06,5,1,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,1827,2,7,0,1,1,2,2,5,3,2,1,1,3,6.0
True,2022-11-07,26,-20,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2021,12,18,0,0,2,2,3,5,1,0,0,3,6,17.1
True,2022-11-09,16,-1,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,2145,7,10,0,0,2,3,1,5,0,1,0,2,3,11.4
True,2022-11-11,20,1,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2325,8,15,0,0,4,5,8,5,4,0,2,3,3,19.4
True,2022-11-13,4,-14,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1932,1,4,0,0,2,6,5,8,3,2,0,3,4,5.4
True,2022-11-16,20,-13,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1869,9,14,0,0,2,4,3,4,2,1,2,0,3,18.9
True,2022-11-18,21,15,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,2726,9,14,0,1,3,4,5,13,5,1,2,1,4,25.1
True,2022-11-20,15,15,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,1800,7,12,0,0,1,2,4,6,5,1,0,3,2,14.3
True,2022-11-21,10,5,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,2133,4,6,0,0,2,2,2,7,3,1,1,4,2,9.9
True,2022-11-23,10,0,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2106,4,10,0,0,2,4,4,8,3,0,3,2,2,10.4
True,2022-11-25,8,-16,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1745,2,12,0,1,4,4,1,7,0,3,0,2,0,4.2
True,2022-11-27,20,4,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,2378,8,12,2,2,2,5,6,7,1,0,1,3,3,17.1
True,2022-11-28,18,-8,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1950,7,14,0,4,4,6,3,12,1,1,2,1,1,17.6
True,2022-11-30,16,23,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1427,8,10,0,1,0,0,0,8,3,0,1,1,4,14.8
True,2022-12-02,19,15,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,2301,9,10,1,1,0,0,4,9,4,1,2,2,3,23.1
True,2022-12-04,11,1,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2340,4,9,0,1,3,5,5,5,3,0,4,1,1,14.0
True,2022-12-06,7,14,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,1786,3,6,0,1,1,2,3,9,2,1,1,0,5,9.5
True,2022-12-09,17,-4,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,2436,5,13,0,3,7,9,2,5,4,1,0,4,3,10.6
True,2022-12-10,21,9,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,2210,8,14,2,3,3,5,3,9,3,0,0,2,4,16.9
True,2022-12-12,17,2,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,2267,7,12,0,0,3,4,4,9,4,0,1,3,2,16.2
True,2022-12-14,14,11,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2100,5,9,0,1,4,4,2,5,6,0,1,1,5,14.5
True,2022-12-16,16,10,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1866,6,10,1,2,3,4,0,9,2,0,2,1,2,14.7
True,2022-12-17,17,3,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2182,6,10,1,1,4,5,3,5,4,0,0,0,3,17.2
True,2022-12-19,12,18,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1839,4,6,0,1,4,6,0,8,3,0,0,1,2,11.3
True,2022-12-21,7,-6,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1381,3,7,0,3,1,2,0,3,1,1,1,2,5,2.2
True,2022-12-23,10,-13,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,1937,5,7,0,0,0,0,1,7,3,0,1,2,0,10.7
True,2022-12-26,12,-6,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,LOSS,2339,5,11,0,3,2,2,0,6,2,1,1,3,3,7.0
True,2022-12-29,13,-18,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,1916,5,10,0,1,3,3,5,2,7,2,1,3,2,15.9
True,2023-01-04,6,-8,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1906,2,9,0,0,2,2,1,7,1,2,0,4,1,1.6
True,2023-01-06,12,-3,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,2042,6,13,0,2,0,6,2,7,4,1,3,1,4,9.7
True,2023-01-08,14,13,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,2066,7,10,0,0,0,0,0,8,6,0,1,3,0,14.1
True,2023-01-10,12,-8,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2223,5,8,0,0,2,4,1,6,1,1,4,0,6,12.2
True,2023-01-12,17,6,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1497,6,12,0,1,5,6,5,3,3,1,1,0,4,17.2
True,2023-01-14,19,-24,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1890,6,11,0,2,7,8,2,6,1,0,0,3,3,13.0
True,2023-01-16,19,8,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,2383,8,10,0,0,3,4,1,7,0,0,1,2,2,15.5
True,2023-01-18,18,2,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2331,9,15,0,1,0,2,4,11,3,1,2,6,2,14.1
True,2023-01-20,17,0,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,2209,7,12,0,2,3,4,2,5,2,0,1,0,1,15.6
True,2023-01-21,38,20,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2278,19,27,0,2,0,1,3,6,3,0,0,4,1,27.9
True,2023-01-24,12,0,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2262,6,11,0,1,0,0,1,6,3,1,2,3,4,9.1
True,2023-01-26,21,17,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,WIN,1999,6,16,0,3,9,10,5,5,3,1,2,3,3,17.1
True,2023-01-27,23,-3,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2258,9,18,2,2,3,4,2,9,1,0,2,4,5,13.8
True,2023-01-29,9,36,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,1607,4,9,1,1,0,0,0,9,3,1,3,0,4,10.6
True,2023-01-31,19,16,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,2301,9,15,0,2,1,2,1,6,4,0,2,0,3,17.2
True,2023-02-02,17,1,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,2004,7,17,0,2,3,5,4,10,5,1,2,3,3,14.6
True,2023-02-05,17,18,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,1856,7,12,0,1,3,4,1,9,4,1,3,0,4,18.7
True,2023-02-06,16,23,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1706,7,13,0,0,2,3,4,1,2,2,2,1,3,15.0
True,2023-02-08,19,21,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1923,7,14,0,0,5,6,3,5,3,0,0,3,1,13.9
True,2023-02-10,28,18,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS PELICANS,WIN,2192,13,18,0,0,2,3,3,10,2,3,2,0,3,29.9
True,2023-02-11,14,2,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2139,6,13,2,4,0,0,1,5,3,2,0,2,4,10.0
True,2023-02-13,15,3,CLEVELAND CAVALIERS,HOME,SAN ANTONIO SPURS,WIN,2262,5,10,0,1,5,8,2,7,1,1,2,3,2,11.6
True,2023-02-15,23,-8,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,2130,9,19,0,4,5,7,1,8,1,0,0,2,4,12.7
True,2023-02-23,31,0,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,LOSS,2270,12,19,2,4,5,5,2,7,1,1,1,1,4,25.8
True,2023-02-24,13,-8,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1789,6,11,0,0,1,2,0,4,2,1,1,4,3,6.4
True,2023-02-26,18,22,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,2002,7,14,2,6,2,4,3,6,4,1,1,2,2,15.8
True,2023-03-01,12,-1,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,2351,6,15,0,2,0,2,2,11,1,1,0,0,3,8.3
True,2023-03-04,16,28,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1776,7,14,0,1,2,4,3,8,6,1,4,3,1,17.3
True,2023-03-06,25,9,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,2479,10,14,1,4,4,7,5,12,1,0,3,3,5,22.9
True,2023-03-08,15,-1,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,WIN,1912,5,9,0,2,5,6,2,4,6,1,2,3,3,15.3
True,2023-03-10,12,-18,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1704,4,10,1,3,3,4,0,4,2,0,1,0,4,7.9
True,2023-03-12,18,15,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,2347,6,13,0,0,6,11,2,7,3,1,0,0,3,14.7
True,2023-03-14,26,14,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,1845,10,15,0,0,6,6,1,5,2,1,1,0,2,24.0
True,2023-03-15,13,-15,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,LOSS,2353,5,10,0,1,3,7,5,7,5,1,2,1,2,16.1
True,2023-03-17,20,16,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2131,8,15,0,0,4,6,1,7,3,0,4,2,3,16.4
True,2023-03-21,17,6,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,2165,8,12,1,2,0,0,0,4,3,1,0,3,3,11.9
True,2023-03-23,26,16,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,2398,11,18,0,1,4,6,5,11,3,1,4,0,1,29.3
True,2023-03-26,19,21,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,WIN,2386,8,12,0,1,3,6,3,4,5,1,3,3,1,19.1
True,2023-03-28,20,12,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,2411,10,13,0,0,0,2,5,10,6,1,4,0,3,27.4
True,2023-03-31,14,-6,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,2464,6,8,0,0,2,3,0,7,5,0,3,0,1,17.7
True,2023-04-02,14,15,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2349,7,17,0,1,0,0,5,11,4,0,4,0,3,16.1
True,2023-04-04,14,0,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,2123,5,10,1,2,3,4,1,6,4,1,1,0,3,14.4
True,2023-04-09,6,8,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,LOSS,720,3,7,0,0,0,0,2,3,0,0,0,1,0,3.6
