active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-8,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,362,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.4
True,2022-10-22,6,11,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,912,3,5,0,1,0,0,0,4,4,1,0,1,1,7.3
True,2022-10-23,4,8,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,486,2,5,0,1,0,0,1,0,0,1,0,0,0,3.0
True,2022-10-26,7,3,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,833,1,2,1,1,4,4,0,0,0,0,0,0,1,5.6
True,2022-10-28,0,-9,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,438,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2022-10-30,2,-5,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,650,1,3,0,1,0,0,1,0,3,0,0,0,3,1.9
True,2022-11-04,10,6,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1463,3,7,2,3,2,2,0,5,5,2,0,2,0,11.3
True,2022-11-13,0,-17,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,324,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-16,0,0,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,297,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-20,4,-4,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,473,2,3,0,0,0,0,0,0,1,1,0,2,1,2.0
True,2022-11-23,0,1,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-25,1,7,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,183,0,0,0,0,1,2,0,0,1,0,0,0,0,1.3
True,2022-11-27,5,7,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,776,2,3,1,2,0,0,0,0,1,1,0,0,1,5.0
True,2022-11-28,6,7,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,395,3,4,0,1,0,0,0,1,1,0,0,0,1,5.0
True,2022-11-30,0,-1,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-06,1,-1,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,103,0,0,0,0,1,2,0,1,0,0,0,0,0,0.9
True,2022-12-09,2,4,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,1049,0,1,0,1,2,2,0,0,1,1,0,0,3,1.8
True,2022-12-10,5,-1,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,822,2,4,1,3,0,0,0,1,4,0,0,0,0,6.1
True,2022-12-14,0,0,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-17,2,-4,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,395,1,1,0,0,0,0,0,0,0,0,0,0,2,0.9
True,2022-12-19,0,4,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,720,0,0,0,0,0,0,0,2,1,1,0,2,3,-0.9
True,2022-12-23,0,6,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,565,0,2,0,1,0,0,0,0,3,1,0,0,1,1.3
True,2022-12-31,5,7,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,882,2,2,1,1,0,0,1,1,3,0,0,0,2,6.7
True,2023-01-02,4,3,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1047,2,3,0,1,0,0,1,0,2,0,0,1,0,3.8
True,2023-01-04,14,4,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1263,5,7,0,1,4,4,0,2,0,1,1,0,2,12.6
True,2023-01-06,6,2,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,1220,2,4,2,4,0,0,0,1,5,0,0,0,1,7.4
True,2023-01-08,3,9,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,667,1,1,1,1,0,0,1,0,2,1,0,0,0,5.8
True,2023-01-10,2,2,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,752,1,2,0,1,0,0,0,1,0,0,0,0,1,0.9
True,2023-01-18,0,-2,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,412,0,0,0,0,0,0,0,2,1,0,0,0,1,0.9
True,2023-01-20,2,4,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,1024,1,2,0,1,0,0,1,0,4,0,2,2,2,3.1
True,2023-01-26,0,-4,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,WIN,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-27,7,-6,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,699,2,3,1,2,2,2,0,2,0,1,0,1,0,6.3
True,2023-01-29,4,0,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,487,1,1,0,0,2,2,0,1,3,0,0,0,0,6.1
True,2023-02-02,0,-6,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,111,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-02-05,0,-5,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,144,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-02-06,2,-5,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,557,1,2,0,1,0,0,0,3,0,0,0,1,0,0.9
True,2023-02-08,14,23,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,2142,5,11,1,4,3,3,0,0,8,4,0,1,5,14.9
