active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-01-12,9,6,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,627,3,5,2,4,1,2,0,3,1,0,0,0,0,7.9
True,2023-01-14,3,-6,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,766,1,4,1,3,0,0,0,2,2,0,0,0,2,1.8
True,2023-01-16,2,13,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,1008,1,4,0,2,0,0,0,1,0,0,0,0,4,-1.7
True,2023-01-18,7,-4,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,732,2,7,1,5,2,2,1,3,3,0,0,0,0,6.6
True,2023-01-21,3,-2,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1127,1,6,0,2,1,2,0,3,5,2,0,1,2,3.4
True,2023-01-24,3,-26,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,805,1,4,1,3,0,0,0,0,2,1,0,2,2,0.2
True,2023-01-26,5,12,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,WIN,1041,2,7,1,2,0,0,1,2,7,1,0,1,2,6.3
True,2023-01-29,3,-10,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,1147,1,5,1,3,0,0,0,3,4,1,0,0,1,4.2
True,2023-01-31,8,6,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,1036,3,6,2,4,0,2,0,5,5,1,0,1,1,8.8
True,2023-02-02,13,15,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,1261,4,9,3,6,2,2,0,2,4,2,1,2,1,12.0
True,2023-02-05,7,8,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,1195,3,7,1,3,0,0,0,3,9,0,0,1,3,8.3
True,2023-02-08,8,11,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,980,3,6,0,3,2,2,0,2,4,2,0,1,1,9.0
