active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,6,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,247,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2022-10-30,0,-2,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-04,6,13,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1111,2,4,0,1,2,2,0,0,0,0,1,1,4,2.1
True,2022-11-13,15,-2,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1818,5,10,0,1,5,6,2,4,1,0,0,0,2,12.1
True,2022-11-16,10,-16,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,2025,3,10,2,3,2,2,3,2,0,0,4,0,3,8.5
True,2022-11-18,3,-15,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1739,1,5,0,2,1,2,0,3,1,1,1,0,3,1.6
True,2022-11-20,11,-8,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,1320,5,6,1,2,0,0,1,3,1,1,0,2,1,9.7
True,2022-11-21,8,1,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1711,3,5,1,1,1,2,0,3,0,0,0,1,2,4.4
True,2022-11-23,12,-1,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1658,3,5,1,2,5,5,1,0,0,0,0,1,1,9.0
True,2022-12-02,8,4,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,907,3,10,2,4,0,0,0,2,1,0,0,1,0,2.5
True,2022-12-04,8,0,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1619,4,7,0,1,0,0,0,6,0,2,0,0,0,8.5
True,2022-12-06,2,17,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,1583,1,5,0,3,0,0,0,7,1,1,0,0,2,1.9
True,2022-12-09,7,1,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,1540,3,6,1,1,0,0,2,6,0,0,0,0,2,6.4
True,2022-12-10,10,15,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,1864,4,9,2,5,0,0,1,6,1,3,1,0,1,11.8
True,2022-12-12,0,-9,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,1472,0,0,0,0,0,0,0,3,0,0,0,1,0,-0.1
True,2022-12-14,18,22,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2305,8,15,1,6,1,2,0,11,2,0,0,1,2,13.2
True,2022-12-16,0,-11,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1314,0,4,0,1,0,0,0,3,1,0,0,1,2,-3.0
True,2022-12-23,6,-3,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,895,3,6,0,2,0,3,2,2,1,0,0,1,2,2.7
True,2022-12-26,6,-13,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,LOSS,1361,2,7,2,4,0,0,1,0,1,1,0,3,0,1.3
True,2022-12-29,7,-1,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,1282,3,8,1,3,0,2,3,3,2,0,1,1,0,5.9
True,2022-12-31,2,0,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1185,1,6,0,3,0,0,0,4,1,0,1,1,1,-0.6
True,2023-01-02,4,-6,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1149,2,5,0,2,0,0,0,1,2,0,0,0,0,3.0
True,2023-01-04,2,-7,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,348,1,1,0,0,0,0,1,0,0,0,0,0,2,1.6
True,2023-01-06,6,6,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,810,2,6,0,1,2,2,1,0,1,0,1,0,0,4.7
True,2023-01-08,2,10,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,926,1,2,0,0,0,0,0,6,0,0,1,1,0,2.5
True,2023-01-10,11,1,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,1496,5,6,1,2,0,0,1,2,0,3,2,0,5,12.5
True,2023-01-12,6,-9,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,814,1,3,0,0,4,4,0,0,0,0,0,0,2,3.5
True,2023-01-14,0,5,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,477,0,1,0,0,0,0,1,0,2,0,0,0,0,1.4
True,2023-01-16,3,16,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,1177,1,2,0,1,1,2,1,3,0,0,1,1,2,2.1
True,2023-01-18,5,-3,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1009,2,2,1,1,0,0,1,3,0,0,0,1,4,3.4
True,2023-01-20,5,2,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,978,2,2,0,0,1,2,0,3,0,1,0,1,2,4.1
