active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-16,3,1,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,208,1,3,1,2,0,0,0,0,0,0,0,0,3,0.1
True,2022-11-18,0,-1,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,262,0,2,0,2,0,0,0,1,0,0,0,0,1,-1.5
True,2022-11-20,15,21,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,865,5,7,4,5,1,1,0,1,2,0,0,1,4,11.2
True,2022-11-23,0,-6,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,308,0,3,0,1,0,0,1,0,1,0,0,0,0,-0.7
True,2022-11-27,3,-1,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,1011,1,3,1,3,0,0,0,2,1,0,0,0,2,1.8
True,2022-11-29,6,-6,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,436,2,2,2,2,0,0,0,0,0,0,0,1,1,4.0
True,2022-12-01,2,-3,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,LOSS,150,0,1,0,1,2,3,0,0,0,0,0,0,0,0.9
True,2022-12-03,0,-11,DALLAS MAVERICKS,AWAY,NEW YORK KNICKS,WIN,467,0,3,0,3,0,0,0,0,0,0,0,0,2,-2.9
True,2022-12-05,0,-2,DALLAS MAVERICKS,HOME,PHOENIX SUNS,WIN,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-10,5,-15,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,LOSS,685,1,4,1,4,2,2,1,2,0,1,0,1,0,3.9
True,2022-12-14,2,-8,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,424,1,3,0,2,0,0,0,0,0,0,0,0,0,0.3
True,2022-12-19,18,9,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,984,6,9,6,9,0,0,0,0,0,0,1,0,1,14.4
True,2022-12-21,3,2,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,735,1,3,1,3,0,0,0,1,0,0,0,1,2,-0.2
