active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,-10,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,2292,2,4,1,2,0,0,0,3,0,2,0,0,4,4.3
True,2022-10-22,7,28,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,1627,3,6,1,4,0,1,3,2,1,1,1,1,2,6.9
True,2022-10-25,4,-4,DALLAS MAVERICKS,AWAY,NEW ORLEANS PELICANS,LOSS,2083,2,5,0,2,0,0,2,2,2,0,1,1,2,3.6
True,2022-10-27,6,0,DALLAS MAVERICKS,AWAY,BROOKLYN NETS,WIN,2378,2,7,1,6,1,2,1,2,1,0,0,1,4,0.9
True,2022-10-29,13,-7,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,2100,5,15,3,9,0,0,4,1,1,0,2,1,4,7.1
True,2022-10-30,13,-1,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,1750,5,7,3,5,0,0,1,7,0,2,0,0,3,13.7
True,2022-11-02,4,0,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1566,2,6,0,3,0,0,0,2,0,1,1,0,0,2.9
True,2022-11-04,11,-2,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1842,4,7,2,5,1,2,2,2,0,1,0,3,1,6.9
True,2022-11-07,18,-7,DALLAS MAVERICKS,HOME,BROOKLYN NETS,WIN,2101,5,9,2,5,6,6,1,2,1,1,0,4,1,12.3
True,2022-11-09,8,-4,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,LOSS,1843,3,6,2,5,0,0,0,1,1,1,1,1,0,6.7
True,2022-11-10,5,4,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,LOSS,1773,2,6,1,3,0,0,0,5,1,1,0,2,3,1.6
True,2022-11-12,6,-4,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2025,2,7,2,6,0,0,0,5,1,0,0,1,2,2.3
True,2022-11-15,21,4,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,2185,7,15,7,13,0,0,1,2,0,3,0,0,2,16.8
True,2022-11-16,7,-4,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,2307,3,11,1,8,0,0,2,6,0,0,1,0,2,3.6
True,2022-11-18,6,16,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,1829,2,6,1,4,1,2,2,2,2,1,0,0,0,6.6
True,2022-11-20,3,-3,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,2136,1,5,1,4,0,0,0,3,1,1,1,0,1,2.8
True,2022-11-23,10,-15,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,2216,4,9,2,5,0,0,0,3,1,1,2,2,3,6.1
True,2022-11-26,16,8,DALLAS MAVERICKS,AWAY,TORONTO RAPTORS,LOSS,1898,5,12,3,9,3,3,1,3,2,2,1,2,0,13.3
True,2022-11-27,13,-15,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,2282,5,9,2,6,1,1,4,0,3,3,0,0,2,15.8
True,2022-11-29,6,12,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1765,2,6,1,4,1,2,3,6,2,0,0,0,1,7.1
True,2022-12-01,6,-9,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,LOSS,1906,2,5,2,4,0,0,0,2,2,1,0,1,2,4.5
True,2022-12-03,3,31,DALLAS MAVERICKS,AWAY,NEW YORK KNICKS,WIN,1847,1,8,1,7,0,0,2,3,1,0,0,1,1,-0.6
True,2022-12-05,3,7,DALLAS MAVERICKS,HOME,PHOENIX SUNS,WIN,1406,1,3,1,3,0,0,0,2,0,0,0,0,1,1.5
True,2022-12-06,19,-4,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,WIN,2114,7,13,5,10,0,0,0,1,3,3,0,2,6,13.7
True,2022-12-09,5,0,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,LOSS,1707,2,6,1,5,0,2,4,4,1,3,2,0,1,9.5
True,2022-12-10,0,-13,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,LOSS,1221,0,2,0,2,0,0,0,0,1,0,0,2,0,-2.7
True,2022-12-12,9,10,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,1381,3,9,3,8,0,0,5,0,3,1,0,0,0,10.5
True,2022-12-14,7,-17,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,1503,2,8,2,7,1,2,1,3,0,0,1,0,1,3.7
True,2022-12-16,6,15,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1703,2,6,2,6,0,0,0,3,2,0,1,2,2,2.8
True,2022-12-17,11,0,DALLAS MAVERICKS,AWAY,CLEVELAND CAVALIERS,LOSS,2399,4,8,3,5,0,0,1,3,2,0,1,1,6,7.3
True,2022-12-19,9,-18,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1675,3,6,2,3,1,2,4,1,1,1,1,1,1,9.7
True,2023-01-18,9,-1,DALLAS MAVERICKS,HOME,ATLANTA HAWKS,LOSS,2084,3,9,1,6,2,2,6,3,3,0,0,1,1,9.7
True,2023-01-20,10,23,DALLAS MAVERICKS,HOME,MIAMI HEAT,WIN,1485,3,5,2,3,2,2,0,1,3,1,0,0,5,9.1
True,2023-01-22,8,-21,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2280,3,8,2,6,0,0,1,3,0,1,1,1,1,5.5
True,2023-01-24,12,-11,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,LOSS,1859,4,7,2,4,2,2,1,4,2,1,0,0,4,11.4
True,2023-01-26,18,16,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,WIN,2078,7,16,3,10,1,1,3,9,3,1,0,1,2,15.7
True,2023-01-28,11,1,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,2476,4,9,3,7,0,0,3,6,4,2,1,2,1,13.3
True,2023-01-30,6,7,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,2087,2,5,0,1,2,2,2,5,2,0,0,0,2,6.8
True,2023-02-02,13,-5,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,WIN,2022,5,8,3,5,0,0,3,4,4,1,1,0,5,15.2
True,2023-02-04,18,10,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2021,5,11,3,7,5,6,4,5,2,1,0,2,1,16.2
True,2023-02-09,9,32,BROOKLYN NETS,HOME,CHICAGO BULLS,WIN,2075,4,10,0,4,1,3,3,6,1,0,0,1,3,5.2
True,2023-02-11,5,2,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,LOSS,2068,2,8,1,4,0,0,3,5,2,0,0,1,3,3.0
True,2023-02-13,9,-15,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1761,3,5,3,4,0,0,1,4,0,0,0,1,4,6.0
True,2023-02-15,2,-1,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,1208,0,4,0,3,2,2,1,3,1,0,0,1,1,0.1
True,2023-02-24,2,-35,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1505,1,6,0,5,0,0,1,5,1,0,0,2,4,-2.5
True,2023-02-26,12,15,BROOKLYN NETS,AWAY,ATLANTA HAWKS,LOSS,1942,5,10,2,6,0,0,2,6,3,2,0,0,2,13.5
True,2023-02-28,5,-17,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,1769,2,7,0,5,1,1,0,2,2,1,1,2,4,1.0
True,2023-03-01,5,-10,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1122,2,5,1,3,0,0,0,2,2,0,0,0,1,3.9
True,2023-03-03,17,14,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,2267,6,15,5,11,0,0,2,7,3,0,2,1,2,14.1
True,2023-03-05,5,23,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,WIN,2001,2,8,1,5,0,0,3,4,2,0,2,1,2,4.5
True,2023-03-07,2,5,BROOKLYN NETS,AWAY,HOUSTON ROCKETS,WIN,1588,1,6,0,5,0,0,2,0,3,2,0,2,2,0.9
True,2023-03-09,0,-14,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,665,0,3,0,2,0,0,1,2,0,0,0,0,0,-0.8
