active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,1,18,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,1077,0,0,0,0,1,2,2,2,2,1,1,1,2,3.9
True,2022-10-22,5,10,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,927,1,1,1,1,2,2,0,0,1,0,0,1,5,2.4
True,2022-10-25,2,4,DALLAS MAVERICKS,AWAY,NEW ORLEANS PELICANS,LOSS,817,1,2,0,1,0,0,0,2,0,0,0,0,1,1.2
True,2022-10-27,10,3,DALLAS MAVERICKS,AWAY,BROOKLYN NETS,WIN,801,3,3,3,3,1,2,1,3,1,1,0,1,2,10.2
True,2022-10-29,6,24,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,909,2,5,0,2,2,2,2,3,1,4,0,2,0,8.3
True,2022-10-30,6,1,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,1028,2,3,1,2,1,2,1,1,0,1,0,1,1,4.9
True,2022-11-02,6,8,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1125,2,3,2,3,0,2,1,0,0,0,0,0,2,3.8
True,2022-11-04,7,1,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1206,3,3,1,1,0,0,1,1,0,1,0,0,3,6.9
True,2022-11-07,16,11,DALLAS MAVERICKS,HOME,BROOKLYN NETS,WIN,1608,5,5,2,2,4,4,1,4,2,0,0,2,2,15.0
True,2022-11-09,6,-9,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,LOSS,1511,3,6,0,2,0,2,0,0,3,2,0,0,2,5.5
True,2022-11-10,4,-15,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,LOSS,1142,1,4,0,1,2,2,1,0,0,2,0,1,0,3.3
True,2022-11-12,6,4,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1422,2,5,1,4,1,2,1,0,1,1,0,0,4,3.7
True,2022-11-15,0,-3,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,820,0,1,0,1,0,2,0,1,0,0,0,0,1,-1.6
True,2022-11-16,4,-11,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,992,0,2,0,1,4,4,3,2,0,2,0,1,3,5.1
True,2022-11-18,5,21,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,1062,2,3,0,1,1,1,1,0,3,0,0,0,4,4.9
True,2022-11-20,23,13,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,1804,8,9,6,7,1,2,0,2,0,0,0,1,3,17.9
True,2022-11-23,3,11,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,1330,1,4,1,2,0,0,1,0,0,1,0,0,4,0.7
True,2022-11-26,6,-15,DALLAS MAVERICKS,AWAY,TORONTO RAPTORS,LOSS,1028,2,6,0,3,2,2,0,1,2,0,0,1,6,0.9
True,2022-11-27,8,5,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,1198,2,3,1,2,3,4,0,4,0,1,0,1,2,6.7
