active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,9,-2,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,1501,3,10,1,5,2,2,0,2,1,1,0,2,1,3.1
True,2022-10-22,16,23,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,1553,3,10,2,6,8,8,0,2,2,0,0,0,1,11.8
True,2022-10-27,18,-1,DALLAS MAVERICKS,AWAY,BROOKLYN NETS,WIN,1817,6,13,4,8,2,2,0,2,1,0,2,1,1,12.6
True,2022-10-29,8,3,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1331,2,7,1,3,3,4,0,2,1,1,0,2,3,2.6
True,2022-10-30,21,9,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,1627,5,15,3,9,8,8,0,1,3,1,0,0,2,15.1
True,2022-11-02,3,-2,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1245,1,9,1,6,0,0,0,1,2,0,0,1,2,-3.0
True,2022-11-04,6,-6,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1146,2,8,2,6,0,0,0,2,3,1,0,2,2,2.1
True,2022-11-07,11,6,DALLAS MAVERICKS,HOME,BROOKLYN NETS,WIN,828,4,8,2,4,1,2,0,1,1,0,0,0,0,7.6
True,2022-11-09,5,-3,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,LOSS,1331,2,10,1,7,0,0,0,2,2,2,0,0,0,2.8
True,2022-11-10,16,-7,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,LOSS,1686,5,12,5,11,1,2,1,1,1,0,0,0,0,10.9
True,2022-11-12,16,23,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1878,6,13,3,10,1,1,0,3,5,1,0,3,2,10.9
True,2022-11-15,0,-11,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,1348,0,7,0,5,0,0,1,2,3,3,0,2,2,-1.3
True,2022-11-16,28,-8,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,2023,10,26,5,14,3,3,0,4,3,0,0,1,0,16.1
True,2022-11-18,13,18,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,1457,3,6,3,6,4,4,0,4,4,1,1,1,2,13.9
True,2022-11-20,2,8,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,1241,0,9,0,5,2,2,1,2,2,1,0,1,1,-2.0
True,2022-11-23,2,6,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,1333,1,7,0,5,0,0,0,1,2,1,0,0,0,0.2
True,2022-11-26,4,-16,DALLAS MAVERICKS,AWAY,TORONTO RAPTORS,LOSS,1021,2,5,0,3,0,0,0,2,0,0,0,1,1,0.5
True,2022-11-27,6,-14,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,1258,2,8,2,6,0,0,0,0,0,0,0,1,0,0.2
True,2022-11-29,22,19,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1881,8,16,5,11,1,2,0,4,2,0,0,0,3,15.0
True,2022-12-01,26,0,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,LOSS,2414,9,20,6,14,2,4,2,3,2,2,1,0,4,19.6
True,2022-12-03,28,23,DALLAS MAVERICKS,AWAY,NEW YORK KNICKS,WIN,1662,10,17,8,13,0,1,1,6,1,1,0,1,0,22.9
True,2022-12-05,17,9,DALLAS MAVERICKS,HOME,PHOENIX SUNS,WIN,1351,6,12,5,9,0,0,0,3,2,1,0,1,1,12.9
True,2022-12-06,29,4,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,WIN,1874,7,12,6,8,9,12,1,2,2,3,0,2,4,24.3
True,2022-12-09,8,2,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,LOSS,1680,3,9,2,7,0,3,0,4,0,1,0,1,0,2.9
