active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,-18,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,2050,6,19,0,6,3,3,0,2,5,2,0,2,3,7.0
True,2022-10-21,30,22,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,2434,11,24,5,13,3,3,1,0,7,0,1,2,4,20.3
True,2022-10-24,37,-9,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,2323,14,24,2,6,7,8,2,6,5,2,2,3,3,31.3
True,2022-10-26,27,-9,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2339,9,21,0,7,9,10,0,9,1,1,0,1,4,17.3
True,2022-10-27,39,-3,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,2524,14,31,5,14,6,6,2,5,4,3,4,3,3,30.2
True,2022-10-29,35,0,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,2371,13,22,5,12,4,5,1,1,6,0,0,2,2,26.8
True,2022-10-31,28,14,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,2562,9,19,4,11,6,6,0,6,6,3,1,3,1,24.6
True,2022-11-01,4,-14,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,1966,2,12,0,6,0,0,0,6,7,0,1,3,4,-0.8
True,2022-11-20,14,16,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,1562,5,12,2,5,2,2,0,5,0,1,1,4,3,5.6
True,2022-11-22,23,-9,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1832,10,18,2,8,1,1,0,2,2,1,2,2,0,16.8
True,2022-11-23,29,16,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1696,11,16,5,8,2,2,0,1,3,0,0,1,3,22.4
