active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-16,2,-5,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,106,1,1,0,0,0,0,0,1,0,0,0,0,1,1.6
True,2022-12-29,0,-4,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,56,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-05,0,-6,DALLAS MAVERICKS,HOME,BOSTON CELTICS,LOSS,225,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-07,0,2,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,WIN,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-08,0,-1,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,115,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-10,0,0,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-14,3,4,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,420,1,4,1,2,0,0,0,1,1,0,0,0,0,1.6
True,2023-01-15,6,3,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,305,2,2,1,1,1,1,0,1,0,0,0,0,1,5.3
True,2023-01-20,5,-3,DALLAS MAVERICKS,HOME,MIAMI HEAT,WIN,263,2,2,1,1,0,2,0,0,0,0,0,0,1,3.2
True,2023-01-28,0,0,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-04,5,4,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,669,2,4,1,3,0,0,1,3,0,0,0,0,1,4.2
True,2023-02-06,3,1,DALLAS MAVERICKS,AWAY,UTAH JAZZ,WIN,737,1,4,1,3,0,0,0,0,0,0,0,1,3,-1.6
True,2023-02-15,10,-9,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,746,4,6,2,3,0,0,1,1,0,1,0,0,1,9.0
True,2023-04-07,12,-19,DALLAS MAVERICKS,HOME,CHICAGO BULLS,LOSS,1353,5,9,2,6,0,0,3,3,0,0,0,2,0,8.7
True,2023-04-09,10,-13,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1383,4,9,1,3,1,5,1,4,1,1,0,0,3,6.1
