active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,3,5,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,164,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-10-21,3,11,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,1156,1,4,1,3,0,0,1,3,0,0,1,1,3,0.7
True,2022-10-29,3,4,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,308,1,2,1,2,0,0,0,2,0,0,0,0,1,2.2
True,2022-10-31,3,-5,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,618,1,2,1,2,0,0,0,2,1,1,0,3,1,0.9
True,2022-11-04,3,7,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,453,1,4,1,2,0,0,0,2,2,1,0,0,1,3.2
True,2022-11-05,0,-6,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,389,0,3,0,2,0,0,0,2,1,0,0,0,2,-1.6
True,2022-11-09,0,-3,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,312,0,0,0,0,0,0,0,0,0,0,0,2,0,-2.0
True,2022-11-13,5,13,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,1223,2,6,1,3,0,0,1,3,5,0,1,1,2,5.6
True,2022-11-20,8,5,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,1036,3,5,2,4,0,0,2,5,1,1,0,0,2,9.5
True,2022-11-22,0,-6,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,247,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-23,9,7,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1080,3,4,3,4,0,0,1,1,2,1,0,1,1,9.4
True,2022-11-25,3,-5,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,790,1,4,1,3,0,0,0,1,0,1,0,0,2,1.1
True,2022-11-30,2,-5,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,WIN,219,1,3,0,0,0,0,0,0,1,0,0,0,1,0.6
