active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-10,0,4,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,LOSS,247,0,3,0,3,0,0,0,2,1,0,0,0,0,-0.8
True,2022-11-16,5,7,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,719,2,4,1,2,0,0,0,1,0,1,0,0,1,3.9
True,2022-11-18,2,-1,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,450,1,1,0,0,0,0,0,0,2,0,0,1,1,1.7
True,2022-11-23,0,2,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,105,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2022-11-27,0,5,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,206,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2022-12-03,0,-11,DALLAS MAVERICKS,AWAY,NEW YORK KNICKS,WIN,335,0,2,0,0,0,0,0,1,0,0,0,1,2,-2.9
True,2022-12-05,2,0,DALLAS MAVERICKS,HOME,PHOENIX SUNS,WIN,287,1,1,0,0,0,0,0,0,1,1,0,0,0,3.4
True,2022-12-10,0,-11,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,LOSS,1522,0,7,0,4,0,0,1,4,6,0,1,0,1,1.5
True,2022-12-12,6,-8,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,1051,1,4,1,4,3,4,1,0,2,0,1,1,4,3.4
True,2022-12-14,0,10,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,744,0,2,0,0,0,0,0,3,0,0,0,0,3,-1.7
True,2022-12-16,8,11,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1653,3,4,2,3,0,0,0,3,1,0,0,1,2,6.2
True,2022-12-17,3,-9,DALLAS MAVERICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1300,1,6,0,4,1,3,0,0,5,0,0,1,4,-0.7
True,2022-12-19,5,6,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1574,2,6,1,2,0,0,0,4,1,0,0,3,3,-0.7
True,2022-12-21,2,2,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,651,0,0,0,0,2,2,0,1,1,0,0,0,0,3.0
True,2022-12-23,9,7,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,755,3,4,1,2,2,2,0,0,1,1,0,4,0,5.1
True,2022-12-27,0,2,DALLAS MAVERICKS,HOME,NEW YORK KNICKS,WIN,396,0,1,0,0,0,0,0,0,0,0,0,0,2,-1.5
True,2022-12-29,2,14,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,1128,1,4,0,3,0,0,0,3,2,0,0,1,2,0.1
True,2022-12-31,9,1,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,1087,4,6,1,3,0,0,0,3,0,0,0,0,2,6.5
True,2023-01-02,0,10,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,1049,0,2,0,2,0,0,1,2,1,0,0,1,1,-0.8
True,2023-01-05,0,-7,DALLAS MAVERICKS,HOME,BOSTON CELTICS,LOSS,388,0,2,0,2,0,0,0,0,0,0,0,0,1,-1.8
True,2023-01-07,0,-8,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,WIN,644,0,3,0,3,0,0,0,1,1,0,0,1,1,-2.5
True,2023-01-08,6,-2,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,700,2,2,0,0,2,2,0,1,0,2,1,1,3,6.2
True,2023-01-10,3,8,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,715,1,1,1,1,0,2,0,1,1,0,0,0,2,2.1
True,2023-01-12,5,-10,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,745,2,2,1,1,0,0,0,1,0,0,0,0,0,4.7
True,2023-01-14,7,-12,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1367,3,5,1,3,0,0,0,1,0,1,0,2,1,3.6
True,2023-01-15,2,-7,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1358,1,5,0,2,0,0,1,1,7,0,0,1,4,2.2
True,2023-01-20,2,-2,DALLAS MAVERICKS,HOME,MIAMI HEAT,WIN,297,1,2,0,0,0,0,0,0,1,0,0,0,0,1.7
True,2023-01-22,0,0,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-26,0,-4,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,WIN,483,0,1,0,0,0,0,0,0,1,0,0,2,3,-3.2
True,2023-01-28,6,-7,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,742,2,5,0,1,2,3,0,2,1,0,0,2,1,1.8
True,2023-02-02,0,-2,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,WIN,36,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-02-04,0,-5,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,106,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-02-06,0,-3,DALLAS MAVERICKS,AWAY,UTAH JAZZ,WIN,445,0,2,0,0,0,0,1,1,3,0,1,0,2,1.6
True,2023-02-11,0,0,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,LOSS,362,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2023-02-13,3,6,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,804,1,3,1,2,0,0,0,0,1,0,0,0,1,1.6
True,2023-02-15,4,6,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,1428,2,6,0,4,0,0,0,2,0,1,0,1,0,1.2
True,2023-02-23,2,23,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,WIN,1257,0,1,0,1,2,4,0,3,4,1,0,0,0,5.2
True,2023-02-26,0,9,DALLAS MAVERICKS,HOME,LOS ANGELES LAKERS,LOSS,691,0,0,0,0,0,0,1,0,1,1,0,1,0,1.4
True,2023-03-05,2,1,DALLAS MAVERICKS,HOME,PHOENIX SUNS,LOSS,520,0,0,0,0,2,2,0,0,1,0,0,0,2,1.9
True,2023-03-07,0,-5,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,148,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2023-03-08,0,-16,DALLAS MAVERICKS,AWAY,NEW ORLEANS PELICANS,LOSS,558,0,1,0,0,0,0,0,2,0,1,0,0,2,0.1
True,2023-03-13,0,3,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,LOSS,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-20,8,2,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,428,3,4,2,2,0,0,0,2,1,0,0,0,1,7.3
True,2023-03-24,8,17,DALLAS MAVERICKS,HOME,CHARLOTTE HORNETS,LOSS,1297,3,6,1,3,1,1,0,1,3,0,1,0,4,6.5
True,2023-03-27,5,31,DALLAS MAVERICKS,AWAY,INDIANA PACERS,WIN,935,1,4,1,2,2,2,0,1,2,1,0,0,1,4.9
True,2023-04-07,7,-1,DALLAS MAVERICKS,HOME,CHICAGO BULLS,LOSS,1980,2,7,1,3,2,2,1,2,3,3,1,2,3,6.8
True,2023-04-09,12,-21,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2498,5,11,1,4,1,4,0,2,3,1,1,2,3,6.3
