active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,2,3,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,298,1,4,0,1,0,0,1,1,2,1,0,0,0,3.0
True,2022-12-14,0,4,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,154,0,0,0,0,0,0,1,0,1,0,0,0,0,1.4
True,2022-12-23,2,2,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,589,1,3,0,0,0,0,1,2,1,2,1,2,2,2.2
True,2022-12-25,4,-12,DALLAS MAVERICKS,HOME,LOS ANGELES LAKERS,WIN,802,2,3,0,1,0,1,1,0,1,0,0,2,4,0.1
True,2022-12-27,0,-3,DALLAS MAVERICKS,HOME,NEW YORK KNICKS,WIN,373,0,0,0,0,0,0,0,0,1,1,0,0,0,1.7
True,2022-12-29,2,9,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,1394,1,1,0,0,0,1,0,2,3,1,0,1,2,3.2
True,2022-12-31,4,-5,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,1242,2,4,0,1,0,0,0,0,1,1,0,0,1,3.3
True,2023-01-02,0,-14,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-05,2,-8,DALLAS MAVERICKS,HOME,BOSTON CELTICS,LOSS,410,1,3,0,1,0,0,0,1,1,1,0,1,1,0.9
True,2023-01-07,4,-5,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,WIN,668,0,1,0,0,4,4,0,2,1,0,0,1,1,3.2
True,2023-01-08,0,-15,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,519,0,1,0,0,0,0,0,0,0,0,0,1,2,-2.5
True,2023-01-10,0,0,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-14,1,4,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,420,0,1,0,1,1,2,0,1,4,0,1,0,0,3.7
True,2023-01-15,5,1,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,786,2,3,1,1,0,0,0,3,4,0,1,1,2,6.3
True,2023-01-28,0,0,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-04,5,7,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,817,2,7,0,1,1,2,0,3,5,0,0,2,1,2.5
True,2023-02-06,10,-16,DALLAS MAVERICKS,AWAY,UTAH JAZZ,WIN,1189,5,10,0,3,0,0,1,2,4,0,0,1,1,7.7
True,2023-02-08,0,-4,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,WIN,671,0,1,0,0,0,0,1,2,1,0,0,0,0,1.3
True,2023-02-10,5,1,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,780,2,3,1,2,0,0,0,1,3,0,0,0,0,6.1
True,2023-02-15,11,8,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,771,4,4,2,2,1,1,0,0,4,0,0,0,1,12.2
True,2023-03-11,4,6,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1242,1,2,0,1,2,2,0,4,5,0,0,0,1,7.3
True,2023-03-13,9,-13,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,LOSS,1311,4,12,1,3,0,0,2,4,3,1,0,0,0,7.9
True,2023-03-15,11,-15,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,1378,4,5,1,1,2,3,0,4,2,0,1,4,2,7.2
True,2023-03-17,5,-10,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,404,2,4,1,2,0,0,0,0,1,0,0,0,0,3.7
True,2023-03-27,2,-6,DALLAS MAVERICKS,AWAY,INDIANA PACERS,WIN,312,1,2,0,1,0,0,0,0,3,0,1,2,0,1.8
True,2023-04-07,13,-17,DALLAS MAVERICKS,HOME,CHICAGO BULLS,LOSS,1411,6,14,1,4,0,0,0,2,3,0,0,1,0,7.3
True,2023-04-09,13,-12,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1693,5,10,1,2,2,3,1,4,4,0,0,0,3,11.1
