active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-6,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,106,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-10-21,4,14,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1366,2,5,0,1,0,0,2,3,3,3,0,1,1,7.3
True,2022-10-22,9,-14,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,989,3,5,3,4,0,0,0,1,2,1,1,1,1,8.7
True,2022-10-24,0,-6,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,759,0,2,0,1,0,0,1,2,0,0,0,0,1,-0.5
True,2022-10-26,9,2,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1505,4,6,0,1,1,2,2,3,0,0,0,1,1,6.9
True,2022-10-28,10,16,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1945,4,7,1,3,1,2,2,4,1,0,1,1,1,8.9
True,2022-10-30,0,-20,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,777,0,3,0,2,0,0,0,0,2,0,0,0,1,-1.1
True,2022-11-03,3,2,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,436,1,1,1,1,0,0,0,0,1,0,0,0,2,2.6
True,2022-11-05,2,-10,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,867,1,4,0,1,0,0,0,2,1,0,0,0,0,0.9
True,2022-11-07,0,3,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,150,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2022-11-11,2,-7,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,798,1,1,0,0,0,0,0,2,2,0,0,0,0,3.7
True,2022-11-13,9,4,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1573,3,6,1,2,2,2,0,2,1,2,0,0,2,8.5
True,2022-11-16,2,-3,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,895,1,2,0,0,0,0,1,0,1,0,1,0,1,2.7
True,2022-11-18,3,-6,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,805,1,5,0,1,1,3,2,2,0,0,0,0,3,-0.1
